Coleta,linhas,Classe,Soil_min,Soil_max,Soil_amplitude,Temp._min,Temp._max,Temp._amplitude,Pres._min,Pres._max,Pres._amplitude,MQ2_min,MQ2_max,MQ2_amplitude,MQ3_min,MQ3_max,MQ3_amplitude,MQ7_min,MQ7_max,MQ7_amplitude,MQ8_min,MQ8_max,MQ8_amplitude,MQ135_min,MQ135_max,MQ135_amplitude,MQ138_min,MQ138_max,MQ138_amplitude
dia 11 - Soja Heterodera Vaso 6,2241,0,1.0,236.0,235.0,36.1,42.4,6.299999999999997,93.52,93.56,0.04000000000000625,6693.0,7608.0,915.0,13374.0,15087.0,1713.0,476.0,679.0,203.0,3080.0,3365.0,285.0,19070.0,20476.0,1406.0,10793.0,13171.0,2378.0
dia 11 - Soja Heterodera Vaso 7,2056,0,5.0,183.0,178.0,43.7,46.8,3.0999999999999943,93.5,93.55,0.04999999999999716,6558.0,7529.0,971.0,13201.0,15093.0,1892.0,616.0,1397.0,781.0,3459.0,4283.0,824.0,19145.0,20634.0,1489.0,11211.0,13622.0,2411.0
dia 11 - Soja Saudavel Vaso 1,2159,1,280.0,330.0,50.0,32.5,37.5,5.0,93.83,93.88,0.04999999999999716,7539.0,9672.0,2133.0,13533.0,19064.0,5531.0,1349.0,1737.0,388.0,4105.0,4579.0,474.0,19320.0,22122.0,2802.0,10053.0,14738.0,4685.0
dia 11 - Soja Saudavel Vaso 2,2005,1,247.0,418.0,171.0,35.2,40.0,4.799999999999997,93.75,93.87,0.12000000000000455,7451.0,8571.0,1120.0,12851.0,15528.0,2677.0,1052.0,1191.0,139.0,3949.0,4286.0,337.0,20085.0,21811.0,1726.0,9603.0,17532.0,7929.0
dia 11 - Soja Saudavel Vaso 3,2121,1,253.0,421.0,168.0,38.4,43.0,4.600000000000001,93.78,93.83,0.04999999999999716,7457.0,8875.0,1418.0,14163.0,16363.0,2200.0,1023.0,1224.0,201.0,4130.0,4496.0,366.0,19700.0,21451.0,1751.0,9407.0,13506.0,4099.0
dia 11 - Soja Saudavel Vaso 4,2229,1,150.0,308.0,158.0,38.4,44.2,5.800000000000004,93.76,93.81,0.04999999999999716,7420.0,8505.0,1085.0,12970.0,15438.0,2468.0,934.0,1115.0,181.0,4293.0,4717.0,424.0,19811.0,21381.0,1570.0,10446.0,13165.0,2719.0
dia 11 - Soja Saudavel Vaso 5,2251,1,154.0,457.0,303.0,35.4,42.3,6.899999999999999,93.71,93.76,0.05000000000001137,6843.0,8021.0,1178.0,12021.0,14725.0,2704.0,752.0,1000.0,248.0,4047.0,4508.0,461.0,19944.0,21262.0,1318.0,10328.0,12793.0,2465.0
dia 12 - Soja Heterodera Vaso 1,2158,0,139.0,170.0,31.0,38.9,43.2,4.300000000000004,93.67,93.71,0.03999999999999204,6027.0,6964.0,937.0,13176.0,15058.0,1882.0,71.0,102.0,31.0,2471.0,2547.0,76.0,17334.0,19187.0,1853.0,8185.0,10953.0,2768.0
dia 12 - Soja Heterodera Vaso 6,2132,0,134.0,174.0,40.0,26.0,32.2,6.200000000000003,93.67,93.71,0.03999999999999204,5668.0,6880.0,1212.0,13269.0,15671.0,2402.0,168.0,450.0,282.0,2485.0,2762.0,277.0,17800.0,20092.0,2292.0,9273.0,12834.0,3561.0
dia 12 - Soja Heterodera Vaso 7,2181,0,122.0,159.0,37.0,31.5,37.7,6.200000000000003,93.68,93.72,0.03999999999999204,4503.0,7091.0,2588.0,13138.0,15536.0,2398.0,225.0,2635.0,2410.0,2520.0,4739.0,2219.0,17634.0,19788.0,2154.0,9595.0,14328.0,4733.0
dia 12 - Soja Heterodera Vaso 8,2168,0,129.0,159.0,30.0,39.6,42.5,2.8999999999999986,93.67,93.71,0.03999999999999204,5552.0,6806.0,1254.0,14089.0,15807.0,1718.0,151.0,1527.0,1376.0,2487.0,3811.0,1324.0,17671.0,19544.0,1873.0,8595.0,11535.0,2940.0
dia 12 - Soja Heterodera Vaso 9,2202,0,127.0,225.0,98.0,36.3,41.0,4.700000000000003,93.68,93.71,0.029999999999986926,6114.0,6835.0,721.0,13557.0,15004.0,1447.0,92.0,107.0,15.0,2512.0,2621.0,109.0,17530.0,19188.0,1658.0,8090.0,11661.0,3571.0
dia 12 - Soja Saudavel Vaso 2,2352,1,166.0,277.0,111.0,35.5,41.9,6.399999999999999,93.68,93.72,0.03999999999999204,6133.0,6931.0,798.0,13607.0,14917.0,1310.0,63.0,72.0,9.0,2228.0,2336.0,108.0,17768.0,19261.0,1493.0,9723.0,10945.0,1222.0
dia 13 - Soja Saudavel Vaso 1,2130,1,228.0,953.0,725.0,34.8,41.7,6.900000000000006,93.55,93.59,0.04000000000000625,12015.0,20646.0,8631.0,6554.0,7467.0,913.0,11433.0,20631.0,9198.0,7541.0,16359.0,8818.0,6253.0,6724.0,471.0,16730.0,20649.0,3919.0
