Coleta_plot,Coleta,Classe,Nematoide,inicio,fim,linhas
C1,dia 11 - Soja Heterodera Vaso 6,0,Com nematoide,0,2240,2241
C2,dia 11 - Soja Heterodera Vaso 7,0,Com nematoide,2241,4296,2056
C3,dia 12 - Soja Heterodera Vaso 6,0,Com nematoide,4297,6428,2132
C4,dia 12 - Soja Heterodera Vaso 7,0,Com nematoide,6429,8609,2181
C5,dia 12 - Soja Heterodera Vaso 8,0,Com nematoide,8610,10777,2168
C6,dia 12 - Soja Heterodera Vaso 9,0,Com nematoide,10778,12979,2202
C7,dia 12 - Soja Heterodera Vaso 1,0,Com nematoide,12980,15137,2158
C8,dia 18 - Soja Heterodera Vaso 6,0,Com nematoide,15138,16752,1615
C9,dia 18 - Soja Heterodera Vaso 7,0,Com nematoide,16753,18360,1608
C10,dia 18 - Soja Heterodera Vaso 8,0,Com nematoide,18361,19765,1405
C11,dia 18 - Soja Heterodera Vaso 9,0,Com nematoide,19766,21097,1332
C12,dia 18 - Soja Heterodera Vaso 1,0,Com nematoide,21098,22479,1382
C13,dia 19 - Soja Heterodera Vaso 6,0,Com nematoide,22480,23684,1205
C14,dia 19 - Soja Heterodera Vaso 7,0,Com nematoide,23685,25019,1335
C15,dia 19 - Soja Heterodera Vaso 8,0,Com nematoide,25020,26341,1322
C16,dia 19 - Soja Heterodera Vaso 9,0,Com nematoide,26342,27782,1441
C17,dia 19 - Soja Heterodera Vaso 1,0,Com nematoide,27783,29043,1261
C18,dia 18 - Soja Saudavel Vaso 1,1,Sem nematoide,29044,31147,2104
C19,dia 18 - Soja Saudavel Vaso 2,1,Sem nematoide,31148,32937,1790
C20,dia 18 - Soja Saudavel Vaso 4,1,Sem nematoide,32938,34670,1733
C21,dia 18 - Soja Saudavel Vaso 5,1,Sem nematoide,34671,36452,1782
C22,dia 11 - Soja Saudavel Vaso 1,1,Sem nematoide,36453,38611,2159
C23,dia 11 - Soja Saudavel Vaso 2,1,Sem nematoide,38612,40616,2005
C24,dia 11 - Soja Saudavel Vaso 3,1,Sem nematoide,40617,42737,2121
C25,dia 11 - Soja Saudavel Vaso 4,1,Sem nematoide,42738,44966,2229
C26,dia 11 - Soja Saudavel Vaso 5,1,Sem nematoide,44967,47217,2251
C27,dia 12 - Soja Saudavel Vaso 2,1,Sem nematoide,47218,49569,2352
C28,dia 13 - Soja Saudavel Vaso 1,1,Sem nematoide,49570,51699,2130
C29,dia 13 - Soja Saudavel Vaso 3,1,Sem nematoide,51700,53766,2067
C30,dia 13 - Soja Saudavel Vaso 4,1,Sem nematoide,53767,55312,1546
C31,dia 13 - Soja Saudavel Vaso 5,1,Sem nematoide,55313,57441,2129
C32,dia 19 - Soja Saudavel Vaso 1,1,Sem nematoide,57442,58712,1271
C33,dia 19 - Soja Saudavel Vaso 2,1,Sem nematoide,58713,59933,1221
C34,dia 19 - Soja Saudavel Vaso 3,1,Sem nematoide,59934,61166,1233
C35,dia 19 - Soja Saudavel Vaso 4,1,Sem nematoide,61167,62319,1153
C36,dia 19 - Soja Saudavel Vaso 5,1,Sem nematoide,62320,63491,1172
