Coleta,Dia,Vaso,Tempo,Classe,predito,prob_sem_nematoide,acertou
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,419.0,1,0,0.3048324888251422,False
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,722.15,0,0,0.14713535174038722,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,465.63,0,0,0.11039567320317578,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,263.55,0,0,0.3171004801807856,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,452.84,1,1,0.8622236623852713,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,282.2,0,0,0.4858364038418174,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,566.49,1,1,0.9099931239558637,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,261.99,0,1,0.7112487687268303,False
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,510.95,1,1,0.9935489268821891,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,210.3,1,1,0.9312067715367678,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,470.94,1,1,0.890055354353297,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,349.6,1,1,0.994059545608679,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,541.48,0,0,0.11551995764901522,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,196.29,1,0,0.2867828172273257,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,196.13,0,0,0.21375893619881242,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,181.57,0,0,0.05081017869638371,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,465.16,0,0,0.11317546568831732,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,143.47,0,0,0.14151768450539054,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,429.81,0,0,0.1442239719795929,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,179.4,1,1,0.5950940317966944,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,739.23,0,0,0.15112874034987006,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,188.77,1,1,0.9987058153057323,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,313.48,1,0,0.34281809140285463,False
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,476.28,1,1,0.8860177616132214,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,268.2,1,1,0.9951706567197901,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,159.93,0,0,0.17687457681302754,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,169.78,0,0,0.1823500494364855,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,672.99,1,1,0.942597894499022,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,137.82,0,0,0.04082323352667092,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,455.22,1,1,0.9985106935892386,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,430.27,0,0,0.44905862312872613,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,728.96,0,0,0.3151446458414918,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,190.59,1,1,0.7475540662099751,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,373.78,0,0,0.2249374551384437,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,457.9,0,0,0.22571374143270836,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,346.89,0,0,0.10152122803847054,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,89.42,1,0,0.3099538242126011,False
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,349.53,0,0,0.09570331615511322,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,130.63,1,1,0.9987058153057323,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,170.04,0,0,0.14592307152160464,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,477.59,0,0,0.47826851935800374,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,522.86,0,0,0.12371947946788538,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,631.08,1,1,0.9332777916076567,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,236.29,0,0,0.26753173873825176,True
