Coleta,Dia,Vaso,Tempo,Classe,predito,prob_sem_nematoide,acertou
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,419.0,1,1,0.687765544713863,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,722.15,0,0,0.3905038986245682,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,465.63,0,0,0.11213882045771648,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,263.55,0,0,0.4545678768064449,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,452.84,1,1,0.9818270187062582,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,282.2,0,1,0.5257978104788281,False
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,566.49,1,1,0.9700594719207883,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,261.99,0,1,0.5254212612714182,False
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,510.95,1,1,0.9921695228042026,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,210.3,1,1,0.997932462750241,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,470.94,1,1,0.9795894708617512,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,349.6,1,1,0.9966167708241491,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,541.48,0,0,0.2741700948039247,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,196.29,1,1,0.5487587422714227,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,196.13,0,0,0.17611986530714968,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,181.57,0,0,0.1456192488765552,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,465.16,0,0,0.12091162311111614,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,143.47,0,0,0.023755018177707164,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,429.81,0,0,0.24115986610901158,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,179.4,1,1,0.952255804968075,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,739.23,0,1,0.5047970134958725,False
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,188.77,1,1,0.9933174071266988,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,313.48,1,1,0.6803379177414673,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,476.28,1,1,0.969192834068523,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,268.2,1,1,0.9977683995810658,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,159.93,0,0,0.035159386189176724,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,169.78,0,0,0.15174851460901648,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,672.99,1,1,0.8857789922472837,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,137.82,0,0,0.1313095139330727,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,455.22,1,1,0.9908684733444317,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,430.27,0,0,0.4722048550007517,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,728.96,0,0,0.3642172972673457,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,190.59,1,1,0.9173017497453015,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,373.78,0,0,0.42625952661631883,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,457.9,0,0,0.49880711649350673,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,346.89,0,0,0.15041115217377848,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,89.42,1,0,0.490718207482981,False
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,349.53,0,0,0.13719547504226498,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,130.63,1,1,0.9921674937435512,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,170.04,0,0,0.20815052486679336,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,477.59,0,0,0.4693146282436758,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,522.86,0,0,0.26996839167983755,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,631.08,1,1,0.9074288731185244,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,236.29,0,0,0.45842509361622924,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,707.74,1,1,0.9218891735828958,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,498.59,1,1,0.9853315919251975,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,443.47,1,1,0.9859761983338581,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,318.01,1,1,0.9977683995810658,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,727.01,0,0,0.3482342363951783,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,181.91,1,1,0.9138909271954386,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,703.22,0,0,0.4302479910567227,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,293.85,0,1,0.557399752875212,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,713.45,0,0,0.3069660313016106,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,594.1,1,1,0.9692092753820012,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,353.92,1,1,0.8391929835175219,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,682.33,0,0,0.3392627100724102,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,664.41,1,1,0.9730593409714583,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,102.0,0,0,0.050058973553394386,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,166.22,0,0,0.14117305740206182,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,634.83,0,0,0.3606363156288809,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,622.59,0,0,0.3575427463869014,True
