Coleta,Dia,Vaso,Tempo,Classe,predito,prob_sem_nematoide,acertou
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,419.0,1,0,0.48171913744098255,False
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,722.15,0,0,0.36981445911184474,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,465.63,0,0,0.27474757282648526,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,263.55,0,0,0.3031517024349326,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,452.84,1,1,0.889223808532737,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,282.2,0,0,0.39290709609033525,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,566.49,1,1,0.9395369454379962,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,261.99,0,0,0.1883156752701249,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,510.95,1,1,0.9575160027433881,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,210.3,1,1,0.9499937726413926,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,470.94,1,1,0.8973947840235317,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,349.6,1,1,0.963889226080094,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,541.48,0,0,0.4149503977250805,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,196.29,1,0,0.31114992241094885,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,196.13,0,0,0.35992395500872437,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,181.57,0,0,0.016531602374437352,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,465.16,0,0,0.2711142964903332,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,143.47,0,0,0.3158996723667707,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,429.81,0,0,0.3420089703221279,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,179.4,1,1,0.8226144421998962,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,739.23,0,0,0.3765868557588783,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,188.77,1,1,0.997337183367541,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,313.48,1,0,0.35601416083787957,False
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,476.28,1,1,0.8415749250927766,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,268.2,1,1,0.9638579040767264,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,159.93,0,0,0.23067817342780028,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,169.78,0,0,0.2444934262147754,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,672.99,1,1,0.9235412411428453,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,137.82,0,0,0.01839325164883406,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,455.22,1,1,0.997340016389242,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,430.27,0,1,0.5959650074192127,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,728.96,0,1,0.5889100835179527,False
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,190.59,1,1,0.934753242145929,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,373.78,0,0,0.27265527950393204,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,457.9,0,0,0.25756240353913257,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,346.89,0,0,0.31868724169406704,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,89.42,1,0,0.35564363611845035,False
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,349.53,0,0,0.3087239480840287,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,130.63,1,1,0.9969111664578347,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,170.04,0,0,0.23549777348728262,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,477.59,0,1,0.5714078711598846,False
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,522.86,0,0,0.4025069214820499,True
