Coleta,Dia,Vaso,Tempo,Classe,predito,prob_sem_nematoide,acertou
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,419.0,1,1,0.6277844889405106,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,722.15,0,0,0.4263905026688986,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,465.63,0,0,0.18441318738034618,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,263.55,0,0,0.3025743313279082,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,452.84,1,1,0.974050754538132,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,282.2,0,0,0.4709972207922013,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,566.49,1,1,0.9799465076484918,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,261.99,0,0,0.12403631604829372,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,510.95,1,1,0.9798782526523032,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,210.3,1,1,0.9990743153680814,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,470.94,1,1,0.9767718460150393,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,349.6,1,1,0.9787001586159182,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,541.48,0,0,0.36215109046331034,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,196.29,1,0,0.4191358655105957,False
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,196.13,0,0,0.11206593920617396,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,181.57,0,0,0.06932266436739182,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,465.16,0,0,0.18419289077078405,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,143.47,0,0,0.020001550545286118,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,429.81,0,0,0.27775919322848597,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,179.4,1,1,0.9779587807812974,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,739.23,0,1,0.5343562934753491,False
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,188.77,1,1,0.9943982825497841,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,313.48,1,1,0.502649738036387,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,476.28,1,1,0.9556832467692284,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,268.2,1,1,0.9832221224402076,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,159.93,0,0,0.024081130997971642,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,169.78,0,0,0.07806805774214118,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,672.99,1,1,0.9050012437350232,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,137.82,0,0,0.05858737024974476,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,455.22,1,1,0.9956727923537059,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,430.27,0,0,0.304869487915884,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,728.96,0,1,0.5952204683387269,False
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,190.59,1,1,0.940790063580236,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,373.78,0,0,0.34779350113924196,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,457.9,0,1,0.5034936891932356,False
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,346.89,0,0,0.193809398977705,True
