sensor,versao,ambiente,correlacao
MQ2,cru,Soil_indice_0_1,0.3017444365498247
MQ2,corrigido,Soil_indice_0_1,-0.14912589853964647
MQ2,cru,Temp_C,-0.42416828352752584
MQ2,corrigido,Temp_C,-0.24510779763832122
MQ2,cru,Pres_kPa,-0.46071863040375816
MQ2,corrigido,Pres_kPa,-0.1931215710117479
MQ3,cru,Soil_indice_0_1,0.6131864524891611
MQ3,corrigido,Soil_indice_0_1,0.042944603445635526
MQ3,cru,Temp_C,0.033279489211552056
MQ3,corrigido,Temp_C,0.10136687648436264
MQ3,cru,Pres_kPa,-0.0035691998197683213
MQ3,corrigido,Pres_kPa,0.28599115510466255
MQ7,cru,Soil_indice_0_1,-0.19067399126719237
MQ7,corrigido,Soil_indice_0_1,-0.17738862370464584
MQ7,cru,Temp_C,-0.31758912716649645
MQ7,corrigido,Temp_C,-0.29803980112211714
MQ7,cru,Pres_kPa,-0.2873143957176467
MQ7,corrigido,Pres_kPa,-0.2718288914911611
MQ8,cru,Soil_indice_0_1,-0.01206155819668197
MQ8,corrigido,Soil_indice_0_1,-0.12226287928722601
MQ8,cru,Temp_C,-0.44052259858320414
MQ8,corrigido,Temp_C,0.07829583349727841
MQ8,cru,Pres_kPa,-0.3480293256793283
MQ8,corrigido,Pres_kPa,0.007870982290069018
MQ135,cru,Soil_indice_0_1,0.2228354841586594
MQ135,corrigido,Soil_indice_0_1,0.07968054834620526
MQ135,cru,Temp_C,0.2263217818442771
MQ135,corrigido,Temp_C,0.18963457204952064
MQ135,cru,Pres_kPa,0.20452098167384422
MQ135,corrigido,Pres_kPa,0.3050639404806338
MQ138,cru,Soil_indice_0_1,-0.496757297848072
MQ138,corrigido,Soil_indice_0_1,-0.24270320841440246
MQ138,cru,Temp_C,-0.19273538309353735
MQ138,corrigido,Temp_C,-0.0784546559969322
MQ138,cru,Pres_kPa,-0.20800484684629475
MQ138,corrigido,Pres_kPa,-0.07634985397620098
