dataset,Coleta,Dia,Vaso,Classe,Tempo_evento,linha_global_evento,pressao_evento,delta_pressao,limiar_delta_pressao,linha_corte_inicio,linha_corte_fim,Tempo_corte_inicio,Tempo_corte_fim,janela_linhas
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,299.98,670,93.04,0.5,0.1,640,700,292.33,308.28,30
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,300.23,671,91.56,1.480000000000004,0.1,641,701,292.64,308.53,30
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,300.5,672,90.19,1.3700000000000045,0.1,642,702,292.88,308.78,30
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,300.75,673,89.13,1.0600000000000023,0.1,643,703,293.13,309.04,30
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,301.0,674,88.18,0.9499999999999886,0.1,644,704,293.38,309.3,30
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,301.25,675,87.34,0.8400000000000034,0.1,645,705,293.63,309.54,30
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,301.55,676,86.38,0.960000000000008,0.1,646,706,293.88,309.79,30
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,301.8,677,85.66,0.7199999999999989,0.1,647,707,294.13,310.04,30
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,302.04,678,85.0,0.6599999999999966,0.1,648,708,294.38,310.34,30
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,302.46,679,83.98,1.019999999999996,0.1,649,709,294.62,310.59,30
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,303.02,680,82.71,1.2700000000000102,0.1,650,710,294.93,310.84,30
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,303.43,681,81.88,0.8299999999999983,0.1,651,711,295.18,311.08,30
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,303.74,682,81.31,0.5699999999999932,0.1,652,712,295.42,311.43,30
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,303.98,683,80.87,0.4399999999999977,0.1,653,713,295.67,311.68,30
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,304.23,684,80.44,0.4300000000000068,0.1,654,714,295.93,311.93,30
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,304.48,685,80.05,0.39000000000000057,0.1,655,715,296.18,312.18,30
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,304.73,686,79.66,0.39000000000000057,0.1,656,716,296.43,312.43,30
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,304.98,687,79.29,0.36999999999999034,0.1,657,717,296.67,312.68,30
