dataset,numero_coleta,condicao,Coleta,Dia,Vaso,Classe,linha_inicio,linha_fim,linhas
antes_dia_20_pressao_filtrada,1,Com nematoide,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,0,2240,2241
antes_dia_20_pressao_filtrada,2,Com nematoide,dia 11 - Soja Heterodera Vaso 7,11.0,7.0,0,2241,4296,2056
antes_dia_20_pressao_filtrada,3,Com nematoide,dia 12 - Soja Heterodera Vaso 6,12.0,6.0,0,4297,6428,2132
antes_dia_20_pressao_filtrada,4,Com nematoide,dia 12 - Soja Heterodera Vaso 7,12.0,7.0,0,6429,8609,2181
antes_dia_20_pressao_filtrada,5,Com nematoide,dia 12 - Soja Heterodera Vaso 8,12.0,8.0,0,8610,10777,2168
antes_dia_20_pressao_filtrada,6,Com nematoide,dia 12 - Soja Heterodera Vaso 9,12.0,9.0,0,10778,12979,2202
antes_dia_20_pressao_filtrada,7,Com nematoide,dia 12 - Soja Heterodera Vaso 1,12.0,1.0,0,12980,15137,2158
antes_dia_20_pressao_filtrada,8,Com nematoide,dia 18 - Soja Heterodera Vaso 6,18.0,6.0,0,15138,16752,1615
antes_dia_20_pressao_filtrada,9,Com nematoide,dia 18 - Soja Heterodera Vaso 7,18.0,7.0,0,16753,18360,1608
antes_dia_20_pressao_filtrada,10,Com nematoide,dia 18 - Soja Heterodera Vaso 8,18.0,8.0,0,18361,19765,1405
antes_dia_20_pressao_filtrada,11,Com nematoide,dia 18 - Soja Heterodera Vaso 9,18.0,9.0,0,19766,21097,1332
antes_dia_20_pressao_filtrada,12,Com nematoide,dia 18 - Soja Heterodera Vaso 1,18.0,1.0,0,21098,22479,1382
antes_dia_20_pressao_filtrada,13,Com nematoide,dia 19 - Soja Heterodera Vaso 6,19.0,6.0,0,22480,23684,1205
antes_dia_20_pressao_filtrada,14,Com nematoide,dia 19 - Soja Heterodera Vaso 7,19.0,7.0,0,23685,25019,1335
antes_dia_20_pressao_filtrada,15,Com nematoide,dia 19 - Soja Heterodera Vaso 8,19.0,8.0,0,25020,26341,1322
antes_dia_20_pressao_filtrada,16,Com nematoide,dia 19 - Soja Heterodera Vaso 9,19.0,9.0,0,26342,27663,1322
antes_dia_20_pressao_filtrada,17,Com nematoide,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,27664,28924,1261
antes_dia_20_pressao_filtrada,18,Sem nematoide,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,28925,31028,2104
antes_dia_20_pressao_filtrada,19,Sem nematoide,dia 18 - Soja Saudavel Vaso 2,18.0,2.0,1,31029,32818,1790
antes_dia_20_pressao_filtrada,20,Sem nematoide,dia 18 - Soja Saudavel Vaso 4,18.0,4.0,1,32819,34551,1733
antes_dia_20_pressao_filtrada,21,Sem nematoide,dia 18 - Soja Saudavel Vaso 5,18.0,5.0,1,34552,36333,1782
antes_dia_20_pressao_filtrada,22,Sem nematoide,dia 11 - Soja Saudavel Vaso 1,11.0,1.0,1,36334,38492,2159
antes_dia_20_pressao_filtrada,23,Sem nematoide,dia 11 - Soja Saudavel Vaso 2,11.0,2.0,1,38493,40497,2005
antes_dia_20_pressao_filtrada,24,Sem nematoide,dia 11 - Soja Saudavel Vaso 3,11.0,3.0,1,40498,42618,2121
antes_dia_20_pressao_filtrada,25,Sem nematoide,dia 11 - Soja Saudavel Vaso 4,11.0,4.0,1,42619,44847,2229
antes_dia_20_pressao_filtrada,26,Sem nematoide,dia 11 - Soja Saudavel Vaso 5,11.0,5.0,1,44848,47098,2251
antes_dia_20_pressao_filtrada,27,Sem nematoide,dia 12 - Soja Saudavel Vaso 2,12.0,2.0,1,47099,49450,2352
antes_dia_20_pressao_filtrada,28,Sem nematoide,dia 13 - Soja Saudavel Vaso 1,13.0,1.0,1,49451,51580,2130
antes_dia_20_pressao_filtrada,29,Sem nematoide,dia 13 - Soja Saudavel Vaso 3,13.0,3.0,1,51581,53647,2067
antes_dia_20_pressao_filtrada,30,Sem nematoide,dia 13 - Soja Saudavel Vaso 4,13.0,4.0,1,53648,55193,1546
antes_dia_20_pressao_filtrada,31,Sem nematoide,dia 13 - Soja Saudavel Vaso 5,13.0,5.0,1,55194,57322,2129
antes_dia_20_pressao_filtrada,32,Sem nematoide,dia 19 - Soja Saudavel Vaso 1,19.0,1.0,1,57323,58593,1271
antes_dia_20_pressao_filtrada,33,Sem nematoide,dia 19 - Soja Saudavel Vaso 2,19.0,2.0,1,58594,59814,1221
antes_dia_20_pressao_filtrada,34,Sem nematoide,dia 19 - Soja Saudavel Vaso 3,19.0,3.0,1,59815,61047,1233
antes_dia_20_pressao_filtrada,35,Sem nematoide,dia 19 - Soja Saudavel Vaso 4,19.0,4.0,1,61048,62200,1153
antes_dia_20_pressao_filtrada,36,Sem nematoide,dia 19 - Soja Saudavel Vaso 5,19.0,5.0,1,62201,63372,1172
