dataset,Coleta,Dia,Vaso,Classe,Tempo_evento,linha_global_evento,Pres_evento,delta_pressao,limiar_delta_pressao,linha_global_corte_inicio,linha_global_corte_fim,Tempo_corte_inicio,Tempo_corte_fim,linhas_corte
antes_dia_20,dia 11 - Soja Heterodera Vaso 7,11.0,7.0,0,253.01,2911,78.14,7.200000000000003,1.0757999999999703,2881,2941,245.72,260.82,61
antes_dia_20,dia 18 - Soja Saudavel Vaso 4,18.0,4.0,1,163.79,36379,54.48,7.159999999999997,1.5496499999999702,36349,36409,157.5,169.95,61
antes_dia_20,dia 11 - Soja Saudavel Vaso 5,11.0,5.0,1,327.49,51474,75.54,6.609999999999999,0.7947999999999938,51444,51504,320.54,335.14,61
antes_dia_20,dia 18 - Soja Saudavel Vaso 4,18.0,4.0,1,163.99,36380,61.04,6.560000000000002,1.5496499999999702,36350,36410,157.7,170.15,61
antes_dia_20,dia 12 - Soja Heterodera Vaso 1,12.0,1.0,0,320.99,15393,80.65,6.5,0.8052500000000051,15363,15423,313.07,329.43,61
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,319.65,743,79.17,6.450000000000003,0.9510500000000036,713,773,311.68,326.67,61
antes_dia_20,dia 11 - Soja Saudavel Vaso 1,11.0,1.0,1,320.15,40579,77.6,6.359999999999999,0.6851499999999984,40549,40609,312.58,327.22,61
antes_dia_20,dia 12 - Soja Heterodera Vaso 9,12.0,9.0,0,319.4,12853,79.54,6.25,0.777699999999999,12823,12883,312.19,327.26,61
antes_dia_20,dia 11 - Soja Saudavel Vaso 4,11.0,4.0,1,328.01,48884,79.4,6.25,0.8007999999999968,48854,48914,319.79,335.46,61
antes_dia_20,dia 18 - Soja Heterodera Vaso 6,18.0,6.0,0,132.43,17383,77.51,6.1000000000000085,0.9739999999999923,17353,17413,125.36,139.65,61
antes_dia_20,dia 12 - Soja Heterodera Vaso 6,12.0,6.0,0,324.7,5294,79.89,6.040000000000006,0.8410999999999929,5264,5324,316.69,331.89,61
antes_dia_20,dia 12 - Soja Heterodera Vaso 7,12.0,7.0,0,335.88,7860,79.48,5.969999999999999,0.7974999999999941,7830,7890,328.74,343.8,61
antes_dia_20,dia 11 - Soja Saudavel Vaso 2,11.0,2.0,1,321.76,43603,78.88,5.959999999999994,0.9229999999999985,43573,43633,314.16,328.77,61
antes_dia_20,dia 18 - Soja Saudavel Vaso 4,18.0,4.0,1,164.19,36381,66.89,5.850000000000001,1.5496499999999702,36351,36411,157.91,170.36,61
antes_dia_20,dia 11 - Soja Saudavel Vaso 3,11.0,3.0,1,328.22,45899,79.58,5.789999999999992,0.752199999999993,45869,45929,320.6,335.25,61
antes_dia_20,dia 12 - Soja Heterodera Vaso 8,12.0,8.0,0,315.59,10373,81.29,5.75,0.7747999999999995,10343,10403,307.67,322.83,61
antes_dia_20,dia 18 - Soja Saudavel Vaso 2,18.0,2.0,1,134.39,34337,73.47,5.659999999999997,0.7243999999999812,34307,34367,128.24,140.62,61
antes_dia_20,dia 18 - Soja Saudavel Vaso 4,18.0,4.0,1,164.4,36382,72.51,5.6200000000000045,1.5496499999999702,36352,36412,158.12,170.57,61
antes_dia_20,dia 18 - Soja Heterodera Vaso 7,18.0,7.0,0,130.53,19109,80.08,5.590000000000003,0.8190500000000008,19079,19139,123.38,137.56,61
antes_dia_20,dia 11 - Soja Saudavel Vaso 5,11.0,5.0,1,327.72,51475,80.92,5.3799999999999955,0.7947999999999938,51445,51505,320.76,335.38,61
antes_dia_20,dia 18 - Soja Saudavel Vaso 5,18.0,5.0,1,132.47,38266,77.83,5.25,0.727199999999997,38236,38296,126.15,138.77,61
antes_dia_20,dia 18 - Soja Heterodera Vaso 6,18.0,6.0,0,132.66,17384,82.65,5.140000000000001,0.9739999999999923,17354,17414,125.59,139.88,61
antes_dia_20,dia 11 - Soja Saudavel Vaso 1,11.0,1.0,1,320.37,40580,82.65,5.050000000000011,0.6851499999999984,40550,40610,312.81,327.45,61
antes_dia_20,dia 11 - Soja Heterodera Vaso 7,11.0,7.0,0,253.25,2912,83.13,4.989999999999995,1.0757999999999703,2882,2942,245.96,261.06,61
antes_dia_20,dia 11 - Soja Saudavel Vaso 4,11.0,4.0,1,328.25,48885,84.39,4.989999999999995,0.8007999999999968,48855,48915,320.08,335.7,61
antes_dia_20,dia 18 - Soja Saudavel Vaso 2,18.0,2.0,1,134.59,34338,78.43,4.960000000000008,0.7243999999999812,34308,34368,128.46,140.81,61
antes_dia_20,dia 12 - Soja Heterodera Vaso 1,12.0,1.0,0,321.24,15394,85.57,4.9199999999999875,0.8052500000000051,15364,15424,313.3,329.74,61
antes_dia_20,dia 18 - Soja Saudavel Vaso 4,18.0,4.0,1,164.6,36383,77.37,4.859999999999999,1.5496499999999702,36353,36413,158.32,170.76,61
antes_dia_20,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,319.88,744,84.02,4.849999999999994,0.9510500000000036,714,774,311.93,326.9,61
antes_dia_20,dia 18 - Soja Heterodera Vaso 7,18.0,7.0,0,130.29,19108,74.49,4.849999999999994,0.8190500000000008,19078,19138,123.15,137.33,61
antes_dia_20,dia 11 - Soja Saudavel Vaso 3,11.0,3.0,1,327.99,45898,73.79,4.820000000000007,0.752199999999993,45868,45928,320.37,335.02,61
antes_dia_20,dia 12 - Soja Heterodera Vaso 9,12.0,9.0,0,319.63,12854,84.36,4.819999999999993,0.777699999999999,12824,12884,312.43,327.49,61
antes_dia_20,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,316.31,33061,74.07,4.819999999999993,0.5825999999999958,33031,33091,310.64,321.75,61
antes_dia_20,dia 12 - Soja Heterodera Vaso 7,12.0,7.0,0,336.12,7861,84.29,4.810000000000002,0.7974999999999941,7831,7891,328.98,344.03,61
antes_dia_20,dia 12 - Soja Heterodera Vaso 8,12.0,8.0,0,315.35,10372,75.54,4.810000000000002,0.7747999999999995,10342,10402,307.4,322.59,61
antes_dia_20,dia 11 - Soja Saudavel Vaso 2,11.0,2.0,1,321.99,43604,83.69,4.810000000000002,0.9229999999999985,43574,43634,314.39,329.0,61
antes_dia_20,dia 11 - Soja Saudavel Vaso 3,11.0,3.0,1,328.45,45900,84.34,4.760000000000005,0.752199999999993,45870,45930,320.83,335.48,61
antes_dia_20,dia 12 - Soja Saudavel Vaso 2,12.0,2.0,1,327.87,54064,77.3,4.759999999999991,1.001699999999998,54034,54094,320.03,336.36,61
antes_dia_20,dia 18 - Soja Saudavel Vaso 5,18.0,5.0,1,132.26,38265,72.58,4.739999999999995,0.727199999999997,38235,38295,125.94,138.56,61
antes_dia_20,dia 12 - Soja Heterodera Vaso 6,12.0,6.0,0,324.93,5295,84.58,4.689999999999998,0.8410999999999929,5265,5325,316.92,332.28,61
antes_dia_20,dia 18 - Soja Heterodera Vaso 7,18.0,7.0,0,130.76,19110,84.73,4.650000000000006,0.8190500000000008,19080,19140,123.61,137.79,61
