sensores_mantidos,sensores_removidos,qtd_sensores,features,accuracy,balanced_accuracy,f1_macro,cenario,delta_balanced_accuracy_pp_vs_baseline
MQ2 | MQ3 | MQ8 | MQ135 | MQ138,MQ7,5,MQ2_corrigido_env | MQ3_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9128193533800588,0.9117040922547683,0.912463007483844,5_MQ__MQ2_MQ3_MQ8_MQ135_MQ138,0.4400423246334717
MQ2 | MQ3 | MQ7 | MQ8 | MQ135 | MQ138,nenhum,6,MQ2_corrigido_env | MQ3_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9082975356093149,0.9073036690084336,0.9079631495525959,6_MQ__MQ2_MQ3_MQ7_MQ8_MQ135_MQ138,0.0
MQ2 | MQ3 | MQ8 | MQ135,MQ7 | MQ138,4,MQ2_corrigido_env | MQ3_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9058105358354058,0.9047008453985694,0.905430457225386,4_MQ__MQ2_MQ3_MQ8_MQ135,-0.2602823609864191
MQ2 | MQ8 | MQ135 | MQ138,MQ3 | MQ7,4,MQ2_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9054035722360388,0.9038544166062619,0.9048603965151144,4_MQ__MQ2_MQ8_MQ135_MQ138,-0.3449252402171754
MQ2 | MQ8 | MQ135,MQ3 | MQ7 | MQ138,3,MQ2_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9025096088627629,0.9012569283714394,0.9020668392362867,3_MQ__MQ2_MQ8_MQ135,-0.6046740636994175
MQ2 | MQ3 | MQ8 | MQ138,MQ7 | MQ135,4,MQ2_corrigido_env | MQ3_corrigido_env | MQ8_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9011982817092471,0.8997888812978881,0.900690085196924,4_MQ__MQ2_MQ3_MQ8_MQ138,-0.7514787710545479
MQ2 | MQ7 | MQ8 | MQ135,MQ3 | MQ138,4,MQ2_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8999773909111463,0.8986333037598777,0.899489364406235,4_MQ__MQ2_MQ7_MQ8_MQ135,-0.8670365248555911
MQ2 | MQ3 | MQ8,MQ7 | MQ135 | MQ138,3,MQ2_corrigido_env | MQ3_corrigido_env | MQ8_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.899118245534705,0.8979508998742637,0.8986934797303174,3_MQ__MQ2_MQ3_MQ8,-0.9352769134169936
MQ2 | MQ3 | MQ7 | MQ135 | MQ138,MQ8,5,MQ2_corrigido_env | MQ3_corrigido_env | MQ7_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8973095184264074,0.8960321262135338,0.89683617409646,5_MQ__MQ2_MQ3_MQ7_MQ135_MQ138,-1.1271542794899836
MQ2 | MQ3 | MQ7 | MQ8 | MQ135,MQ138,5,MQ2_corrigido_env | MQ3_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8970382093601628,0.8956331892069597,0.896512645098476,5_MQ__MQ2_MQ3_MQ7_MQ8_MQ135,-1.1670479801473954
MQ2 | MQ7 | MQ8 | MQ135 | MQ138,MQ3,5,MQ2_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8966312457607959,0.8949695144122443,0.8959925593917004,5_MQ__MQ2_MQ7_MQ8_MQ135_MQ138,-1.2334154596189362
MQ2 | MQ3 | MQ135 | MQ138,MQ7 | MQ8,4,MQ2_corrigido_env | MQ3_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.896133845806014,0.8948973496772208,0.8956716306819199,4_MQ__MQ2_MQ3_MQ135_MQ138,-1.2406319331212834
MQ2 | MQ3 | MQ138,MQ7 | MQ8 | MQ135,3,MQ2_corrigido_env | MQ3_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8959529730951843,0.8946640263152654,0.8954695083859501,3_MQ__MQ2_MQ3_MQ138,-1.2639642693168196
MQ3 | MQ135,MQ2 | MQ7 | MQ8 | MQ138,2,MQ3_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.893963373276057,0.8936769860272301,0.8937921318895523,2_MQ__MQ3_MQ135,-1.3626682981203508
MQ2 | MQ135 | MQ138,MQ3 | MQ7 | MQ8,3,MQ2_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8916120280352702,0.8900465683653911,0.890990409777243,3_MQ__MQ2_MQ135_MQ138,-1.7257100643042533
MQ2,MQ3 | MQ7 | MQ8 | MQ135 | MQ138,1,MQ2_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8891702464390685,0.8881139751415255,0.8887519947299953,1_MQ__MQ2,-1.9189693866908164
MQ2 | MQ3 | MQ7 | MQ138,MQ8 | MQ135,4,MQ2_corrigido_env | MQ3_corrigido_env | MQ7_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8890798100836537,0.8875273746095963,0.8884513079286402,4_MQ__MQ2_MQ3_MQ7_MQ138,-1.9776294398837324
MQ2 | MQ8,MQ3 | MQ7 | MQ135 | MQ138,2,MQ2_corrigido_env | MQ8_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8885824101288718,0.8870733845581749,0.8879715711714861,2_MQ__MQ2_MQ8,-2.023028445025876
MQ2 | MQ8 | MQ138,MQ3 | MQ7 | MQ135,3,MQ2_corrigido_env | MQ8_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8889441555505313,0.8868808115050569,0.8880531256969572,3_MQ__MQ2_MQ8_MQ138,-2.042285750337669
MQ2 | MQ138,MQ3 | MQ7 | MQ8 | MQ135,2,MQ2_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8875876102193082,0.8861980390977593,0.8870261795170216,2_MQ__MQ2_MQ138,-2.110562991067433
MQ2 | MQ3 | MQ135,MQ7 | MQ8 | MQ138,3,MQ2_corrigido_env | MQ3_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8865023739543296,0.8854377379175989,0.8860721496619238,3_MQ__MQ2_MQ3_MQ135,-2.186593109083468
MQ2 | MQ135,MQ3 | MQ7 | MQ8 | MQ138,2,MQ2_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8860954103549626,0.8850775652974563,0.8856819401305334,2_MQ__MQ2_MQ135,-2.222610371097733
MQ2 | MQ3 | MQ7,MQ8 | MQ135 | MQ138,3,MQ2_corrigido_env | MQ3_corrigido_env | MQ7_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8827944833823197,0.8815553251285011,0.8822792931434473,3_MQ__MQ2_MQ3_MQ7,-2.5748343879932523
MQ2 | MQ3,MQ7 | MQ8 | MQ135 | MQ138,2,MQ2_corrigido_env | MQ3_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8825683924937825,0.881415422013343,0.8820890804251105,2_MQ__MQ2_MQ3,-2.5888246995090625
MQ2 | MQ7 | MQ135 | MQ138,MQ3 | MQ8,4,MQ2_corrigido_env | MQ7_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8791770291657246,0.8772478389560898,0.8782946885220533,4_MQ__MQ2_MQ7_MQ135_MQ138,-3.00558300523438
MQ3,MQ2 | MQ7 | MQ8 | MQ135 | MQ138,1,MQ3_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.8783178837892833,0.8770647450996116,0.8777793377249417,1_MQ__MQ3,-3.023892390882199
