sensores_mantidos,sensores_removidos,qtd_sensores,features,accuracy,balanced_accuracy,f1_macro,cenario,delta_balanced_accuracy_pp_vs_baseline
MQ3 | MQ135,MQ2 | MQ7 | MQ8 | MQ138,2,MQ3_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9412163689803301,0.9390774120251935,0.9407013456123794,2_MQ__MQ3_MQ135,1.0061280733725808
MQ2 | MQ3 | MQ8 | MQ135,MQ7 | MQ138,4,MQ2_corrigido_env | MQ3_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9382319692516392,0.9360662868633058,0.9376833559008482,4_MQ__MQ2_MQ3_MQ8_MQ135,0.705015557183819
MQ2 | MQ3 | MQ8,MQ7 | MQ135 | MQ138,3,MQ2_corrigido_env | MQ3_corrigido_env | MQ8_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9367849875650012,0.9345227829276909,0.9361913969025439,3_MQ__MQ2_MQ3_MQ8,0.5506651636223214
MQ2 | MQ3 | MQ8 | MQ135 | MQ138,MQ7,5,MQ2_corrigido_env | MQ3_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9361067148993896,0.9338648406924985,0.9355141137254604,5_MQ__MQ2_MQ3_MQ8_MQ135_MQ138,0.4848709401030882
MQ2 | MQ8 | MQ135,MQ3 | MQ7 | MQ138,3,MQ2_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9359710603662672,0.9337632761164929,0.9353890143027233,3_MQ__MQ2_MQ8_MQ135,0.4747144825025251
MQ2 | MQ3 | MQ135 | MQ138,MQ7 | MQ8,4,MQ2_corrigido_env | MQ3_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9323536061496722,0.9300399500435281,0.9317014567679331,4_MQ__MQ2_MQ3_MQ135_MQ138,0.10238187520604791
MQ2 | MQ3 | MQ7 | MQ8 | MQ135 | MQ138,nenhum,6,MQ2_corrigido_env | MQ3_corrigido_env | MQ7_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9311779335292788,0.9290161312914677,0.9305714131589107,6_MQ__MQ2_MQ3_MQ7_MQ8_MQ135_MQ138,0.0
MQ2 | MQ3 | MQ7 | MQ135 | MQ138,MQ8,5,MQ2_corrigido_env | MQ3_corrigido_env | MQ7_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9297309518426408,0.9275085254625226,0.929089721821379,5_MQ__MQ2_MQ3_MQ7_MQ135_MQ138,-0.15076058289450467
MQ2 | MQ8 | MQ135 | MQ138,MQ3 | MQ7,4,MQ2_corrigido_env | MQ8_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9295952973095184,0.9271295664258861,0.9288575773473334,4_MQ__MQ2_MQ8_MQ135_MQ138,-0.1886564865581586
MQ2 | MQ135 | MQ138,MQ3 | MQ7 | MQ8,3,MQ2_corrigido_env | MQ135_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.9290526791770292,0.9266743561582234,0.9283448492794061,3_MQ__MQ2_MQ135_MQ138,-0.2341775133244295
MQ2 | MQ3 | MQ138,MQ7 | MQ8 | MQ135,3,MQ2_corrigido_env | MQ3_corrigido_env | MQ138_corrigido_env | Soil_indice_0_1 | Temp_C | Pres_kPa,0.928419624689125,0.9260665861029129,0.9277159399327088,3_MQ__MQ2_MQ3_MQ138,-0.2949545188554725
