Coleta_plot,Coleta,feature,linha_no_dataset_ordenado,Tempo,valor,salto_abs,limiar_global_p995
C13,dia 19 - Soja Heterodera Vaso 6,Pres_kPa,22782,152.25,93.68,0.020000000000010232,0.01999999999999602
C13,dia 19 - Soja Heterodera Vaso 6,Pres_kPa,23011,216.16,93.68,0.020000000000010232,0.01999999999999602
C13,dia 19 - Soja Heterodera Vaso 6,Pres_kPa,23237,279.44,93.68,0.020000000000010232,0.01999999999999602
C15,dia 19 - Soja Heterodera Vaso 8,MQ2,25066,153.36,9888.0,6255.0,2311.1499999999796
C15,dia 19 - Soja Heterodera Vaso 8,MQ2,25067,153.67,13774.0,3886.0,2311.1499999999796
C15,dia 19 - Soja Heterodera Vaso 8,MQ2,25068,153.93,9952.0,3822.0,2311.1499999999796
C15,dia 19 - Soja Heterodera Vaso 8,MQ3,25066,153.36,17309.0,5626.0,1975.6249999999927
C15,dia 19 - Soja Heterodera Vaso 8,MQ7,25066,153.36,132.0,7191.0,2413.7249999999985
C15,dia 19 - Soja Heterodera Vaso 8,MQ7,25067,153.67,7325.0,7193.0,2413.7249999999985
C15,dia 19 - Soja Heterodera Vaso 8,MQ7,25068,153.93,133.0,7192.0,2413.7249999999985
C15,dia 19 - Soja Heterodera Vaso 8,MQ8,25067,153.67,8855.0,5752.0,1462.7999999999884
C15,dia 19 - Soja Heterodera Vaso 8,MQ8,25068,153.93,3015.0,5840.0,1462.7999999999884
C15,dia 19 - Soja Heterodera Vaso 8,MQ135,25066,153.36,19523.0,9119.0,2525.799999999872
C15,dia 19 - Soja Heterodera Vaso 8,MQ138,25066,153.36,4793.0,2531.0,1160.0
C15,dia 19 - Soja Heterodera Vaso 8,MQ138,25067,153.67,7324.0,2531.0,1160.0
C17,dia 19 - Soja Heterodera Vaso 1,Pres_kPa,28139,207.26,93.71,0.020000000000010232,0.01999999999999602
C17,dia 19 - Soja Heterodera Vaso 1,Pres_kPa,28322,261.83,93.73,0.020000000000010232,0.01999999999999602
C17,dia 19 - Soja Heterodera Vaso 1,Pres_kPa,28323,262.15,93.71,0.020000000000010232,0.01999999999999602
C17,dia 19 - Soja Heterodera Vaso 1,Pres_kPa,28702,374.7,93.73,0.020000000000010232,0.01999999999999602
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27785,102.89,10056.0,6419.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27788,103.81,12936.0,2868.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27789,104.07,10385.0,2551.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27792,104.88,16413.0,5020.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27797,106.34,10126.0,6398.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27799,106.94,13345.0,3226.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27800,107.26,16557.0,3212.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27802,107.89,10146.0,6432.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27803,108.15,15877.0,5731.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27804,108.41,12553.0,3324.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27805,108.67,16565.0,4012.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27810,110.19,14012.0,2430.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27811,110.52,16533.0,2521.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27815,111.62,10191.0,5629.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27816,111.88,16588.0,6397.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27818,112.42,10397.0,6084.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27819,112.69,16575.0,6178.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27822,113.63,10200.0,6378.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27824,114.29,13316.0,3051.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27825,114.55,10471.0,2845.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27826,114.81,13619.0,3148.0,2311.1499999999796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,27829,115.59,12544.0,2320.0,2311.1499999999796
