Coleta,Dia,Vaso,Tempo,Soil,Soil_indice_0_1,faixa_soil,Classe,predito,prob_sem_nematoide,acertou
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,139.7,142.0,0.0474747474747474,seco,0,0,0.2813746908383379,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,139.93,145.0,0.0484848484848484,seco,0,0,0.2864688212449683,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,140.17,138.0,0.0461279461279461,seco,0,0,0.2782926956730094,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,140.4,142.0,0.0474747474747474,seco,0,0,0.2854274552036022,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,140.63,144.0,0.0481481481481481,seco,0,0,0.2864688212449683,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,140.9,146.0,0.0488215488215488,seco,0,0,0.2898021545783016,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,141.13,143.0,0.0478114478114478,seco,0,0,0.2864919118821893,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,141.37,144.0,0.0481481481481481,seco,0,0,0.288022559699757,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,141.76,137.0,0.0457912457912457,seco,0,0,0.2796699529768971,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,142.36,143.0,0.0478114478114478,seco,0,0,0.284138555806903,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,142.76,138.0,0.0461279461279461,seco,0,0,0.2804516871200344,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,143.0,150.0,0.0501683501683501,seco,0,0,0.2927604263533109,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,143.23,146.0,0.0488215488215488,seco,0,0,0.2846136879732117,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,143.47,140.0,0.0468013468013468,seco,0,0,0.2799211664841713,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,143.7,146.0,0.0488215488215488,seco,0,0,0.2884982242659129,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,143.93,145.0,0.0484848484848484,seco,0,0,0.2888365701305745,True
