Coleta,Dia,Vaso,Tempo,Soil,Soil_indice_0_1,faixa_soil,Classe,predito,prob_sem_nematoide,acertou
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,85.21,2834.0,0.953872053872054,molhado,0,1,0.69286749004175,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,85.45,2835.0,0.9542087542087542,molhado,0,1,0.6948875602001181,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,85.67,2871.0,0.9663299663299664,molhado,0,1,0.6824383247118032,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,85.89,2867.0,0.9649831649831648,molhado,0,1,0.6957086899892988,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,86.12,2826.0,0.9511784511784512,molhado,0,1,0.705886016662192,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,87.05,2842.0,0.9565656565656566,molhado,0,1,0.692360143895748,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,87.27,2861.0,0.9629629629629628,molhado,0,1,0.684887229461811,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,87.5,2861.0,0.9629629629629628,molhado,0,1,0.6883691800034386,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,87.94,2863.0,0.9636363636363636,molhado,0,1,0.6643490061428103,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,88.39,2873.0,0.967003367003367,molhado,0,1,0.6871572640533843,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,88.62,2851.0,0.9595959595959596,molhado,0,1,0.6942039208429943,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,89.06,2836.0,0.9545454545454546,molhado,0,1,0.6832127179977019,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,89.28,2890.0,0.9727272727272728,molhado,0,1,0.6648611676061981,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,89.51,2889.0,0.9723905723905724,molhado,0,1,0.6898167771205271,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,89.73,2859.0,0.9622895622895624,molhado,0,1,0.6871787926020745,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,89.96,2837.0,0.9548821548821548,molhado,0,1,0.7056455822982588,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,90.41,2875.0,0.9676767676767676,molhado,0,1,0.6625472804135256,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,91.09,2841.0,0.9562289562289562,molhado,0,1,0.693242390712434,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,91.42,2860.0,0.9626262626262626,molhado,0,1,0.7142700980241495,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,92.76,2845.0,0.9575757575757576,molhado,0,1,0.7156165302277273,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,92.98,2848.0,0.9585858585858584,molhado,0,1,0.6737925730331638,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,93.21,2856.0,0.9612794612794612,molhado,0,1,0.6958616679158846,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,93.44,2870.0,0.965993265993266,molhado,0,1,0.7016503905532421,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,93.67,2856.0,0.9612794612794612,molhado,0,1,0.7224945886546161,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,93.89,2848.0,0.9585858585858584,molhado,0,1,0.6972320880456426,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,94.12,2872.0,0.9666666666666668,molhado,0,1,0.7022692373478553,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,94.34,2829.0,0.952188552188552,molhado,0,1,0.7035714272939173,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,94.56,2876.0,0.968013468013468,molhado,0,1,0.7020260092497883,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,95.48,2846.0,0.957912457912458,molhado,0,1,0.7161447236642967,False
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,95.71,2867.0,0.9649831649831648,molhado,0,1,0.7042914319623202,False
