C,Classe,Coleta,linhas,accuracy,prob_sem_nematoide_media,prob_sem_nematoide_desvio
C4,0,dia 12 - Soja Heterodera Vaso 7,2181,0.9752407152682255,0.3566996755375553,0.10373488624598064
C5,0,dia 12 - Soja Heterodera Vaso 8,2168,0.9972324723247232,0.2911190568094726,0.11083485441878915
C7,0,dia 12 - Soja Heterodera Vaso 1,2158,0.7298424467099166,0.344529708053658,0.1971148411067148
C8,0,dia 18 - Soja Heterodera Vaso 6,1615,0.6043343653250774,0.44467970419930286,0.14060797780126116
C11,0,dia 18 - Soja Heterodera Vaso 9,1332,1.0,0.07163266037865806,0.04894477211831414
C13,0,dia 19 - Soja Heterodera Vaso 6,1205,1.0,0.05326532464558757,0.018023270902780934
C22,1,dia 11 - Soja Saudavel Vaso 1,2159,1.0,0.9377415599984988,0.019151326692706274
C24,1,dia 11 - Soja Saudavel Vaso 3,2121,1.0,0.9700723949513048,0.022035124273439125
C25,1,dia 11 - Soja Saudavel Vaso 4,2229,1.0,0.951826160604891,0.03608627903794866
C28,1,dia 13 - Soja Saudavel Vaso 1,2130,1.0,0.9865127306078667,0.03748969303929812
C30,1,dia 13 - Soja Saudavel Vaso 4,1546,1.0,0.9815288721436264,0.0017103823641165764
C32,1,dia 19 - Soja Saudavel Vaso 1,1271,0.41306058221872544,0.4782063848289788,0.11392258599457779
