C,Coleta,sensor,tipo_sinal,ambiente,spearman,spearman_parcial_controlando_tempo
C15,dia 19 - Soja Heterodera Vaso 8,MQ2,cru,Soil_indice_0_1,0.37577698126517034,0.07531617854089248
C15,dia 19 - Soja Heterodera Vaso 8,MQ2,corrigido,Soil_indice_0_1,0.30638665180310887,-0.09768227626068773
C15,dia 19 - Soja Heterodera Vaso 8,MQ2,cru,Temp_C,0.6891374115540174,0.0015927722550275285
C15,dia 19 - Soja Heterodera Vaso 8,MQ2,corrigido,Temp_C,0.7116414940348452,0.029388816759407854
C15,dia 19 - Soja Heterodera Vaso 8,MQ2,cru,Pres_kPa,0.19783705515228658,-0.11040027157437791
C15,dia 19 - Soja Heterodera Vaso 8,MQ2,corrigido,Pres_kPa,0.30241127971188114,0.053988509713808516
C15,dia 19 - Soja Heterodera Vaso 8,MQ3,cru,Soil_indice_0_1,0.6247762692176685,0.17545747278493967
C15,dia 19 - Soja Heterodera Vaso 8,MQ3,corrigido,Soil_indice_0_1,0.521229761195021,-0.265165219881416
C15,dia 19 - Soja Heterodera Vaso 8,MQ3,cru,Temp_C,0.9699016135344354,-0.009308175840464167
C15,dia 19 - Soja Heterodera Vaso 8,MQ3,corrigido,Temp_C,0.9449119816023808,-0.04504194567340138
C15,dia 19 - Soja Heterodera Vaso 8,MQ3,cru,Pres_kPa,0.41013524637666676,-0.007151974356756017
C15,dia 19 - Soja Heterodera Vaso 8,MQ3,corrigido,Pres_kPa,0.3920566148144328,-0.03629922203358179
C15,dia 19 - Soja Heterodera Vaso 8,MQ7,cru,Soil_indice_0_1,0.4683643349670051,0.140103668919374
C15,dia 19 - Soja Heterodera Vaso 8,MQ7,corrigido,Soil_indice_0_1,0.5193830309029615,0.26138423543366057
C15,dia 19 - Soja Heterodera Vaso 8,MQ7,cru,Temp_C,0.7800684227936874,0.0354325519129883
C15,dia 19 - Soja Heterodera Vaso 8,MQ7,corrigido,Temp_C,0.7785228011057661,0.07762013299163156
C15,dia 19 - Soja Heterodera Vaso 8,MQ7,cru,Pres_kPa,0.22563340257902792,-0.15763566406767562
C15,dia 19 - Soja Heterodera Vaso 8,MQ7,corrigido,Pres_kPa,0.34092488274203725,0.0669845083278906
C15,dia 19 - Soja Heterodera Vaso 8,MQ8,cru,Soil_indice_0_1,0.47649176881214916,0.13813870762088182
C15,dia 19 - Soja Heterodera Vaso 8,MQ8,corrigido,Soil_indice_0_1,0.5272657425003373,0.19674628304116898
C15,dia 19 - Soja Heterodera Vaso 8,MQ8,cru,Temp_C,0.7848496382553931,0.022644126789593905
C15,dia 19 - Soja Heterodera Vaso 8,MQ8,corrigido,Temp_C,0.845559698990229,0.08733573787739342
C15,dia 19 - Soja Heterodera Vaso 8,MQ8,cru,Pres_kPa,0.2274260514678336,-0.1619855816048428
C15,dia 19 - Soja Heterodera Vaso 8,MQ8,corrigido,Pres_kPa,0.3522159854396784,0.034610955931961
C15,dia 19 - Soja Heterodera Vaso 8,MQ135,cru,Soil_indice_0_1,0.6188494464115715,0.0406536127768247
C15,dia 19 - Soja Heterodera Vaso 8,MQ135,corrigido,Soil_indice_0_1,0.5761246131327533,-0.1321206514097624
C15,dia 19 - Soja Heterodera Vaso 8,MQ135,cru,Temp_C,0.9790868413006474,-0.04787316654299754
C15,dia 19 - Soja Heterodera Vaso 8,MQ135,corrigido,Temp_C,0.9556187938027223,-0.10695478003619424
C15,dia 19 - Soja Heterodera Vaso 8,MQ135,cru,Pres_kPa,0.42823883375424543,0.04569847857647728
C15,dia 19 - Soja Heterodera Vaso 8,MQ135,corrigido,Pres_kPa,0.4545656597833965,0.16534931095971198
C15,dia 19 - Soja Heterodera Vaso 8,MQ138,cru,Soil_indice_0_1,0.6163744529044278,0.12891195942678849
C15,dia 19 - Soja Heterodera Vaso 8,MQ138,corrigido,Soil_indice_0_1,0.6785310189944226,0.461487888123728
C15,dia 19 - Soja Heterodera Vaso 8,MQ138,cru,Temp_C,0.9349495878414434,0.05167383167325369
C15,dia 19 - Soja Heterodera Vaso 8,MQ138,corrigido,Temp_C,0.9779929335656109,0.1334942506040411
C15,dia 19 - Soja Heterodera Vaso 8,MQ138,cru,Pres_kPa,0.4109407690410909,0.03368225775977012
C15,dia 19 - Soja Heterodera Vaso 8,MQ138,corrigido,Pres_kPa,0.5325217584201767,0.6077371153486083
C16,dia 19 - Soja Heterodera Vaso 9,MQ2,cru,Soil_indice_0_1,0.4503883677308294,0.33431941157722234
C16,dia 19 - Soja Heterodera Vaso 9,MQ2,corrigido,Soil_indice_0_1,0.4311622115025006,0.22099735224961858
C16,dia 19 - Soja Heterodera Vaso 9,MQ2,cru,Temp_C,0.4397645872505104,-0.01555751288363265
C16,dia 19 - Soja Heterodera Vaso 9,MQ2,corrigido,Temp_C,0.4941460678139607,0.022011370026764582
C16,dia 19 - Soja Heterodera Vaso 9,MQ2,cru,Pres_kPa,-0.22376160759079797,0.012192335526182017
C16,dia 19 - Soja Heterodera Vaso 9,MQ2,corrigido,Pres_kPa,-0.17532377995348636,0.15907494711274825
C16,dia 19 - Soja Heterodera Vaso 9,MQ3,cru,Soil_indice_0_1,0.6865891101670479,0.3814812764721153
C16,dia 19 - Soja Heterodera Vaso 9,MQ3,corrigido,Soil_indice_0_1,0.4372044230752404,0.184553842489856
C16,dia 19 - Soja Heterodera Vaso 9,MQ3,cru,Temp_C,0.7679729439179216,0.3109970675222394
C16,dia 19 - Soja Heterodera Vaso 9,MQ3,corrigido,Temp_C,0.5074105017327916,0.017196079604521457
C16,dia 19 - Soja Heterodera Vaso 9,MQ3,cru,Pres_kPa,-0.431074276075631,0.0017395402875760235
C16,dia 19 - Soja Heterodera Vaso 9,MQ3,corrigido,Pres_kPa,-0.2854856169250009,-0.017841483964696665
C16,dia 19 - Soja Heterodera Vaso 9,MQ7,cru,Soil_indice_0_1,0.7258807315407464,0.30799331429561455
C16,dia 19 - Soja Heterodera Vaso 9,MQ7,corrigido,Soil_indice_0_1,0.7741132771002425,0.37282952560283333
C16,dia 19 - Soja Heterodera Vaso 9,MQ7,cru,Temp_C,0.8739658457861773,0.3709996357170785
C16,dia 19 - Soja Heterodera Vaso 9,MQ7,corrigido,Temp_C,0.9868533091304993,0.2807622182380184
C16,dia 19 - Soja Heterodera Vaso 9,MQ7,cru,Pres_kPa,-0.4852618646980106,0.04378598649522765
C16,dia 19 - Soja Heterodera Vaso 9,MQ7,corrigido,Pres_kPa,-0.4723654422322659,0.8013210941967625
C16,dia 19 - Soja Heterodera Vaso 9,MQ8,cru,Soil_indice_0_1,0.6340073929190589,0.2016452878988635
C16,dia 19 - Soja Heterodera Vaso 9,MQ8,corrigido,Soil_indice_0_1,0.7555964751703202,0.22199369061147037
C16,dia 19 - Soja Heterodera Vaso 9,MQ8,cru,Temp_C,0.7256719354143466,0.12301049068844075
C16,dia 19 - Soja Heterodera Vaso 9,MQ8,corrigido,Temp_C,0.9931355778572949,0.33195622470140956
C16,dia 19 - Soja Heterodera Vaso 9,MQ8,cru,Pres_kPa,-0.49559736278144156,-0.11315531757749095
C16,dia 19 - Soja Heterodera Vaso 9,MQ8,corrigido,Pres_kPa,-0.5034462463861323,0.8141371726322076
C16,dia 19 - Soja Heterodera Vaso 9,MQ135,cru,Soil_indice_0_1,0.7095722364360159,0.37498884914121605
C16,dia 19 - Soja Heterodera Vaso 9,MQ135,corrigido,Soil_indice_0_1,0.5619443195104816,0.3278945079933896
C16,dia 19 - Soja Heterodera Vaso 9,MQ135,cru,Temp_C,0.8141605513364798,0.3279856149010245
C16,dia 19 - Soja Heterodera Vaso 9,MQ135,corrigido,Temp_C,0.6086131782274671,0.09029535622995553
C16,dia 19 - Soja Heterodera Vaso 9,MQ135,cru,Pres_kPa,-0.45336104954698403,0.018917355580808377
C16,dia 19 - Soja Heterodera Vaso 9,MQ135,corrigido,Pres_kPa,-0.2965436352422566,0.0703383848886845
C16,dia 19 - Soja Heterodera Vaso 9,MQ138,cru,Soil_indice_0_1,0.4978508670557088,0.4125288543795462
C16,dia 19 - Soja Heterodera Vaso 9,MQ138,corrigido,Soil_indice_0_1,0.6256932724923336,0.5373510978321198
C16,dia 19 - Soja Heterodera Vaso 9,MQ138,cru,Temp_C,0.4485108277704049,-0.012168274702599369
