C,Coleta,Classe,tipo_sinal,sensor,posicao_local,posicao_percentual,Indice_original,Tempo,valor,salto,salto_abs,limiar_global_p995,mqs_simultaneos,delta_soil,delta_temp_c,delta_pres_kpa
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ2,46,3.479576399394856,25066,153.36,9888.0,-6255.0,6255.0,2311.1499999999796,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ2,47,3.5552193645990924,25067,153.67,13774.0,3886.0,3886.0,2311.1499999999796,4,0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ2,48,3.6308623298033282,25068,153.93,9952.0,-3822.0,3822.0,2311.1499999999796,3,0.002356902356902446,0.0,0.009999999999990905
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ3,46,3.479576399394856,25066,153.36,17309.0,5626.0,5626.0,1975.6249999999927,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ7,46,3.479576399394856,25066,153.36,132.0,-7191.0,7191.0,2413.7249999999985,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ7,47,3.5552193645990924,25067,153.67,7325.0,7193.0,7193.0,2413.7249999999985,4,0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ7,48,3.6308623298033282,25068,153.93,133.0,-7192.0,7192.0,2413.7249999999985,3,0.002356902356902446,0.0,0.009999999999990905
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ8,47,3.5552193645990924,25067,153.67,8855.0,5752.0,5752.0,1462.7999999999884,4,0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ8,48,3.6308623298033282,25068,153.93,3015.0,-5840.0,5840.0,1462.7999999999884,3,0.002356902356902446,0.0,0.009999999999990905
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ135,46,3.479576399394856,25066,153.36,19523.0,9119.0,9119.0,2525.799999999872,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ138,46,3.479576399394856,25066,153.36,4793.0,-2531.0,2531.0,1160.0,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ138,47,3.5552193645990924,25067,153.67,7324.0,2531.0,2531.0,1160.0,4,0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ2,46,3.479576399394856,25066,153.36,8366.454045870614,-6220.377956887314,6220.377956887314,2312.607630781203,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ2,47,3.5552193645990924,25067,153.67,12217.832002757928,3851.377956887314,3851.377956887314,2312.607630781203,4,0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ2,48,3.6308623298033282,25068,153.93,8445.249970796127,-3772.5820319618015,3772.5820319618015,2312.607630781203,3,0.002356902356902446,0.0,0.009999999999990905
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ3,46,3.479576399394856,25066,153.36,15548.118560742822,5668.604527202178,5668.604527202178,1961.6469121745386,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ7,46,3.479576399394856,25066,153.36,415.3790048365094,-7197.203273291901,7197.203273291901,2413.5073034320612,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ7,47,3.5552193645990924,25067,153.67,7614.58227812841,7199.203273291901,7199.203273291901,2413.5073034320612,4,0.008754208754208737,0.0,0.0
