C,numero,Classe,Nematoide,Coleta,linhas,Conjunto,Indice_original_min,Indice_original_max
C1,1,0,Com nematoide,dia 11 - Soja Heterodera Vaso 6,2241,Treino,0,2240
C2,2,0,Com nematoide,dia 11 - Soja Heterodera Vaso 7,2056,Treino,2241,4296
C3,3,0,Com nematoide,dia 12 - Soja Heterodera Vaso 6,2132,Treino,4297,6428
C4,4,0,Com nematoide,dia 12 - Soja Heterodera Vaso 7,2181,Teste,6429,8609
C5,5,0,Com nematoide,dia 12 - Soja Heterodera Vaso 8,2168,Teste,8610,10777
C6,6,0,Com nematoide,dia 12 - Soja Heterodera Vaso 9,2202,Treino,10778,12979
C7,7,0,Com nematoide,dia 12 - Soja Heterodera Vaso 1,2158,Teste,12980,15137
C8,8,0,Com nematoide,dia 18 - Soja Heterodera Vaso 6,1615,Teste,15138,16752
C9,9,0,Com nematoide,dia 18 - Soja Heterodera Vaso 7,1608,Treino,16753,18360
C10,10,0,Com nematoide,dia 18 - Soja Heterodera Vaso 8,1405,Treino,18361,19765
C11,11,0,Com nematoide,dia 18 - Soja Heterodera Vaso 9,1332,Teste,19766,21097
C12,12,0,Com nematoide,dia 18 - Soja Heterodera Vaso 1,1382,Treino,21098,22479
C13,13,0,Com nematoide,dia 19 - Soja Heterodera Vaso 6,1205,Teste,22480,23684
C14,14,0,Com nematoide,dia 19 - Soja Heterodera Vaso 7,1335,Treino,23685,25019
C15,15,0,Com nematoide,dia 19 - Soja Heterodera Vaso 8,1322,Treino,25020,26341
C16,16,0,Com nematoide,dia 19 - Soja Heterodera Vaso 9,1441,Treino,26342,27782
C17,17,0,Com nematoide,dia 19 - Soja Heterodera Vaso 1,1261,Treino,27783,29043
C18,18,1,Sem nematoide,dia 18 - Soja Saudavel Vaso 1,2104,Treino,29044,31147
C19,19,1,Sem nematoide,dia 18 - Soja Saudavel Vaso 2,1790,Treino,31148,32937
C20,20,1,Sem nematoide,dia 18 - Soja Saudavel Vaso 4,1733,Treino,32938,34670
C21,21,1,Sem nematoide,dia 18 - Soja Saudavel Vaso 5,1782,Treino,34671,36452
C22,22,1,Sem nematoide,dia 11 - Soja Saudavel Vaso 1,2159,Teste,36453,38611
C23,23,1,Sem nematoide,dia 11 - Soja Saudavel Vaso 2,2005,Treino,38612,40616
C24,24,1,Sem nematoide,dia 11 - Soja Saudavel Vaso 3,2121,Teste,40617,42737
C25,25,1,Sem nematoide,dia 11 - Soja Saudavel Vaso 4,2229,Teste,42738,44966
C26,26,1,Sem nematoide,dia 11 - Soja Saudavel Vaso 5,2251,Treino,44967,47217
C27,27,1,Sem nematoide,dia 12 - Soja Saudavel Vaso 2,2352,Treino,47218,49569
C28,28,1,Sem nematoide,dia 13 - Soja Saudavel Vaso 1,2130,Teste,49570,51699
C29,29,1,Sem nematoide,dia 13 - Soja Saudavel Vaso 3,2067,Treino,51700,53766
C30,30,1,Sem nematoide,dia 13 - Soja Saudavel Vaso 4,1546,Teste,53767,55312
C31,31,1,Sem nematoide,dia 13 - Soja Saudavel Vaso 5,2129,Treino,55313,57441
C32,32,1,Sem nematoide,dia 19 - Soja Saudavel Vaso 1,1271,Teste,57442,58712
C33,33,1,Sem nematoide,dia 19 - Soja Saudavel Vaso 2,1221,Treino,58713,59933
C34,34,1,Sem nematoide,dia 19 - Soja Saudavel Vaso 3,1233,Treino,59934,61166
C35,35,1,Sem nematoide,dia 19 - Soja Saudavel Vaso 4,1153,Treino,61167,62319
C36,36,1,Sem nematoide,dia 19 - Soja Saudavel Vaso 5,1172,Treino,62320,63491
