coluna,linhas_C15,linhas_C16,identica,diferenca_max_abs,hash_C15,hash_C16
Tempo,1322,1441,False,,a13e12d9b9e97d6e20f09bb58be3ad36b34ec8445eb977102bda8658fe9e83ac,e22dd9f25a9482e97201d3b8827041ec7ee8cf15acf03823f8f73195b80f69cb
Soil_indice_0_1,1322,1441,False,,e432bb5731a3091b963c60cfc3e453b9e17bbf72eea6e6b1b182bc7554e2e466,4aaab28607a963f4564d3874cc73941f479e2eda5a59a08711f9effe53ba56cd
Temp_C,1322,1441,False,,b7eff81a30d9abc47438febfc42814717d7844be1aa144abcc8de3ab10b201c3,986a52ce78dd20b9ee655e5d47b64b19bfaa1b5155718ae6d40aa614f038afab
Pres_kPa,1322,1441,False,,4918abf88034d833e09f0f249e49f55391d64bc29d89c0bf8c3073e1f3af003e,83a6f22ee03e8365c539e2d523b2427c0377fc3ab6659495c8b5d342fe631c0f
MQ2,1322,1441,False,,9cb02640df1dc7218648d2e6175140ac0053fd92ea6e92a7bf6d9dbbe8e01a2a,f018aea09d30fc259870e8894bba9bb589bacb54059baea71c560c58ab916ccd
MQ3,1322,1441,False,,115243762a94f6a11edcbfdafd1d57e567d533cca2882188d98c8426aab85064,3b32fd78b03efb914b64b5911e54ec37c0e80446cb5c84f73b801636e9475a76
MQ7,1322,1441,False,,ff45c7ed985870be666ab9e75a0b47261dcfd8a7ae3a3e89f7413a5555686635,e6a97fb03d27297698bce4afe188b3a9bffb2cc73322cae9fc47a6dc53cb8320
MQ8,1322,1441,False,,611814bf662e95f68d6ae46dd8f6bd269f64690e03cc6f387cfab9ec2b4fae8f,61615b0f11a5e4e1ac1963173ac49a73eef3426756fc7da79d90bd50f53c40c1
MQ135,1322,1441,False,,40a22cb15858a7679bf8baba57e4f98074c3e0e459b741a343b55507fcff2cb6,fd14238ec5a7ac8e9f1bb36bedd1a5de5c8259b1eac01020ce8422541647784d
MQ138,1322,1441,False,,b439228f875013676405f927b1458ed3742e5cde34ea956704c978ba4769753c,b14301edab268a359ddf6c7bba89258b9c388cda149bde54dad914b70702c295
MQ2_corrigido_env,1322,1441,False,,d784b06ef6042daa68017a0f5e635916269ad68f3fa140404a4a7f177c8e64d3,da0ab8d686b45b7b6b30e909e1311892d39dd0dc3a9575ce373773b5eec35a5b
MQ3_corrigido_env,1322,1441,False,,101354a1b1178acf448dd573646d56b13fbdbb1df306202f4b5844ba9db6db84,86e87f051396432b70cbf9b5438b9f79519ea8377c425bd59eca20b69e854720
MQ7_corrigido_env,1322,1441,False,,539d277e3e96b99a926b8ed9e72c5d06f673016ad7990fb56b7022c4d0a659ec,4c1fbd53aabc57e0cd30b8c1f45118e9138b02914fff9b1750b1176eb822ba5d
MQ8_corrigido_env,1322,1441,False,,5210134d5fc27c4162ee3fd6204c0686d6e9be7d28e43e6d556467b49026f610,c3a778b76ddc1cb8c4ff707fc47295463b2b949fdbc4d7d77a5de1a77a8aa22f
MQ135_corrigido_env,1322,1441,False,,62ad6ae75a0d35cf330f2bd05295fcdde5773a9a2aa3b6fb5991859d6b5c303a,a5769c1df5a5709ebbc3e1d2f881c48aa7a4cd35331d2f26e5db16afdcf7403e
MQ138_corrigido_env,1322,1441,False,,2dfc35a315ddc10f22cf1989853ac8b8d8209f4b1726e7533a4cad31d095c72c,8b5233802d0230126a4d36f9e4d59e082c9302c05c34ed43a49653ae54ee60b1
Classe,1322,1441,False,,191b1f3ed329e453872d07a9e761f5560d24395e7ede5d8e0457b4a5f7065517,aae5d623d5566dd5f50687524ad389905cbd8c138d5fcd32e890588c7b5254c0
