Coleta_plot,Coleta,Classe,Nematoide,inicio,fim,linhas
C1,dia 11 - Soja Heterodera Vaso 6,0,Com nematoide,0,2240,2241
C2,dia 11 - Soja Heterodera Vaso 7,0,Com nematoide,2241,4296,2056
C3,dia 12 - Soja Heterodera Vaso 6,0,Com nematoide,4297,6428,2132
C4,dia 12 - Soja Heterodera Vaso 7,0,Com nematoide,6429,8609,2181
C5,dia 12 - Soja Heterodera Vaso 8,0,Com nematoide,8610,10777,2168
C6,dia 12 - Soja Heterodera Vaso 9,0,Com nematoide,10778,12979,2202
C7,dia 12 - Soja Heterodera Vaso 1,0,Com nematoide,12980,15137,2158
C8,dia 18 - Soja Heterodera Vaso 6,0,Com nematoide,15138,16752,1615
C9,dia 18 - Soja Heterodera Vaso 7,0,Com nematoide,16753,18360,1608
C10,dia 18 - Soja Heterodera Vaso 8,0,Com nematoide,18361,19765,1405
C11,dia 18 - Soja Heterodera Vaso 9,0,Com nematoide,19766,21097,1332
C12,dia 18 - Soja Heterodera Vaso 1,0,Com nematoide,21098,22479,1382
C13,dia 19 - Soja Heterodera Vaso 6,0,Com nematoide,22480,23684,1205
C14,dia 19 - Soja Heterodera Vaso 7,0,Com nematoide,23685,25019,1335
C15,dia 19 - Soja Heterodera Vaso 8,0,Com nematoide,25020,26341,1322
C16,dia 19 - Soja Heterodera Vaso 9,0,Com nematoide,26342,27663,1322
C17,dia 19 - Soja Heterodera Vaso 1,0,Com nematoide,27664,28924,1261
C18,dia 18 - Soja Saudavel Vaso 1,1,Sem nematoide,28925,31028,2104
C19,dia 18 - Soja Saudavel Vaso 2,1,Sem nematoide,31029,32818,1790
C20,dia 18 - Soja Saudavel Vaso 4,1,Sem nematoide,32819,34551,1733
C21,dia 18 - Soja Saudavel Vaso 5,1,Sem nematoide,34552,36333,1782
C22,dia 11 - Soja Saudavel Vaso 1,1,Sem nematoide,36334,38492,2159
C23,dia 11 - Soja Saudavel Vaso 2,1,Sem nematoide,38493,40497,2005
C24,dia 11 - Soja Saudavel Vaso 3,1,Sem nematoide,40498,42618,2121
C25,dia 11 - Soja Saudavel Vaso 4,1,Sem nematoide,42619,44847,2229
C26,dia 11 - Soja Saudavel Vaso 5,1,Sem nematoide,44848,47098,2251
C27,dia 12 - Soja Saudavel Vaso 2,1,Sem nematoide,47099,49450,2352
C28,dia 13 - Soja Saudavel Vaso 1,1,Sem nematoide,49451,51580,2130
C29,dia 13 - Soja Saudavel Vaso 3,1,Sem nematoide,51581,53647,2067
C30,dia 13 - Soja Saudavel Vaso 4,1,Sem nematoide,53648,55193,1546
C31,dia 13 - Soja Saudavel Vaso 5,1,Sem nematoide,55194,57322,2129
C32,dia 19 - Soja Saudavel Vaso 1,1,Sem nematoide,57323,58593,1271
C33,dia 19 - Soja Saudavel Vaso 2,1,Sem nematoide,58594,59814,1221
C34,dia 19 - Soja Saudavel Vaso 3,1,Sem nematoide,59815,61047,1233
C35,dia 19 - Soja Saudavel Vaso 4,1,Sem nematoide,61048,62200,1153
C36,dia 19 - Soja Saudavel Vaso 5,1,Sem nematoide,62201,63372,1172
