C,Classe,Coleta,linhas,accuracy,prob_sem_nematoide_media,prob_sem_nematoide_desvio
C4,0,dia 12 - Soja Heterodera Vaso 7,2181,0.9867033470884915,0.35324120823018446,0.09785199423095221
C5,0,dia 12 - Soja Heterodera Vaso 8,2168,0.9686346863468634,0.3085936110982993,0.12350199888039691
C7,0,dia 12 - Soja Heterodera Vaso 1,2158,0.7256719184430028,0.34894380701664796,0.19526821453612436
C8,0,dia 18 - Soja Heterodera Vaso 6,1615,0.5845201238390093,0.46262738253684227,0.13225829254305943
C11,0,dia 18 - Soja Heterodera Vaso 9,1332,1.0,0.07111442189417025,0.04470034737449966
C13,0,dia 19 - Soja Heterodera Vaso 6,1205,1.0,0.05559242653183451,0.018622882754388566
C22,1,dia 11 - Soja Saudavel Vaso 1,2159,1.0,0.9509931391243326,0.018666855294293485
C24,1,dia 11 - Soja Saudavel Vaso 3,2121,1.0,0.9734536761050017,0.019812528700851387
C25,1,dia 11 - Soja Saudavel Vaso 4,2229,1.0,0.9465258430366404,0.04073727201841216
C28,1,dia 13 - Soja Saudavel Vaso 1,2130,1.0,0.986936982015528,0.04007716804551366
C30,1,dia 13 - Soja Saudavel Vaso 4,1546,1.0,0.9848871940273511,0.0020420725477713784
C32,1,dia 19 - Soja Saudavel Vaso 1,1271,0.8874901652242329,0.7529907968529039,0.15972215071192533
