C,Coleta,sensor,tipo_sinal,ambiente,spearman,spearman_parcial_controlando_tempo
C15,dia 19 - Soja Heterodera Vaso 8,MQ2,cru,Soil_indice_0_1,0.37577698126517034,0.07531617854089248
C15,dia 19 - Soja Heterodera Vaso 8,MQ2,corrigido,Soil_indice_0_1,0.30793648676797086,-0.09578424715921463
C15,dia 19 - Soja Heterodera Vaso 8,MQ2,cru,Temp_C,0.6891374115540174,0.0015927722550275285
C15,dia 19 - Soja Heterodera Vaso 8,MQ2,corrigido,Temp_C,0.7124151673247548,0.02958736331457672
C15,dia 19 - Soja Heterodera Vaso 8,MQ2,cru,Pres_kPa,0.19783705515228658,-0.11040027157437791
C15,dia 19 - Soja Heterodera Vaso 8,MQ2,corrigido,Pres_kPa,0.3022394616798674,0.05305874537806156
C15,dia 19 - Soja Heterodera Vaso 8,MQ3,cru,Soil_indice_0_1,0.6247762692176685,0.17545747278493967
C15,dia 19 - Soja Heterodera Vaso 8,MQ3,corrigido,Soil_indice_0_1,0.521541791941861,-0.26391804124514623
C15,dia 19 - Soja Heterodera Vaso 8,MQ3,cru,Temp_C,0.9699016135344354,-0.009308175840464167
C15,dia 19 - Soja Heterodera Vaso 8,MQ3,corrigido,Temp_C,0.9449138167191781,-0.04571224723160535
C15,dia 19 - Soja Heterodera Vaso 8,MQ3,cru,Pres_kPa,0.41013524637666676,-0.007151974356756017
C15,dia 19 - Soja Heterodera Vaso 8,MQ3,corrigido,Pres_kPa,0.3934676901269844,-0.03145439494804665
C15,dia 19 - Soja Heterodera Vaso 8,MQ7,cru,Soil_indice_0_1,0.4683643349670051,0.140103668919374
C15,dia 19 - Soja Heterodera Vaso 8,MQ7,corrigido,Soil_indice_0_1,0.5198542223925433,0.2615931260034519
C15,dia 19 - Soja Heterodera Vaso 8,MQ7,cru,Temp_C,0.7800684227936874,0.0354325519129883
C15,dia 19 - Soja Heterodera Vaso 8,MQ7,corrigido,Temp_C,0.7793052992804046,0.07796368862968928
C15,dia 19 - Soja Heterodera Vaso 8,MQ7,cru,Pres_kPa,0.22563340257902792,-0.15763566406767562
C15,dia 19 - Soja Heterodera Vaso 8,MQ7,corrigido,Pres_kPa,0.3369905196035387,0.058816741556812574
C15,dia 19 - Soja Heterodera Vaso 8,MQ8,cru,Soil_indice_0_1,0.47649176881214916,0.13813870762088182
C15,dia 19 - Soja Heterodera Vaso 8,MQ8,corrigido,Soil_indice_0_1,0.5280918318608924,0.19708238937021477
C15,dia 19 - Soja Heterodera Vaso 8,MQ8,cru,Temp_C,0.7848496382553931,0.022644126789593905
C15,dia 19 - Soja Heterodera Vaso 8,MQ8,corrigido,Temp_C,0.8468860362105929,0.08774469114642487
C15,dia 19 - Soja Heterodera Vaso 8,MQ8,cru,Pres_kPa,0.2274260514678336,-0.1619855816048428
C15,dia 19 - Soja Heterodera Vaso 8,MQ8,corrigido,Pres_kPa,0.3513728814373443,0.03137023770280083
C15,dia 19 - Soja Heterodera Vaso 8,MQ135,cru,Soil_indice_0_1,0.6188494464115715,0.0406536127768247
C15,dia 19 - Soja Heterodera Vaso 8,MQ135,corrigido,Soil_indice_0_1,0.5757466518006915,-0.13335402164024315
C15,dia 19 - Soja Heterodera Vaso 8,MQ135,cru,Temp_C,0.9790868413006474,-0.04787316654299754
C15,dia 19 - Soja Heterodera Vaso 8,MQ135,corrigido,Temp_C,0.9554561884181781,-0.10830707257293687
C15,dia 19 - Soja Heterodera Vaso 8,MQ135,cru,Pres_kPa,0.42823883375424543,0.04569847857647728
C15,dia 19 - Soja Heterodera Vaso 8,MQ135,corrigido,Pres_kPa,0.4509047792159693,0.15105813777682206
C15,dia 19 - Soja Heterodera Vaso 8,MQ138,cru,Soil_indice_0_1,0.6163744529044278,0.12891195942678849
C15,dia 19 - Soja Heterodera Vaso 8,MQ138,corrigido,Soil_indice_0_1,0.678194441854283,0.4622447072765785
C15,dia 19 - Soja Heterodera Vaso 8,MQ138,cru,Temp_C,0.9349495878414434,0.05167383167325369
C15,dia 19 - Soja Heterodera Vaso 8,MQ138,corrigido,Temp_C,0.9785012505350592,0.1354190820962545
C15,dia 19 - Soja Heterodera Vaso 8,MQ138,cru,Pres_kPa,0.4109407690410909,0.03368225775977012
C15,dia 19 - Soja Heterodera Vaso 8,MQ138,corrigido,Pres_kPa,0.5304623245327419,0.6024102672395248
C16,dia 19 - Soja Heterodera Vaso 9,MQ2,cru,Soil_indice_0_1,0.37577698126517034,0.07531617854089248
C16,dia 19 - Soja Heterodera Vaso 9,MQ2,corrigido,Soil_indice_0_1,0.30793648676797086,-0.09578424715921463
C16,dia 19 - Soja Heterodera Vaso 9,MQ2,cru,Temp_C,0.6891374115540174,0.0015927722550275285
C16,dia 19 - Soja Heterodera Vaso 9,MQ2,corrigido,Temp_C,0.7124151673247548,0.02958736331457672
C16,dia 19 - Soja Heterodera Vaso 9,MQ2,cru,Pres_kPa,0.19783705515228658,-0.11040027157437791
C16,dia 19 - Soja Heterodera Vaso 9,MQ2,corrigido,Pres_kPa,0.3022394616798674,0.05305874537806156
C16,dia 19 - Soja Heterodera Vaso 9,MQ3,cru,Soil_indice_0_1,0.6247762692176685,0.17545747278493967
C16,dia 19 - Soja Heterodera Vaso 9,MQ3,corrigido,Soil_indice_0_1,0.521541791941861,-0.26391804124514623
C16,dia 19 - Soja Heterodera Vaso 9,MQ3,cru,Temp_C,0.9699016135344354,-0.009308175840464167
C16,dia 19 - Soja Heterodera Vaso 9,MQ3,corrigido,Temp_C,0.9449138167191781,-0.04571224723160535
C16,dia 19 - Soja Heterodera Vaso 9,MQ3,cru,Pres_kPa,0.41013524637666676,-0.007151974356756017
C16,dia 19 - Soja Heterodera Vaso 9,MQ3,corrigido,Pres_kPa,0.3934676901269844,-0.03145439494804665
C16,dia 19 - Soja Heterodera Vaso 9,MQ7,cru,Soil_indice_0_1,0.4683643349670051,0.140103668919374
C16,dia 19 - Soja Heterodera Vaso 9,MQ7,corrigido,Soil_indice_0_1,0.5198542223925433,0.2615931260034519
C16,dia 19 - Soja Heterodera Vaso 9,MQ7,cru,Temp_C,0.7800684227936874,0.0354325519129883
C16,dia 19 - Soja Heterodera Vaso 9,MQ7,corrigido,Temp_C,0.7793052992804046,0.07796368862968928
C16,dia 19 - Soja Heterodera Vaso 9,MQ7,cru,Pres_kPa,0.22563340257902792,-0.15763566406767562
C16,dia 19 - Soja Heterodera Vaso 9,MQ7,corrigido,Pres_kPa,0.3369905196035387,0.058816741556812574
C16,dia 19 - Soja Heterodera Vaso 9,MQ8,cru,Soil_indice_0_1,0.47649176881214916,0.13813870762088182
C16,dia 19 - Soja Heterodera Vaso 9,MQ8,corrigido,Soil_indice_0_1,0.5280918318608924,0.19708238937021477
C16,dia 19 - Soja Heterodera Vaso 9,MQ8,cru,Temp_C,0.7848496382553931,0.022644126789593905
C16,dia 19 - Soja Heterodera Vaso 9,MQ8,corrigido,Temp_C,0.8468860362105929,0.08774469114642487
C16,dia 19 - Soja Heterodera Vaso 9,MQ8,cru,Pres_kPa,0.2274260514678336,-0.1619855816048428
C16,dia 19 - Soja Heterodera Vaso 9,MQ8,corrigido,Pres_kPa,0.3513728814373443,0.03137023770280083
C16,dia 19 - Soja Heterodera Vaso 9,MQ135,cru,Soil_indice_0_1,0.6188494464115715,0.0406536127768247
C16,dia 19 - Soja Heterodera Vaso 9,MQ135,corrigido,Soil_indice_0_1,0.5757466518006915,-0.13335402164024315
C16,dia 19 - Soja Heterodera Vaso 9,MQ135,cru,Temp_C,0.9790868413006474,-0.04787316654299754
C16,dia 19 - Soja Heterodera Vaso 9,MQ135,corrigido,Temp_C,0.9554561884181781,-0.10830707257293687
C16,dia 19 - Soja Heterodera Vaso 9,MQ135,cru,Pres_kPa,0.42823883375424543,0.04569847857647728
C16,dia 19 - Soja Heterodera Vaso 9,MQ135,corrigido,Pres_kPa,0.4509047792159693,0.15105813777682206
C16,dia 19 - Soja Heterodera Vaso 9,MQ138,cru,Soil_indice_0_1,0.6163744529044278,0.12891195942678849
C16,dia 19 - Soja Heterodera Vaso 9,MQ138,corrigido,Soil_indice_0_1,0.678194441854283,0.4622447072765785
C16,dia 19 - Soja Heterodera Vaso 9,MQ138,cru,Temp_C,0.9349495878414434,0.05167383167325369
C16,dia 19 - Soja Heterodera Vaso 9,MQ138,corrigido,Temp_C,0.9785012505350592,0.1354190820962545
C16,dia 19 - Soja Heterodera Vaso 9,MQ138,cru,Pres_kPa,0.4109407690410909,0.03368225775977012
C16,dia 19 - Soja Heterodera Vaso 9,MQ138,corrigido,Pres_kPa,0.5304623245327419,0.6024102672395248
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,cru,Soil_indice_0_1,0.45627524500270583,0.07191532238680119
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,corrigido,Soil_indice_0_1,0.40768160739941134,-0.055540381227587796
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,cru,Temp_C,0.7366860013441936,-0.01254119226353017
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,corrigido,Temp_C,0.7705881381837817,0.003042317503513083
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,cru,Pres_kPa,0.18734793584497605,-0.012189885016594678
C17,dia 19 - Soja Heterodera Vaso 1,MQ2,corrigido,Pres_kPa,0.2604700621624842,0.09090400020217385
C17,dia 19 - Soja Heterodera Vaso 1,MQ3,cru,Soil_indice_0_1,0.1396809345568006,0.04367998466662004
C17,dia 19 - Soja Heterodera Vaso 1,MQ3,corrigido,Soil_indice_0_1,0.02950964211548074,-0.09114770186011031
C17,dia 19 - Soja Heterodera Vaso 1,MQ3,cru,Temp_C,0.3575930481209871,0.04167707084190236
C17,dia 19 - Soja Heterodera Vaso 1,MQ3,corrigido,Temp_C,0.3127655297148466,0.037622125142274726
C17,dia 19 - Soja Heterodera Vaso 1,MQ3,cru,Pres_kPa,0.09412977622794812,-0.06620060280721568
C17,dia 19 - Soja Heterodera Vaso 1,MQ3,corrigido,Pres_kPa,0.06979535091847686,-0.07248971078510417
C17,dia 19 - Soja Heterodera Vaso 1,MQ7,cru,Soil_indice_0_1,0.3780346758969596,0.1023628896519975
C17,dia 19 - Soja Heterodera Vaso 1,MQ7,corrigido,Soil_indice_0_1,0.4014965367248828,0.10234238032126743
C17,dia 19 - Soja Heterodera Vaso 1,MQ7,cru,Temp_C,0.4843256842760229,-0.0195374426073601
C17,dia 19 - Soja Heterodera Vaso 1,MQ7,corrigido,Temp_C,0.541101259827083,-0.009537832655284297
C17,dia 19 - Soja Heterodera Vaso 1,MQ7,cru,Pres_kPa,0.14115868654095126,0.041237885785384204
C17,dia 19 - Soja Heterodera Vaso 1,MQ7,corrigido,Pres_kPa,0.19680922229590045,0.0901366281332875
C17,dia 19 - Soja Heterodera Vaso 1,MQ8,cru,Soil_indice_0_1,-0.10343393698670883,-0.007515009006555273
C17,dia 19 - Soja Heterodera Vaso 1,MQ8,corrigido,Soil_indice_0_1,0.015711236662720007,0.002087205870212194
C17,dia 19 - Soja Heterodera Vaso 1,MQ8,cru,Temp_C,-0.0935233422417885,0.0181337513544242
C17,dia 19 - Soja Heterodera Vaso 1,MQ8,corrigido,Temp_C,0.12257517108239258,0.033235739396423034
C17,dia 19 - Soja Heterodera Vaso 1,MQ8,cru,Pres_kPa,-0.04754744116987556,-0.05299626973395834
C17,dia 19 - Soja Heterodera Vaso 1,MQ8,corrigido,Pres_kPa,0.059508155523456535,-0.005977553930928188
C17,dia 19 - Soja Heterodera Vaso 1,MQ135,cru,Soil_indice_0_1,0.1552231034651469,0.05203009723907537
C17,dia 19 - Soja Heterodera Vaso 1,MQ135,corrigido,Soil_indice_0_1,0.07235710589119866,0.009962084097549407
C17,dia 19 - Soja Heterodera Vaso 1,MQ135,cru,Temp_C,0.32031581881829174,0.056767566301768664
C17,dia 19 - Soja Heterodera Vaso 1,MQ135,corrigido,Temp_C,0.20392037533594928,0.04294682342329813
C17,dia 19 - Soja Heterodera Vaso 1,MQ135,cru,Pres_kPa,0.042393577667897586,-0.09069286125580071
C17,dia 19 - Soja Heterodera Vaso 1,MQ135,corrigido,Pres_kPa,0.02025303798508147,-0.06945964070123109
C17,dia 19 - Soja Heterodera Vaso 1,MQ138,cru,Soil_indice_0_1,0.321804356065861,0.06135127246006431
C17,dia 19 - Soja Heterodera Vaso 1,MQ138,corrigido,Soil_indice_0_1,0.43700157840983117,0.12882394129676897
C17,dia 19 - Soja Heterodera Vaso 1,MQ138,cru,Temp_C,0.5327745239221547,-0.005951754205213688
C17,dia 19 - Soja Heterodera Vaso 1,MQ138,corrigido,Temp_C,0.6989264345700601,0.024334308414923587
C17,dia 19 - Soja Heterodera Vaso 1,MQ138,cru,Pres_kPa,0.19637020528304922,0.05373270339457385
C17,dia 19 - Soja Heterodera Vaso 1,MQ138,corrigido,Pres_kPa,0.29791570876378554,0.14155840085709956
C24,dia 11 - Soja Saudavel Vaso 3,MQ2,cru,Soil_indice_0_1,-0.5631395153079686,0.1773057866767944
C24,dia 11 - Soja Saudavel Vaso 3,MQ2,corrigido,Soil_indice_0_1,-0.6315417701694948,-0.036461598579000346
C24,dia 11 - Soja Saudavel Vaso 3,MQ2,cru,Temp_C,0.9324160732500262,-0.010766766590683813
C24,dia 11 - Soja Saudavel Vaso 3,MQ2,corrigido,Temp_C,0.9676954075417236,-0.016857375725807817
C24,dia 11 - Soja Saudavel Vaso 3,MQ2,cru,Pres_kPa,0.5631801237306048,0.33199530958797013
