C,Coleta,Classe,tipo_sinal,sensor,posicao_local,posicao_percentual,Indice_original,Tempo,valor,salto,salto_abs,limiar_global_p995,mqs_simultaneos,delta_soil,delta_temp_c,delta_pres_kpa
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ2,46,3.479576399394856,25066,153.36,9888.0,-6255.0,6255.0,2330.279999999999,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ2,47,3.5552193645990924,25067,153.67,13774.0,3886.0,3886.0,2330.279999999999,4,0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ2,48,3.6308623298033282,25068,153.93,9952.0,-3822.0,3822.0,2330.279999999999,3,0.002356902356902446,0.0,0.009999999999990905
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ3,46,3.479576399394856,25066,153.36,17309.0,5626.0,5626.0,2010.2399999999907,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ7,46,3.479576399394856,25066,153.36,132.0,-7191.0,7191.0,2424.0,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ7,47,3.5552193645990924,25067,153.67,7325.0,7193.0,7193.0,2424.0,4,0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ7,48,3.6308623298033282,25068,153.93,133.0,-7192.0,7192.0,2424.0,3,0.002356902356902446,0.0,0.009999999999990905
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ8,47,3.5552193645990924,25067,153.67,8855.0,5752.0,5752.0,1474.6399999999994,4,0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ8,48,3.6308623298033282,25068,153.93,3015.0,-5840.0,5840.0,1474.6399999999994,3,0.002356902356902446,0.0,0.009999999999990905
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ135,46,3.479576399394856,25066,153.36,19523.0,9119.0,9119.0,2579.1199999999953,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ138,46,3.479576399394856,25066,153.36,4793.0,-2531.0,2531.0,1171.5999999999985,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,cru,MQ138,47,3.5552193645990924,25067,153.67,7324.0,2531.0,2531.0,1171.5999999999985,4,0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ2,46,3.479576399394856,25066,153.36,8395.465007600662,-6220.637554629378,6220.637554629378,2329.279174242436,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ2,47,3.5552193645990924,25067,153.67,12247.10256223004,3851.6375546293784,3851.6375546293784,2329.279174242436,4,0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ2,48,3.6308623298033282,25068,153.93,8474.450855672043,-3772.6517065579974,3772.6517065579974,2329.279174242436,3,0.002356902356902446,0.0,0.009999999999990905
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ3,46,3.479576399394856,25066,153.36,15584.93879668473,5668.346014946368,5668.346014946368,2026.0057471030993,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ7,46,3.479576399394856,25066,153.36,410.1828405288628,-7197.265956596233,7197.265956596233,2429.201898097791,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ7,47,3.5552193645990924,25067,153.67,7609.448797125096,7199.265956596233,7199.265956596233,2429.201898097791,4,0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ7,48,3.6308623298033282,25068,153.93,441.15129393420375,-7168.297503190892,7168.297503190892,2429.201898097791,3,0.002356902356902446,0.0,0.009999999999990905
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ8,47,3.5552193645990924,25067,153.67,9053.63724142606,5760.564232388557,5760.564232388557,1492.7609229734153,4,0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ8,48,3.6308623298033282,25068,153.93,3282.373177856172,-5771.264063569888,5771.264063569888,1492.7609229734153,3,0.002356902356902446,0.0,0.009999999999990905
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ135,46,3.479576399394856,25066,153.36,19180.28340113917,9134.046937257739,9134.046937257739,2564.5128962928607,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ138,46,3.479576399394856,25066,153.36,7017.661814324273,-2575.135958733802,2575.135958733802,1169.4893068915821,5,-0.008754208754208737,0.0,0.0
C15,dia 19 - Soja Heterodera Vaso 8,0,corrigido,MQ138,47,3.5552193645990924,25067,153.67,9592.797773058075,2575.135958733802,2575.135958733802,1169.4893068915821,4,0.008754208754208737,0.0,0.0
C16,dia 19 - Soja Heterodera Vaso 9,0,cru,MQ2,46,3.479576399394856,26388,153.36,9888.0,-6255.0,6255.0,2330.279999999999,5,-0.008754208754208737,0.0,0.0
C16,dia 19 - Soja Heterodera Vaso 9,0,cru,MQ2,47,3.5552193645990924,26389,153.67,13774.0,3886.0,3886.0,2330.279999999999,4,0.008754208754208737,0.0,0.0
C16,dia 19 - Soja Heterodera Vaso 9,0,cru,MQ2,48,3.6308623298033282,26390,153.93,9952.0,-3822.0,3822.0,2330.279999999999,3,0.002356902356902446,0.0,0.009999999999990905
C16,dia 19 - Soja Heterodera Vaso 9,0,cru,MQ3,46,3.479576399394856,26388,153.36,17309.0,5626.0,5626.0,2010.2399999999907,5,-0.008754208754208737,0.0,0.0
C16,dia 19 - Soja Heterodera Vaso 9,0,cru,MQ7,46,3.479576399394856,26388,153.36,132.0,-7191.0,7191.0,2424.0,5,-0.008754208754208737,0.0,0.0
C16,dia 19 - Soja Heterodera Vaso 9,0,cru,MQ7,47,3.5552193645990924,26389,153.67,7325.0,7193.0,7193.0,2424.0,4,0.008754208754208737,0.0,0.0
C16,dia 19 - Soja Heterodera Vaso 9,0,cru,MQ7,48,3.6308623298033282,26390,153.93,133.0,-7192.0,7192.0,2424.0,3,0.002356902356902446,0.0,0.009999999999990905
C16,dia 19 - Soja Heterodera Vaso 9,0,cru,MQ8,47,3.5552193645990924,26389,153.67,8855.0,5752.0,5752.0,1474.6399999999994,4,0.008754208754208737,0.0,0.0
