coluna,linhas_C15,linhas_C16,identica,diferenca_max_abs,hash_C15,hash_C16
Tempo,1322,1322,True,0.0,a13e12d9b9e97d6e20f09bb58be3ad36b34ec8445eb977102bda8658fe9e83ac,a13e12d9b9e97d6e20f09bb58be3ad36b34ec8445eb977102bda8658fe9e83ac
Soil_indice_0_1,1322,1322,True,0.0,e432bb5731a3091b963c60cfc3e453b9e17bbf72eea6e6b1b182bc7554e2e466,e432bb5731a3091b963c60cfc3e453b9e17bbf72eea6e6b1b182bc7554e2e466
Temp_C,1322,1322,True,0.0,b7eff81a30d9abc47438febfc42814717d7844be1aa144abcc8de3ab10b201c3,b7eff81a30d9abc47438febfc42814717d7844be1aa144abcc8de3ab10b201c3
Pres_kPa,1322,1322,True,0.0,4918abf88034d833e09f0f249e49f55391d64bc29d89c0bf8c3073e1f3af003e,4918abf88034d833e09f0f249e49f55391d64bc29d89c0bf8c3073e1f3af003e
MQ2,1322,1322,True,0.0,e1d3b728625130f77b8c5a1147aaa55f0c384b58d0983de7577d90b36dba6496,e1d3b728625130f77b8c5a1147aaa55f0c384b58d0983de7577d90b36dba6496
MQ3,1322,1322,True,0.0,69c7338bfd0f9f041553c73dd4c67eac701f14e3bd08050461f01f9d9eccef05,69c7338bfd0f9f041553c73dd4c67eac701f14e3bd08050461f01f9d9eccef05
MQ7,1322,1322,True,0.0,6c90d15372a8cea2c8c55fab2aa2d42a81b63347fbbd162ea7781bea949f4423,6c90d15372a8cea2c8c55fab2aa2d42a81b63347fbbd162ea7781bea949f4423
MQ8,1322,1322,True,0.0,e2a8ed1a76aacc37b9da2e01f566e9be815caa3e272a5ea200305f8b91745b3e,e2a8ed1a76aacc37b9da2e01f566e9be815caa3e272a5ea200305f8b91745b3e
MQ135,1322,1322,True,0.0,fd1bf1b5de9076f9dc48f1dae5f0dbf221aba56849c8bc1eb9df6d10a3bbe1ba,fd1bf1b5de9076f9dc48f1dae5f0dbf221aba56849c8bc1eb9df6d10a3bbe1ba
MQ138,1322,1322,True,0.0,efdedb74f594cd2dc597ea91f8fd3c3c42dba3a2e92d6ad33b831aaf5755f52a,efdedb74f594cd2dc597ea91f8fd3c3c42dba3a2e92d6ad33b831aaf5755f52a
MQ2_corrigido_env,1322,1322,True,0.0,55d172c81835ab3cb41f7196e1f404ce7034f5888c75e60debc00e127e21c421,55d172c81835ab3cb41f7196e1f404ce7034f5888c75e60debc00e127e21c421
MQ3_corrigido_env,1322,1322,True,0.0,4ab14478845197957818206489f8d4cefa58d77a1b6d4b828daaec81de430757,4ab14478845197957818206489f8d4cefa58d77a1b6d4b828daaec81de430757
MQ7_corrigido_env,1322,1322,True,0.0,95020c8338bd6c1a4b4c611b27f864f71d8d1fd83f0c5fa74abe046777e765ed,95020c8338bd6c1a4b4c611b27f864f71d8d1fd83f0c5fa74abe046777e765ed
MQ8_corrigido_env,1322,1322,True,0.0,4ddb5d609178b6205fa271ad0c39dc94a3617bf242c4aeda613c7cfc9c6a7077,4ddb5d609178b6205fa271ad0c39dc94a3617bf242c4aeda613c7cfc9c6a7077
MQ135_corrigido_env,1322,1322,True,0.0,8219859a3bc426cd633fb22ac184f0edddfd075c214723766b69252f727d9a73,8219859a3bc426cd633fb22ac184f0edddfd075c214723766b69252f727d9a73
MQ138_corrigido_env,1322,1322,True,0.0,15a0327c25ce4de91201be7effb3b049d3bc5ed0ab6f8e1e2e70d469b012486b,15a0327c25ce4de91201be7effb3b049d3bc5ed0ab6f8e1e2e70d469b012486b
Classe,1322,1322,True,0.0,191b1f3ed329e453872d07a9e761f5560d24395e7ede5d8e0457b4a5f7065517,191b1f3ed329e453872d07a9e761f5560d24395e7ede5d8e0457b4a5f7065517
