Coleta,Dia,Vaso,Tempo,Soil,Temp.,Pres.,MQ2,MQ3,MQ7,MQ8,MQ135,MQ138,Classe
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,140.54,2842.0,33.0,93.7,16018,11675,7274,4317,10511,7188,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,140.85,2801.0,33.0,93.7,16020,11685,6514,3370,10528,7162,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,141.14,2832.0,33.0,93.7,16024,11689,7275,4137,10541,7210,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,141.43,2771.0,33.0,93.7,16028,13362,7276,4232,10744,6624,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,141.72,2784.0,33.0,93.7,16052,11646,7285,4544,10372,7288,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,141.98,2784.0,33.0,93.7,16056,11628,7287,4522,10398,7260,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,142.24,2786.0,33.0,93.71,16054,11644,7284,3852,10374,7290,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,142.5,2807.0,33.0,93.7,16060,11626,7290,3747,10311,7292,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,142.77,2781.0,33.0,93.7,16065,11645,7291,3731,10373,7292,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,143.04,2755.0,33.0,93.7,16064,11650,7292,3714,10375,7292,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,143.31,2823.0,33.0,93.7,16069,11647,7272,3707,10378,7294,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,143.56,2830.0,33.0,93.7,16071,11652,7294,3734,10378,7294,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,143.83,2787.0,33.0,93.7,16060,11572,7287,3794,10371,7289,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,144.14,2825.0,33.0,93.71,16062,11640,7288,3762,10330,7290,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,144.46,2788.0,33.0,93.7,15961,11646,7289,3774,10392,7297,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,144.75,2831.0,33.0,93.7,16066,11640,7290,3784,10329,7292,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,145.04,2780.0,33.0,93.7,16070,11650,7291,3785,10379,7248,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,145.34,2805.0,33.0,93.7,16092,11658,7301,3652,10395,7302,0
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,145.59,2790.0,33.0,93.7,16089,11649,7246,3787,10389,7302,0
