Coleta,Dia,Vaso,Tempo,Classe,predito,prob_sem_nematoide,acertou
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,419.0,1,1,0.8802172975272514,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,722.15,0,0,0.4473352723921824,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,465.63,0,0,0.1955775824922125,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,263.55,0,0,0.3036866643113005,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,452.84,1,1,0.9790990514532406,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,282.2,0,0,0.49189244369917634,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,566.49,1,1,0.9805230709788063,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,261.99,0,0,0.12186216610367757,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,510.95,1,1,0.9811092749588902,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,210.3,1,1,0.9948669423735798,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,470.94,1,1,0.9773012739772352,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,349.6,1,1,0.9833314971811125,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,541.48,0,0,0.3880306018913589,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,196.29,1,1,0.7927520198964907,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,196.13,0,0,0.11839758031312779,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,181.57,0,0,0.07115925977782633,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,465.16,0,0,0.19446476718327732,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,143.47,0,0,0.027227145831269995,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,429.81,0,0,0.2934274394594872,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,179.4,1,1,0.9807198908165204,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,739.23,0,0,0.49774442267734686,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,188.77,1,1,0.9922165124858808,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,313.48,1,1,0.8536482231391764,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,476.28,1,1,0.9518710037688373,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,268.2,1,1,0.986636066744556,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,159.93,0,0,0.0301987453343317,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,169.78,0,0,0.07750828867813443,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,672.99,1,1,0.893870251893516,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,137.82,0,0,0.06251879827049033,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,455.22,1,1,0.994443914713283,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,430.27,0,0,0.3153396244297278,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,728.96,0,1,0.5862049599572543,False
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,190.59,1,1,0.9669433341117176,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,373.78,0,0,0.34424985183983225,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,457.9,0,0,0.4662712727760333,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,346.89,0,0,0.18002479036127036,True
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,89.42,1,1,0.628432532701717,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,349.53,0,0,0.1490254366093448,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,130.63,1,1,0.9911247081336991,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,170.04,0,0,0.15864977037327324,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,477.59,0,0,0.27682852753743786,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,522.86,0,0,0.3844870837051676,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,631.08,1,1,0.9042191298677218,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,236.29,0,0,0.34127158663668405,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,707.74,1,1,0.954814892674701,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,498.59,1,1,0.9877772480466163,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,443.47,1,1,0.9666922188164411,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,318.01,1,1,0.9871589425615495,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,727.01,0,1,0.6034197678507411,False
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,181.91,1,1,0.9532515621727176,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,703.22,0,1,0.5184974049493142,False
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,293.85,0,0,0.12117685746132782,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,713.45,0,1,0.608182126006374,False
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,594.1,1,1,0.973816235155667,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,353.92,1,1,0.9126423846388884,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,682.33,0,1,0.6073716928608012,False
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,664.41,1,1,0.9778863028806711,True
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,102.0,0,0,0.05475899164759346,True
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,166.22,0,0,0.061445229658375566,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,634.83,0,1,0.6002420251956633,False
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,622.59,0,0,0.46030341805635877,True
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,458.01,1,1,0.983854372998106,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,436.08,1,1,0.9891459625440563,True
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,725.39,1,1,0.9581482260080343,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,234.77,0,0,0.3527581389051334,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,371.28,0,0,0.15399582717170412,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,237.38,1,1,0.9964535178062536,True
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,357.35,1,1,0.9999994702688385,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,452.3,1,1,0.9746772827457576,True
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,629.7,1,1,0.9009492885978805,True
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,229.38,1,1,0.9928268209254659,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,717.23,0,1,0.5055328165818392,False
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,250.03,0,0,0.06748380405550766,True
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,534.53,0,0,0.47367502058240424,True
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,146.01,0,0,0.1185645592020341,True
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,659.64,0,0,0.15979949751159356,True
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,301.03,0,0,0.4301788282693872,True
