Coleta,Dia,Vaso,MQ2,MQ3,MQ7,MQ8,MQ135,MQ138,Classe
dia 20 sem pressao - Soja Sauda,20,,5686,12441,512,6533,14977,5150,1
dia 20 sem pressao - Soja Sauda,20,,5682,12433,511,6536,14969,5143,1
dia 20 sem pressao - Soja Sauda,20,,5669,12429,510,6536,14961,5137,1
dia 20 sem pressao - Soja Sauda,20,,5673,12447,511,6536,14984,5134,1
dia 20 sem pressao - Soja Sauda,20,,5669,12428,511,6541,14941,5129,1
dia 20 sem pressao - Soja Sauda,20,,5664,12413,511,6543,14961,5124,1
dia 20 sem pressao - Soja Sauda,20,,5662,12400,512,6539,14938,5119,1
dia 20 sem pressao - Soja Sauda,20,,5661,12403,511,6543,14939,5117,1
dia 20 sem pressao - Soja Sauda,20,,5659,12376,512,6546,14920,5111,1
dia 20 sem pressao - Soja Sauda,20,,5655,12385,511,6547,14910,5107,1
dia 20 sem pressao - Soja Sauda,20,,5648,12345,512,6549,14833,5102,1
dia 20 sem pressao - Soja Sauda,20,,5642,12329,512,6553,14823,5097,1
dia 20 sem pressao - Soja Sauda,20,,5632,12309,512,6551,14807,5092,1
dia 20 sem pressao - Soja Sauda,20,,5635,12293,512,6554,14808,5088,1
dia 20 sem pressao - Soja Sauda,20,,5634,12331,512,6554,14842,5087,1
dia 20 sem pressao - Soja Sauda,20,,5631,12329,512,6557,14857,5085,1
dia 20 sem pressao - Soja Sauda,20,,5629,12351,513,6561,14854,5081,1
dia 20 sem pressao - Soja Sauda,20,,5628,12389,516,6563,14899,5077,1
dia 20 sem pressao - Soja Sauda,20,,5623,12391,518,6555,14952,5068,1
dia 20 sem pressao - Soja Sauda,20,,5613,12459,517,6543,15022,5052,1
dia 20 sem pressao - Soja Sauda,20,,5605,12398,514,6546,15010,5048,1
dia 20 sem pressao - Soja Sauda,20,,5604,12418,513,6553,14964,5044,1
dia 20 sem pressao - Soja Sauda,20,,5568,12445,513,6560,15025,5042,1
dia 20 sem pressao - Soja Sauda,20,,5482,12458,513,6567,14959,5039,1
dia 20 sem pressao - Soja Sauda,20,,5489,12503,514,6573,15040,5038,1
dia 20 sem pressao - Soja Sauda,20,,5484,12430,514,6572,14943,5035,1
dia 20 sem pressao - Soja Sauda,20,,5481,12436,513,6574,14951,5029,1
dia 20 sem pressao - Soja Sauda,20,,5488,12476,514,6573,15009,5034,1
dia 20 sem pressao - Soja Sauda,20,,5479,12452,515,6579,14986,5030,1
dia 20 sem pressao - Soja Sauda,20,,5472,12463,513,6582,14882,5026,1
dia 20 sem pressao - Soja Sauda,20,,5471,12504,513,6576,15156,5019,1
dia 20 sem pressao - Soja Sauda,20,,5480,12602,515,6589,15179,5028,1
dia 20 sem pressao - Soja Sauda,20,,5465,12396,513,6581,14805,5024,1
dia 20 sem pressao - Soja Sauda,20,,5467,12442,513,6594,15115,5026,1
dia 20 sem pressao - Soja Sauda,20,,5463,12448,513,6587,14954,5025,1
dia 20 sem pressao - Soja Sauda,20,,5465,12485,515,6591,15054,5025,1
dia 20 sem pressao - Soja Sauda,20,,5462,12635,514,6593,15172,5025,1
dia 20 sem pressao - Soja Sauda,20,,5467,12551,516,6601,15049,5022,1
dia 20 sem pressao - Soja Sauda,20,,5580,12453,514,6589,14943,5019,1
dia 20 sem pressao - Soja Sauda,20,,5567,12530,515,6591,15105,5015,1
dia 20 sem pressao - Soja Sauda,20,,5570,12520,514,6589,15102,5010,1
dia 20 sem pressao - Soja Sauda,20,,5569,12515,513,6590,15093,5008,1
dia 20 sem pressao - Soja Sauda,20,,5569,12532,512,6585,15135,5002,1
dia 20 sem pressao - Soja Sauda,20,,5571,12534,511,6584,15144,5000,1
dia 20 sem pressao - Soja Sauda,20,,5561,12506,510,6583,15117,4997,1
dia 20 sem pressao - Soja Sauda,20,,5565,12535,511,6587,15154,4996,1
dia 20 sem pressao - Soja Sauda,20,,5586,12571,511,6587,15217,4993,1
dia 20 sem pressao - Soja Sauda,20,,5586,12588,511,6590,15232,4991,1
dia 20 sem pressao - Soja Sauda,20,,5610,12476,510,6583,15078,4985,1
dia 20 sem pressao - Soja Sauda,20,,5610,12470,510,6589,15072,4991,1
dia 20 sem pressao - Soja Sauda,20,,5613,12507,511,6593,15154,4989,1
dia 20 sem pressao - Soja Sauda,20,,5614,12552,512,6594,15160,4987,1
