dataset,numero_coleta,condicao,Coleta,Dia,Vaso,Classe,linha_inicio,linha_fim,linhas
antes_dia_20,1,Com nematoide,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,0,2380,2381
antes_dia_20,2,Com nematoide,dia 11 - Soja Heterodera Vaso 7,11.0,7.0,0,2381,4588,2208
antes_dia_20,3,Com nematoide,dia 12 - Soja Heterodera Vaso 6,12.0,6.0,0,4589,7079,2491
antes_dia_20,4,Com nematoide,dia 12 - Soja Heterodera Vaso 7,12.0,7.0,0,7080,9656,2577
antes_dia_20,5,Com nematoide,dia 12 - Soja Heterodera Vaso 8,12.0,8.0,0,9657,12134,2478
antes_dia_20,6,Com nematoide,dia 12 - Soja Heterodera Vaso 9,12.0,9.0,0,12135,14678,2544
antes_dia_20,7,Com nematoide,dia 12 - Soja Heterodera Vaso 1,12.0,1.0,0,14679,17179,2501
antes_dia_20,8,Com nematoide,dia 18 - Soja Heterodera Vaso 6,18.0,6.0,0,17180,18911,1732
antes_dia_20,9,Com nematoide,dia 18 - Soja Heterodera Vaso 7,18.0,7.0,0,18912,20630,1719
antes_dia_20,10,Com nematoide,dia 18 - Soja Heterodera Vaso 8,18.0,8.0,0,20631,22035,1405
antes_dia_20,11,Com nematoide,dia 18 - Soja Heterodera Vaso 9,18.0,9.0,0,22036,23367,1332
antes_dia_20,12,Com nematoide,dia 18 - Soja Heterodera Vaso 1,18.0,1.0,0,23368,24749,1382
antes_dia_20,13,Com nematoide,dia 19 - Soja Heterodera Vaso 6,19.0,6.0,0,24750,25954,1205
antes_dia_20,14,Com nematoide,dia 19 - Soja Heterodera Vaso 7,19.0,7.0,0,25955,27466,1512
antes_dia_20,15,Com nematoide,dia 19 - Soja Heterodera Vaso 8,19.0,8.0,0,27467,28979,1513
antes_dia_20,16,Com nematoide,dia 19 - Soja Heterodera Vaso 9,19.0,9.0,0,28980,30492,1513
antes_dia_20,17,Com nematoide,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,30493,31817,1325
antes_dia_20,18,Sem nematoide,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,31818,34077,2260
antes_dia_20,19,Sem nematoide,dia 18 - Soja Saudavel Vaso 2,18.0,2.0,1,34078,36005,1928
antes_dia_20,20,Sem nematoide,dia 18 - Soja Saudavel Vaso 4,18.0,4.0,1,36006,38018,2013
antes_dia_20,21,Sem nematoide,dia 18 - Soja Saudavel Vaso 5,18.0,5.0,1,38019,39927,1909
antes_dia_20,22,Sem nematoide,dia 11 - Soja Saudavel Vaso 1,11.0,1.0,1,39928,42828,2901
antes_dia_20,23,Sem nematoide,dia 11 - Soja Saudavel Vaso 2,11.0,2.0,1,42829,45220,2392
antes_dia_20,24,Sem nematoide,dia 11 - Soja Saudavel Vaso 3,11.0,3.0,1,45221,48111,2891
antes_dia_20,25,Sem nematoide,dia 11 - Soja Saudavel Vaso 4,11.0,4.0,1,48112,50697,2586
antes_dia_20,26,Sem nematoide,dia 11 - Soja Saudavel Vaso 5,11.0,5.0,1,50698,53325,2628
antes_dia_20,27,Sem nematoide,dia 12 - Soja Saudavel Vaso 2,12.0,2.0,1,53326,55865,2540
antes_dia_20,28,Sem nematoide,dia 13 - Soja Saudavel Vaso 1,13.0,1.0,1,55866,58098,2233
antes_dia_20,29,Sem nematoide,dia 13 - Soja Saudavel Vaso 3,13.0,3.0,1,58099,60493,2395
antes_dia_20,30,Sem nematoide,dia 13 - Soja Saudavel Vaso 4,13.0,4.0,1,60494,62274,1781
