periodo,classe,sensor,min,q25,media,mediana,q75,max
Antes do dia 20,0,MQ2,4489.0,6383.0,9129.171983530818,7300.0,11609.0,17625.0
Antes do dia 20,0,MQ3,10794.0,14100.0,15680.211962158595,14852.0,18102.0,19073.0
Antes do dia 20,0,MQ7,70.0,154.0,1157.0892604582457,319.0,875.0,8661.0
Antes do dia 20,0,MQ8,2471.0,2616.0,3319.064210956407,3215.0,3647.0,12679.0
Antes do dia 20,0,MQ135,9766.0,18527.0,18942.786529213943,19645.0,20508.0,21631.0
Antes do dia 20,0,MQ138,2776.0,8557.0,9739.531351164473,9313.0,11167.0,14328.0
Antes do dia 20,1,MQ2,5958.0,7987.0,11873.545040434026,10144.0,13468.0,21819.0
Antes do dia 20,1,MQ3,6324.0,13075.5,14652.810523083223,15157.5,17870.0,19497.0
Antes do dia 20,1,MQ7,63.0,368.0,5096.9073088340665,1029.0,1592.0,21820.0
Antes do dia 20,1,MQ8,2177.0,3597.0,4988.248822806838,4326.0,7249.25,16359.0
Antes do dia 20,1,MQ135,6253.0,17988.75,17709.940219060292,20331.0,20956.0,23018.0
Antes do dia 20,1,MQ138,3542.0,8877.0,12529.826364008599,11339.0,13273.0,21823.0
Dia 20 em diante,0,MQ2,3547.0,4459.0,7459.462904402822,5515.0,11795.0,13759.0
Dia 20 em diante,0,MQ3,7893.0,9185.0,10979.555501500041,11551.0,12018.0,13759.0
Dia 20 em diante,0,MQ7,90.0,118.0,4503.543825508797,270.0,11797.0,13761.0
Dia 20 em diante,0,MQ8,2612.0,3042.0,4247.189653774426,4496.0,5199.0,6478.0
Dia 20 em diante,0,MQ135,8962.0,9819.0,11956.762263844968,12823.0,13625.0,14325.0
Dia 20 em diante,0,MQ138,3584.0,4252.0,5667.147571555988,5129.0,7304.0,8019.0
Dia 20 em diante,1,MQ2,3432.0,3837.0,4428.993742430359,4496.0,5018.0,9531.0
Dia 20 em diante,1,MQ3,7450.0,8404.0,9565.790808774054,9660.5,10336.0,13078.0
Dia 20 em diante,1,MQ7,99.0,131.0,845.7778899206029,157.0,438.0,9525.0
Dia 20 em diante,1,MQ8,2681.0,3007.0,3695.6347059615127,3392.5,3638.0,6849.0
Dia 20 em diante,1,MQ135,8411.0,8943.0,10428.665657381242,10250.0,11175.0,16393.0
Dia 20 em diante,1,MQ138,3690.0,4190.25,5381.922285022204,4828.0,4967.0,11881.0
