Coleta,Dia,Vaso,Tempo,Soil,Temp.,Pres.,MQ2,MQ3,MQ7,MQ8,MQ135,MQ138,Classe
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,126.66,106.0,36.1,93.56,6778,13921,485,3087,19895,12695,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,126.91,119.0,36.1,93.55,6779,13921,483,3087,19885,12696,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,127.16,118.0,36.1,93.55,6786,13945,484,3088,19898,12696,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,127.41,108.0,36.1,93.55,6784,13991,482,3086,19874,12697,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,127.69,117.0,36.1,93.55,6724,13556,478,3081,20011,12696,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,127.94,106.0,36.2,93.55,6731,13543,480,3084,19981,12695,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,128.19,102.0,36.1,93.56,6720,13554,478,3084,20024,12694,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,128.43,122.0,36.2,93.55,6725,13532,478,3083,20033,12696,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,128.74,114.0,36.1,93.56,6729,13572,479,3084,20022,12697,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,128.98,100.0,36.2,93.55,6748,13578,480,3085,20024,12697,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,129.23,104.0,36.2,93.55,6727,13597,480,3084,19992,12695,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,129.48,110.0,36.2,93.55,6729,13527,477,3082,20015,12694,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,129.73,113.0,36.2,93.55,6721,13532,478,3082,20028,12694,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,129.98,123.0,36.2,93.55,6714,13374,476,3081,20068,12677,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,130.22,121.0,36.2,93.56,6709,13377,476,3080,20090,12695,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,130.47,113.0,36.2,93.55,6725,13517,477,3083,20044,12694,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,130.73,106.0,36.2,93.55,6728,13541,478,3085,20013,12693,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,131.01,124.0,36.2,93.55,6752,13753,481,3085,19965,12694,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,131.25,118.0,36.2,93.55,6764,13840,482,3088,19965,12693,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,131.5,118.0,36.2,93.55,6762,13797,481,3088,19957,12695,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,131.75,117.0,36.2,93.55,6754,13822,480,3087,19975,12694,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,132.05,110.0,36.2,93.54,6753,13826,481,3088,19948,12694,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,132.3,109.0,36.2,93.55,6761,13737,482,3089,19986,12694,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,132.55,111.0,36.2,93.56,6771,13806,481,3088,19926,12693,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,132.79,107.0,36.2,93.55,6774,13838,482,3088,19961,12692,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,133.04,116.0,36.2,93.55,6771,13780,481,3087,19950,12693,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,133.29,100.0,36.2,93.55,6780,13817,482,3088,19945,12689,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,133.54,120.0,36.3,93.55,6773,13868,482,3091,19929,12688,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,133.78,120.0,36.3,93.55,6778,13823,482,3091,19955,12687,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,134.04,123.0,36.3,93.54,6780,13813,483,3091,19967,12684,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,134.32,102.0,36.3,93.55,6742,13635,478,3085,20040,12685,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,134.57,116.0,36.3,93.55,6755,13661,481,3088,20000,12684,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,134.82,112.0,36.3,93.55,6745,13609,479,3088,20028,12686,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,135.07,126.0,36.3,93.55,6750,13706,479,3088,19996,12685,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,135.37,107.0,36.3,93.55,6785,13797,481,3089,19978,12684,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,135.62,117.0,36.3,93.55,6761,13768,479,3088,19955,12682,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,135.87,122.0,36.3,93.55,6764,13777,480,3088,19970,12681,0
