dataset,tipo,Coleta,Dia,Vaso,Classe,Tempo,linha_global,sensor,valor,delta_abs
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,89.66,30514,MQ135,9766.0,9589.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 8,19.0,8.0,0,115.22,27567,MQ135,19639.0,9547.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 9,19.0,9.0,0,115.22,29080,MQ135,19639.0,9547.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,472.17,31803,MQ135,10804.0,9483.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,238.59,31018,MQ135,20030.0,9450.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,454.66,31744,MQ135,20280.0,9447.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,459.29,31760,MQ135,20277.0,9421.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,232.29,30997,MQ135,10603.0,9393.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,217.98,30949,MQ135,10631.0,9387.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,439.16,31692,MQ135,10857.0,9387.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 8,19.0,8.0,0,127.19,27610,MQ135,10089.0,9354.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 9,19.0,9.0,0,127.19,29123,MQ135,10089.0,9354.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 8,19.0,8.0,0,153.36,27704,MQ135,19523.0,9119.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 9,19.0,9.0,0,153.36,29217,MQ135,19523.0,9119.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 7,19.0,7.0,0,136.58,26133,MQ135,19750.0,9019.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 7,19.0,7.0,0,134.82,26127,MQ135,10881.0,8907.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Saudavel Vaso 1,19.0,1.0,1,229.29,77345,MQ135,11972.0,8058.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Saudavel Vaso 1,19.0,1.0,1,229.56,77346,MQ135,20030.0,8058.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Saudavel Vaso 1,19.0,1.0,1,232.37,77355,MQ135,11991.0,8046.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Saudavel Vaso 1,19.0,1.0,1,237.97,77374,MQ135,11999.0,8019.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Saudavel Vaso 1,19.0,1.0,1,238.32,77375,MQ135,20017.0,8018.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Saudavel Vaso 1,19.0,1.0,1,196.01,77235,MQ135,19911.0,7858.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Saudavel Vaso 1,19.0,1.0,1,195.73,77234,MQ135,12053.0,7656.0
antes_dia_20,mudanca_abrupta,dia 11 - Soja Saudavel Vaso 1,11.0,1.0,1,275.85,52740,MQ135,21734.0,1147.0
antes_dia_20,mudanca_abrupta,dia 11 - Soja Saudavel Vaso 1,11.0,1.0,1,262.07,52688,MQ135,20751.0,1114.0
antes_dia_20,mudanca_abrupta,dia 11 - Soja Saudavel Vaso 1,11.0,1.0,1,248.73,52637,MQ135,20884.0,794.0
antes_dia_20,mudanca_abrupta,dia 11 - Soja Saudavel Vaso 1,11.0,1.0,1,276.09,52741,MQ135,21074.0,660.0
antes_dia_20,mudanca_abrupta,dia 11 - Soja Saudavel Vaso 1,11.0,1.0,1,261.05,52684,MQ135,21096.0,550.0
antes_dia_20,mudanca_abrupta,dia 18 - Soja Heterodera Vaso 7,18.0,7.0,0,250.49,19613,MQ135,21225.0,485.0
antes_dia_20,mudanca_abrupta,dia 11 - Soja Saudavel Vaso 1,11.0,1.0,1,261.34,52685,MQ135,21552.0,456.0
antes_dia_20,mudanca_abrupta,dia 18 - Soja Saudavel Vaso 2,18.0,2.0,1,142.26,46708,MQ135,19832.0,383.0
antes_dia_20,mudanca_abrupta,dia 18 - Soja Saudavel Vaso 2,18.0,2.0,1,254.31,47252,MQ135,20770.0,376.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 8,19.0,8.0,0,141.72,27662,MQ135,10372.0,372.0
antes_dia_20,mudanca_abrupta,dia 19 - Soja Heterodera Vaso 9,19.0,9.0,0,141.72,29175,MQ135,10372.0,372.0
antes_dia_20,mudanca_abrupta,dia 18 - Soja Saudavel Vaso 2,18.0,2.0,1,199.12,46983,MQ135,20394.0,369.0
antes_dia_20,mudanca_abrupta,dia 11 - Soja Saudavel Vaso 1,11.0,1.0,1,257.81,52671,MQ135,20910.0,359.0
antes_dia_20,mudanca_abrupta,dia 18 - Soja Saudavel Vaso 2,18.0,2.0,1,142.47,46709,MQ135,20187.0,355.0
antes_dia_20,mudanca_abrupta,dia 18 - Soja Saudavel Vaso 4,18.0,4.0,1,163.58,48711,MQ135,20862.0,333.0
