dataset,tipo,Coleta,Dia,Vaso,Classe,sensor,linha_global_inicio,linha_global_fim,Tempo_inicio,Tempo_fim,duracao_linhas,valor_medio_intervalo,valor_max_intervalo,limiar_p99
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,45136,45186,268.79,277.98,51,22982.039215686276,23007.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,45252,45290,290.11,297.11,39,23002.20512820513,23013.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,45109,45134,263.9,268.43,26,22978.5,23007.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,45021,45044,247.74,251.98,24,22963.125,22973.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,44808,44829,208.82,212.59,22,22928.909090909092,22936.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,44847,44867,215.87,219.62,21,22932.47619047619,22958.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,45233,45250,286.63,289.75,18,22995.88888888889,23003.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,44869,44885,219.98,222.89,17,22934.882352941175,22943.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,45056,45072,254.18,257.09,17,22968.823529411766,22993.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,44646,44659,179.09,181.42,14,22911.0,22920.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,44573,44585,165.61,167.91,13,22915.153846153848,22936.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,44730,44742,194.49,196.68,13,22921.76923076923,22929.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,44744,44755,197.03,199.13,12,22923.083333333332,22931.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,44795,44806,206.35,208.35,12,22927.666666666668,22933.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,44969,44980,238.21,240.3,12,22952.833333333332,22961.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,44991,45002,242.29,244.29,12,22966.0,22985.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,44602,44612,171.03,172.82,11,22914.545454545456,22921.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,44675,44685,184.34,186.13,11,22913.909090909092,22932.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,44714,44724,191.61,193.4,11,22918.81818181818,22929.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,45212,45222,282.83,284.64,11,22993.090909090908,23000.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,44767,44776,201.29,202.92,10,22924.2,22932.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,44933,44942,231.68,233.33,10,22940.2,22944.0,22908.0
antes_dia_20,valor_alto_p99_intervalo,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,MQ135,45201,45210,280.71,282.48,10,22994.2,22999.0,22908.0
