linha_original,Coleta,Dia,Vaso,Tempo,Soil,Temp.,Pres.,MQ2,MQ3,MQ7,MQ8,MQ135,MQ138,Classe
640,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,292.33,107.0,38.7,93.54,6994.0,14470.0,550.0,3207.0,19948.0,11271.0,0
641,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,292.64,89.0,38.7,93.54,6992.0,14436.0,554.0,3208.0,19972.0,11270.0,0
642,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,292.88,87.0,38.7,93.54,6991.0,14411.0,553.0,3208.0,19984.0,11271.0,0
643,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,293.13,86.0,38.7,93.54,6997.0,14488.0,553.0,3209.0,19958.0,11270.0,0
644,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,293.38,83.0,38.7,93.55,6997.0,14464.0,554.0,3210.0,19964.0,11269.0,0
645,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,293.63,85.0,38.7,93.54,7005.0,14456.0,554.0,3210.0,19962.0,11268.0,0
646,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,293.88,86.0,38.7,93.54,7003.0,14455.0,554.0,3211.0,19970.0,11271.0,0
647,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,294.13,99.0,38.7,93.55,7007.0,14475.0,554.0,3211.0,19935.0,11271.0,0
648,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,294.38,82.0,38.7,93.54,7009.0,14485.0,554.0,3210.0,19963.0,11270.0,0
649,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,294.62,76.0,38.7,93.53,7002.0,14486.0,556.0,3210.0,19969.0,11270.0,0
650,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,294.93,77.0,38.7,93.53,7003.0,14481.0,555.0,3211.0,19966.0,11271.0,0
651,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,295.18,101.0,38.8,93.54,7001.0,14470.0,554.0,3211.0,19967.0,11270.0,0
652,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,295.42,82.0,38.8,93.55,6998.0,14466.0,557.0,3211.0,19968.0,11270.0,0
653,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,295.67,83.0,38.8,93.55,7003.0,14478.0,554.0,3209.0,19935.0,11269.0,0
654,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,295.93,88.0,38.8,93.54,6995.0,14477.0,567.0,3222.0,19953.0,11270.0,0
655,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,296.18,87.0,38.8,93.54,6998.0,14516.0,567.0,3222.0,19937.0,11301.0,0
656,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,296.43,97.0,38.8,93.54,6994.0,14474.0,567.0,3220.0,19963.0,11299.0,0
657,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,296.67,77.0,38.7,93.54,6995.0,14482.0,567.0,3219.0,19952.0,11302.0,0
658,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,296.93,94.0,38.8,93.54,6995.0,14505.0,566.0,3219.0,19964.0,11307.0,0
659,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,297.19,100.0,38.8,93.54,6993.0,14451.0,566.0,3222.0,19963.0,11293.0,0
660,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,297.44,80.0,38.8,93.54,6991.0,14438.0,566.0,3219.0,19962.0,11306.0,0
661,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,297.69,93.0,38.8,93.54,6989.0,14339.0,566.0,3218.0,19969.0,11311.0,0
662,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,297.94,86.0,38.8,93.54,6984.0,14439.0,567.0,3220.0,19973.0,11310.0,0
663,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,298.24,99.0,38.8,93.54,6991.0,14417.0,565.0,3218.0,19979.0,11308.0,0
664,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,298.49,100.0,38.8,93.54,6999.0,14485.0,566.0,3219.0,19970.0,11307.0,0
665,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,298.74,78.0,38.8,93.54,7000.0,14492.0,566.0,3220.0,19929.0,11306.0,0
666,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,298.98,97.0,38.8,93.54,7000.0,14487.0,565.0,3222.0,19963.0,11304.0,0
667,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,299.23,91.0,38.7,93.54,6995.0,14457.0,565.0,3220.0,19969.0,11304.0,0
668,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,299.48,101.0,38.8,93.54,6996.0,14452.0,564.0,3220.0,19971.0,11304.0,0
669,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,299.73,79.0,38.8,93.54,7003.0,14474.0,565.0,3219.0,19968.0,11304.0,0
670,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,299.98,89.0,38.8,93.04,6979.0,14433.0,563.0,3217.0,19929.0,11285.0,0
671,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,300.23,86.0,38.8,91.56,6979.0,14465.0,551.0,3205.0,19909.0,11281.0,0
672,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,300.5,90.0,38.8,90.19,6999.0,14419.0,558.0,3212.0,19906.0,11278.0,0
673,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,300.75,90.0,38.8,89.13,7003.0,14420.0,557.0,3214.0,19916.0,11281.0,0
674,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,301.0,86.0,38.8,88.18,6987.0,14280.0,555.0,3210.0,19953.0,11277.0,0
675,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,301.25,84.0,38.8,87.34,6999.0,14395.0,555.0,3210.0,19913.0,11302.0,0
676,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,301.55,84.0,38.8,86.38,7008.0,14425.0,556.0,3211.0,19903.0,11293.0,0
677,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,301.8,88.0,38.8,85.66,7006.0,14444.0,555.0,3210.0,19904.0,11288.0,0
678,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,302.04,92.0,38.8,85.0,6926.0,14300.0,547.0,3206.0,19913.0,11288.0,0
