Coleta,Dia,Vaso,Classe,linhas_originais,linhas_removidas_inicio,linhas_removidas_fim,linhas_mantidas,tempo_inicio_s,tempo_primeiro_mantido_s,tempo_ultimo_mantido_s,tempo_fim_s,removido_inicio_min,removido_fim_min,removido_total_min,duracao_original_min,duracao_mantida_min
dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,3228,484,484,2260,0.17,88.11,502.73,591.89,1.4656666666666667,1.4859999999999995,2.951666666666666,9.862,6.910333333333333
dia 18 - Soja Saudavel Vaso 2,18.0,2.0,1,2754,413,413,1928,0.17,81.38,478.25,577.68,1.3535,1.6571666666666658,3.0106666666666655,9.625166666666667,6.6145000000000005
dia 18 - Soja Saudavel Vaso 4,18.0,4.0,1,2875,431,431,2013,0.17,85.92,505.43,595.34,1.4291666666666667,1.4985000000000004,2.927666666666667,9.919500000000001,6.991833333333333
dia 18 - Soja Saudavel Vaso 5,18.0,5.0,1,2725,408,408,1909,0.17,81.55,478.86,563.89,1.3563333333333332,1.4171666666666662,2.7734999999999994,9.395333333333333,6.621833333333333
dia 11 - Soja Saudavel Vaso 1,11.0,1.0,1,4143,621,621,2901,0.16,156.14,881.95,1039.77,2.5996666666666663,2.6303333333333323,5.2299999999999995,17.326833333333333,12.096833333333334
dia 11 - Soja Saudavel Vaso 2,11.0,2.0,1,3416,512,512,2392,0.16,131.24,731.77,861.45,2.1846666666666668,2.161333333333334,4.346000000000002,14.354833333333335,10.008833333333333
dia 11 - Soja Saudavel Vaso 3,11.0,3.0,1,4129,619,619,2891,0.17,155.36,889.79,1047.76,2.5865000000000005,2.6328333333333336,5.219333333333335,17.459833333333332,12.240499999999999
dia 11 - Soja Saudavel Vaso 4,11.0,4.0,1,3692,553,553,2586,0.16,134.34,786.98,927.73,2.2363333333333335,2.345833333333333,4.582166666666667,15.4595,10.877333333333333
dia 11 - Soja Saudavel Vaso 5,11.0,5.0,1,3754,563,563,2628,0.16,137.48,788.45,928.15,2.2886666666666664,2.3283333333333323,4.616999999999999,15.4665,10.8495
dia 12 - Soja Saudavel Vaso 2,12.0,2.0,1,3626,543,543,2540,0.16,140.04,787.43,927.5,2.3313333333333333,2.3345000000000007,4.665833333333334,15.455666666666668,10.789833333333332
dia 13 - Soja Saudavel Vaso 1,13.0,1.0,1,3189,478,478,2233,0.16,126.19,720.16,846.92,2.1005,2.1126666666666667,4.213166666666667,14.112666666666666,9.8995
dia 13 - Soja Saudavel Vaso 3,13.0,3.0,1,3419,512,512,2395,0.16,135.51,777.96,913.88,2.2558333333333334,2.2653333333333325,4.521166666666667,15.228666666666667,10.707500000000001
dia 13 - Soja Saudavel Vaso 4,13.0,4.0,1,2543,381,381,1781,0.16,100.34,573.09,674.31,1.6696666666666669,1.6869999999999985,3.356666666666665,11.235833333333334,7.879166666666666
dia 13 - Soja Saudavel Vaso 5,13.0,5.0,1,3192,478,478,2236,0.16,126.2,720.68,848.14,2.1006666666666667,2.124333333333334,4.2250000000000005,14.133000000000001,9.907999999999998
dia 19 - Soja Saudavel Vaso 1,19.0,1.0,1,1813,271,271,1271,0.17,79.53,460.45,541.82,1.3226666666666667,1.3561666666666676,2.6788333333333347,9.027500000000002,6.348666666666666
dia 19 - Soja Saudavel Vaso 2,19.0,2.0,1,1921,288,288,1345,0.16,85.07,490.34,577.25,1.4151666666666667,1.4485000000000003,2.863666666666667,9.618166666666667,6.754499999999999
dia 19 - Soja Saudavel Vaso 3,19.0,3.0,1,1810,271,271,1268,0.16,80.29,462.48,544.49,1.3355000000000001,1.3668333333333331,2.7023333333333333,9.072166666666668,6.369833333333333
dia 19 - Soja Saudavel Vaso 4,19.0,4.0,1,1702,255,255,1192,0.16,80.54,464.3,546.94,1.3396666666666668,1.377333333333334,2.7170000000000005,9.113000000000001,6.396
dia 19 - Soja Saudavel Vaso 5,19.0,5.0,1,1865,279,279,1307,0.16,88.87,515.31,609.51,1.4785000000000001,1.5700000000000007,3.048500000000001,10.155833333333334,7.107333333333332
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,3401,510,510,2381,0.16,126.66,729.85,859.42,2.1083333333333334,2.159499999999999,4.267833333333332,14.321,10.053166666666668
dia 11 - Soja Heterodera Vaso 7,11.0,7.0,0,3154,473,473,2208,0.16,119.96,673.53,792.59,1.9966666666666666,1.9843333333333344,3.981000000000001,13.207166666666668,9.226166666666666
dia 12 - Soja Heterodera Vaso 6,12.0,6.0,0,3557,533,533,2491,0.16,141.47,787.39,924.36,2.355166666666667,2.282833333333334,4.638000000000001,15.403333333333334,10.765333333333333
dia 12 - Soja Heterodera Vaso 7,12.0,7.0,0,3681,552,552,2577,0.16,139.7,794.31,935.55,2.3256666666666663,2.354,4.679666666666666,15.589833333333333,10.910166666666665
dia 12 - Soja Heterodera Vaso 8,12.0,8.0,0,3540,531,531,2478,0.16,133.85,775.1,915.1,2.2281666666666666,2.3333333333333335,4.5615,15.249,10.6875
dia 12 - Soja Heterodera Vaso 9,12.0,9.0,0,3634,545,545,2544,0.16,137.84,781.52,919.02,2.2946666666666666,2.2916666666666665,4.586333333333333,15.314333333333334,10.728
dia 12 - Soja Heterodera Vaso 1,12.0,1.0,0,3571,535,535,2501,0.16,139.43,782.73,920.69,2.321166666666667,2.299333333333334,4.620500000000001,15.342166666666667,10.721666666666666
dia 18 - Soja Heterodera Vaso 6,18.0,6.0,0,2474,371,371,1732,0.16,84.97,495.69,584.02,1.4135,1.4721666666666664,2.8856666666666664,9.731,6.8453333333333335
dia 18 - Soja Heterodera Vaso 7,18.0,7.0,0,2455,368,368,1719,0.16,84.48,493.16,580.82,1.4053333333333335,1.4610000000000005,2.866333333333334,9.677666666666669,6.811333333333334
dia 18 - Soja Heterodera Vaso 8,18.0,8.0,0,2005,300,300,1405,0.16,69.01,403.43,475.26,1.1475000000000002,1.1971666666666665,2.344666666666667,7.918333333333333,5.573666666666667
dia 18 - Soja Heterodera Vaso 9,18.0,9.0,0,1902,285,285,1332,0.17,65.58,381.96,449.82,1.0901666666666665,1.1310000000000002,2.221166666666667,7.494166666666667,5.273
dia 18 - Soja Heterodera Vaso 1,18.0,1.0,0,1972,295,295,1382,0.16,72.73,424.21,499.69,1.2095,1.2580000000000002,2.4675000000000002,8.3255,5.858
dia 19 - Soja Heterodera Vaso 6,19.0,6.0,0,1719,257,257,1205,0.16,69.64,404.03,476.11,1.1580000000000001,1.201333333333334,2.359333333333334,7.9325,5.573166666666666
dia 19 - Soja Heterodera Vaso 7,19.0,7.0,0,2158,323,323,1512,0.17,87.78,509.21,599.12,1.4601666666666666,1.4985000000000004,2.9586666666666672,9.9825,7.023833333333332
dia 19 - Soja Heterodera Vaso 8,19.0,8.0,0,2161,324,324,1513,0.16,88.26,508.06,598.53,1.4683333333333335,1.507833333333333,2.9761666666666664,9.972833333333334,6.996666666666667
dia 19 - Soja Heterodera Vaso 9,19.0,9.0,0,2161,324,324,1513,0.16,88.26,508.06,598.53,1.4683333333333335,1.507833333333333,2.9761666666666664,9.972833333333334,6.996666666666667
dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,1891,283,283,1325,0.16,82.36,476.39,560.39,1.37,1.4,2.77,9.337166666666667,6.567166666666666
dia 20 sem pressao - Soja Heter,20.0,,0,2255,338,338,1579,0.17,73.57,416.41,489.91,1.2233333333333332,1.225,2.448333333333333,8.162333333333333,5.714
Página3,,,0,2225,333,333,1559,0.16,71.96,409.74,482.0,1.1966666666666665,1.2043333333333333,2.4010000000000002,8.030666666666667,5.629666666666667
Página4,,,0,2246,336,336,1574,0.16,71.74,409.38,481.47,1.193,1.2015000000000005,2.3945000000000003,8.021833333333333,5.6273333333333335
