aba,aviso
dia 18 - Soja Saudavel Vaso 1,282 valores de Temp. convertidos de data para numero.
dia 18 - Soja Saudavel Vaso 2,128 valores de Temp. convertidos de data para numero.
dia 11 - Soja Saudavel Vaso 1,22 valores de Temp. convertidos de data para numero.
dia 13 - Soja Saudavel Vaso 3,368 valores de Temp. convertidos de data para numero.
dia 13 - Soja Saudavel Vaso 4,107 valores de Temp. convertidos de data para numero.
dia 19 - Soja Saudavel Vaso 1,71 valores de Temp. convertidos de data para numero.
dia 19 - Soja Saudavel Vaso 3,Classe criada a partir de Unnamed: 10.
dia 19 - Soja Saudavel Vaso 4,Classe criada a partir de Unnamed: 10.
dia 12 - Soja Heterodera Vaso 6,220 valores de Temp. convertidos de data para numero.
dia 12 - Soja Heterodera Vaso 7,139 valores de Temp. convertidos de data para numero.
dia 19 - Soja Heterodera Vaso 6,81 valores de Temp. convertidos de data para numero.
dia 19 - Soja Heterodera Vaso 7,41 valores de Temp. convertidos de data para numero.
dia 20 sem pressao - Soja Heter,Vaso nao encontrado no nome da aba.
Página3,Dia nao encontrado no nome da aba.
Página3,Vaso nao encontrado no nome da aba.
Página4,Dia nao encontrado no nome da aba.
Página4,Vaso nao encontrado no nome da aba.
Página5,Dia nao encontrado no nome da aba.
Página5,Vaso nao encontrado no nome da aba.
Página6,Dia nao encontrado no nome da aba.
Página6,Vaso nao encontrado no nome da aba.
dia 21 sem pressao - Soja Heter,Vaso nao encontrado no nome da aba.
Página7,96 valores de Temp. convertidos de data para numero.
Página7,Dia nao encontrado no nome da aba.
Página7,Vaso nao encontrado no nome da aba.
Página8,Dia nao encontrado no nome da aba.
Página8,Vaso nao encontrado no nome da aba.
dia 20 sem pressao - Soja Sauda,111 valores de Temp. convertidos de data para numero.
dia 20 sem pressao - Soja Sauda,Vaso nao encontrado no nome da aba.
Página9,27 valores de Temp. convertidos de data para numero.
Página9,Dia nao encontrado no nome da aba.
Página9,Vaso nao encontrado no nome da aba.
Página10,Dia nao encontrado no nome da aba.
Página10,Vaso nao encontrado no nome da aba.
Página11,Dia nao encontrado no nome da aba.
Página11,Vaso nao encontrado no nome da aba.
Página12,Dia nao encontrado no nome da aba.
Página12,Vaso nao encontrado no nome da aba.
dia 21 sem pressao - Soja Sauda,212 valores de Temp. convertidos de data para numero.
dia 21 sem pressao - Soja Sauda,Vaso nao encontrado no nome da aba.
Página13,177 valores de Temp. convertidos de data para numero.
Página13,Dia nao encontrado no nome da aba.
Página13,Vaso nao encontrado no nome da aba.
Página14,32 valores de Temp. convertidos de data para numero.
Página14,Dia nao encontrado no nome da aba.
Página14,Vaso nao encontrado no nome da aba.
Página15,Dia nao encontrado no nome da aba.
Página15,Vaso nao encontrado no nome da aba.
REGRA_APLICADA,20616 linhas sem Dia foram preenchidas: Pagina13/Pagina14/Pagina15 = dia 21; demais abas sem Dia = dia 20.
Página10,Dia preenchido automaticamente como 20.
Página11,Dia preenchido automaticamente como 20.
Página12,Dia preenchido automaticamente como 20.
Página13,Dia preenchido automaticamente como 21.
Página14,Dia preenchido automaticamente como 21.
Página15,Dia preenchido automaticamente como 21.
Página3,Dia preenchido automaticamente como 20.
Página4,Dia preenchido automaticamente como 20.
Página5,Dia preenchido automaticamente como 20.
Página6,Dia preenchido automaticamente como 20.
Página7,Dia preenchido automaticamente como 20.
Página8,Dia preenchido automaticamente como 20.
Página9,Dia preenchido automaticamente como 20.
COLUNAS_REMOVIDAS,"Tempo, Soil, Temp., Pres."
