Coleta,Classe,Conjunto,indice_inicio,indice_fim,linhas
dia 11 - Soja Heterodera Vaso 6,0,Treino,0,2380,2381
dia 11 - Soja Heterodera Vaso 7,0,Treino,2381,4588,2208
dia 12 - Soja Heterodera Vaso 6,0,Treino,4589,7079,2491
dia 12 - Soja Heterodera Vaso 7,0,Teste,7080,9656,2577
dia 12 - Soja Heterodera Vaso 8,0,Teste,9657,12134,2478
dia 12 - Soja Heterodera Vaso 9,0,Treino,12135,14678,2544
dia 12 - Soja Heterodera Vaso 1,0,Teste,14679,17179,2501
dia 18 - Soja Heterodera Vaso 6,0,Teste,17180,18911,1732
dia 18 - Soja Heterodera Vaso 7,0,Treino,18912,20630,1719
dia 18 - Soja Heterodera Vaso 8,0,Treino,20631,22035,1405
dia 18 - Soja Heterodera Vaso 9,0,Teste,22036,23367,1332
dia 18 - Soja Heterodera Vaso 1,0,Treino,23368,24749,1382
dia 19 - Soja Heterodera Vaso 6,0,Teste,24750,25954,1205
dia 19 - Soja Heterodera Vaso 7,0,Treino,25955,27466,1512
dia 19 - Soja Heterodera Vaso 8,0,Treino,27467,28979,1513
dia 19 - Soja Heterodera Vaso 9,0,Treino,28980,30492,1513
dia 19 - Soja Heterodera Vaso 1,0,Treino,30493,31817,1325
dia 18 - Soja Saudavel Vaso 1,1,Treino,31818,34077,2260
dia 18 - Soja Saudavel Vaso 2,1,Treino,34078,36005,1928
dia 18 - Soja Saudavel Vaso 4,1,Treino,36006,38018,2013
dia 18 - Soja Saudavel Vaso 5,1,Treino,38019,39927,1909
dia 11 - Soja Saudavel Vaso 1,1,Teste,39928,42828,2901
dia 11 - Soja Saudavel Vaso 2,1,Treino,42829,45220,2392
dia 11 - Soja Saudavel Vaso 3,1,Teste,45221,48111,2891
dia 11 - Soja Saudavel Vaso 4,1,Teste,48112,50697,2586
dia 11 - Soja Saudavel Vaso 5,1,Treino,50698,53325,2628
dia 12 - Soja Saudavel Vaso 2,1,Treino,53326,55865,2540
dia 13 - Soja Saudavel Vaso 1,1,Teste,55866,58098,2233
dia 13 - Soja Saudavel Vaso 3,1,Treino,58099,60493,2395
dia 13 - Soja Saudavel Vaso 4,1,Teste,60494,62274,1781
dia 13 - Soja Saudavel Vaso 5,1,Treino,62275,64510,2236
dia 19 - Soja Saudavel Vaso 1,1,Teste,64511,65781,1271
dia 19 - Soja Saudavel Vaso 2,1,Treino,65782,67126,1345
dia 19 - Soja Saudavel Vaso 3,1,Treino,67127,68394,1268
dia 19 - Soja Saudavel Vaso 4,1,Treino,68395,69586,1192
dia 19 - Soja Saudavel Vaso 5,1,Treino,69587,70893,1307
