classe,feature,dia_20_mais,melhor_acuracia_sem_pressao,diferenca_media_dia20_menos_sempressao,diferenca_percentual_media
0,MQ135,11956.762263844968,18942.786529213943,-6986.024265368975,-36.879601924431704
0,MQ138,5667.147571555988,9739.531351164473,-4072.3837796084845,-41.812933628696456
0,MQ2,7459.462904402822,9129.171983530818,-1669.7090791279961,-18.289819516383083
0,MQ3,10979.555501500041,15680.211962158595,-4700.656460658554,-29.97827116114727
0,MQ7,4503.543825508797,1157.0892604582457,3346.4545650505515,289.21317303776937
0,MQ8,4247.189653774426,3319.064210956407,928.1254428180191,27.963467526606685
1,MQ135,10428.665657381242,17709.940219060292,-7281.274561679051,-41.11405499744483
1,MQ138,5381.922285022204,12529.826364008599,-7147.904078986395,-57.04711199764467
1,MQ2,4428.993742430359,11873.545040434026,-7444.551298003667,-62.698640318894505
1,MQ3,9565.790808774054,14652.810523083223,-5087.019714309168,-34.71702378390385
1,MQ7,845.7778899206029,5096.9073088340665,-4251.129418913463,-83.4060570720075
1,MQ8,3695.6347059615127,4988.248822806838,-1292.614116845325,-25.913184421261164
