dataset,classe,feature,media,desvio,min,q25,mediana,q75,max
melhor_acuracia_sem_pressao,0,MQ2,9129.171983530818,3403.777313251485,4489.0,6383.0,7300.0,11609.0,17625.0
melhor_acuracia_sem_pressao,0,MQ3,15680.211962158595,2193.139400434333,10794.0,14100.0,14852.0,18102.0,19073.0
melhor_acuracia_sem_pressao,0,MQ7,1157.0892604582457,2135.8889844689957,70.0,154.0,319.0,875.0,8661.0
melhor_acuracia_sem_pressao,0,MQ8,3319.064210956407,768.2841563771752,2471.0,2616.0,3215.0,3647.0,12679.0
melhor_acuracia_sem_pressao,0,MQ135,18942.786529213943,2733.9768767287756,9766.0,18527.0,19645.0,20508.0,21631.0
melhor_acuracia_sem_pressao,0,MQ138,9739.531351164473,1666.1816920758788,2776.0,8557.0,9313.0,11167.0,14328.0
melhor_acuracia_sem_pressao,1,MQ2,11873.545040434026,4979.950596953033,5958.0,7987.0,10144.0,13468.0,21819.0
melhor_acuracia_sem_pressao,1,MQ3,14652.810523083223,3724.264466286751,6324.0,13075.5,15157.5,17870.0,19497.0
melhor_acuracia_sem_pressao,1,MQ7,5096.9073088340665,8264.259926730578,63.0,368.0,1029.0,1592.0,21820.0
melhor_acuracia_sem_pressao,1,MQ8,4988.248822806838,2181.576437152146,2177.0,3597.0,4326.0,7249.25,16359.0
melhor_acuracia_sem_pressao,1,MQ135,17709.940219060292,5377.618716749499,6253.0,17988.75,20331.0,20956.0,23018.0
melhor_acuracia_sem_pressao,1,MQ138,12529.826364008599,4672.344264097949,3542.0,8877.0,11339.0,13273.0,21823.0
dia_20_mais,0,MQ2,7459.462904402822,3507.100744055617,3547.0,4459.0,5515.0,11795.0,13759.0
dia_20_mais,0,MQ3,10979.555501500041,1631.851212607674,7893.0,9185.0,11551.0,12018.0,13759.0
dia_20_mais,0,MQ7,4503.543825508797,5685.693234846732,90.0,118.0,270.0,11797.0,13761.0
dia_20_mais,0,MQ8,4247.189653774426,1041.8208368670585,2612.0,3042.0,4496.0,5199.0,6478.0
dia_20_mais,0,MQ135,11956.762263844968,1861.5889138191326,8962.0,9819.0,12823.0,13625.0,14325.0
dia_20_mais,0,MQ138,5667.147571555988,1431.4477514222722,3584.0,4252.0,5129.0,7304.0,8019.0
dia_20_mais,1,MQ2,4428.993742430359,614.2955876454012,3432.0,3837.0,4496.0,5018.0,9531.0
dia_20_mais,1,MQ3,9565.790808774054,1227.5776670529222,7450.0,8404.0,9660.5,10336.0,13078.0
dia_20_mais,1,MQ7,845.7778899206029,1413.9692985219597,99.0,131.0,157.0,438.0,9525.0
dia_20_mais,1,MQ8,3695.6347059615127,1080.9482172470002,2681.0,3007.0,3392.5,3638.0,6849.0
dia_20_mais,1,MQ135,10428.665657381242,1830.1924897679726,8411.0,8943.0,10250.0,11175.0,16393.0
dia_20_mais,1,MQ138,5381.922285022204,1918.6894931668762,3690.0,4190.25,4828.0,4967.0,11881.0
