Classe,Coleta,Conjunto,linhas,linha_inicial,linha_final
0,dia 20 sem pressao - Soja Heter,Treino,1579,0,1578
0,Página3,Treino,1559,1579,3137
0,Página4,Treino,1574,3138,4711
0,Página5,Teste,1580,4712,6291
0,Página6,Teste,1388,6292,7679
0,dia 21 sem pressao - Soja Heter,Treino,1676,7680,9355
0,Página7,Teste,1456,9356,10811
0,Página8,Treino,1521,10812,12332
1,dia 20 sem pressao - Soja Sauda,Treino,1410,12333,13742
1,Página9,Treino,1588,13743,15330
1,Página10,Treino,1574,15331,16904
1,Página11,Teste,1602,16905,18506
1,Página12,Teste,1412,18507,19918
1,dia 21 sem pressao - Soja Sauda,Treino,1914,19919,21832
1,Página13,Teste,1915,21833,23747
1,Página14,Treino,1945,23748,25692
1,Página15,Treino,1502,25693,27194
