Classe,Coleta,Conjunto,linhas,linha_inicial,linha_final
0,dia 11 - Soja Heterodera Vaso 6,Treino,2381,0,2380
0,dia 11 - Soja Heterodera Vaso 7,Treino,2208,2381,4588
0,dia 12 - Soja Heterodera Vaso 6,Treino,2491,4589,7079
0,dia 12 - Soja Heterodera Vaso 7,Teste,2577,7080,9656
0,dia 12 - Soja Heterodera Vaso 8,Teste,2478,9657,12134
0,dia 12 - Soja Heterodera Vaso 9,Treino,2544,12135,14678
0,dia 12 - Soja Heterodera Vaso 10,Teste,2501,14679,17179
0,dia 18 - Soja Heterodera Vaso 6,Teste,1732,17180,18911
0,dia 18 - Soja Heterodera Vaso 7,Treino,1719,18912,20630
0,dia 18 - Soja Heterodera Vaso 8,Treino,1405,20631,22035
0,dia 18 - Soja Heterodera Vaso 9,Teste,1332,22036,23367
0,dia 18 - Soja Heterodera Vaso 10,Treino,1382,23368,24749
0,dia 19 - Soja Heterodera Vaso 6,Teste,1205,24750,25954
0,dia 19 - Soja Heterodera Vaso 7,Treino,1512,25955,27466
0,dia 19 - Soja Heterodera Vaso 8,Treino,1513,27467,28979
0,dia 19 - Soja Heterodera Vaso 9,Treino,1513,28980,30492
0,dia 19 - Soja Heterodera Vaso 10,Treino,1324,30493,31816
1,dia 18 - Soja Saudavel Vaso 1,Treino,2260,31817,34076
1,dia 18 - Soja Saudavel Vaso 2,Treino,1928,34077,36004
1,dia 18 - Soja Saudavel Vaso 4,Treino,2013,36005,38017
1,dia 18 - Soja Saudavel Vaso 5,Treino,1909,38018,39926
1,dia 11 - Soja Saudavel Vaso 1,Teste,2901,39927,42827
1,dia 11 - Soja Saudavel Vaso 2,Treino,2392,42828,45219
1,dia 11 - Soja Saudavel Vaso 3,Teste,2891,45220,48110
1,dia 11 - Soja Saudavel Vaso 4,Teste,2586,48111,50696
1,dia 11 - Soja Saudavel Vaso 5,Treino,2628,50697,53324
1,dia 12 - Soja Saudavel Vaso 2,Treino,2540,53325,55864
1,dia 13 - Soja Saudavel Vaso 1,Teste,2233,55865,58097
1,dia 13 - Soja Saudavel Vaso 3,Treino,2395,58098,60492
1,dia 13 - Soja Saudavel Vaso 4,Teste,1781,60493,62273
1,dia 13 - Soja Saudavel Vaso 5,Treino,2236,62274,64509
1,dia 19 - Soja Saudavel Vaso 1,Teste,1271,64510,65780
1,dia 19 - Soja Saudavel Vaso 2,Treino,1345,65781,67125
1,dia 19 - Soja Saudavel Vaso 3,Treino,1268,67126,68393
1,dia 19 - Soja Saudavel Vaso 4,Treino,1192,68394,69585
1,dia 19 - Soja Saudavel Vaso 5,Treino,1307,69586,70892
