dataset,metrica,valor
melhor_acuracia_sem_pressao,linhas,70894.0
melhor_acuracia_sem_pressao,colunas,10.0
melhor_acuracia_sem_pressao,coletas_unicas,36.0
melhor_acuracia_sem_pressao,dias_unicos,5.0
melhor_acuracia_sem_pressao,vasos_unicos,9.0
melhor_acuracia_sem_pressao,dia_min,11.0
melhor_acuracia_sem_pressao,dia_max,19.0
melhor_acuracia_sem_pressao,classe_0.0_linhas,31817.0
melhor_acuracia_sem_pressao,classe_0.0_percentual,44.8797
melhor_acuracia_sem_pressao,classe_1.0_linhas,39076.0
melhor_acuracia_sem_pressao,classe_1.0_percentual,55.1189
melhor_acuracia_sem_pressao,classe_nan_linhas,1.0
melhor_acuracia_sem_pressao,classe_nan_percentual,0.0014
dia_20_mais,linhas,27195.0
dia_20_mais,colunas,10.0
dia_20_mais,coletas_unicas,17.0
dia_20_mais,dias_unicos,2.0
dia_20_mais,vasos_unicos,0.0
dia_20_mais,dia_min,20.0
dia_20_mais,dia_max,21.0
dia_20_mais,classe_0_linhas,12333.0
dia_20_mais,classe_0_percentual,45.3502
dia_20_mais,classe_1_linhas,14862.0
dia_20_mais,classe_1_percentual,54.6498
