Classe,Coleta,Conjunto,linhas,linha_inicial,linha_final
0,dia 11 - Soja Heterodera Vaso 6,Treino,2381,0,2380
0,dia 11 - Soja Heterodera Vaso 7,Treino,2208,2381,4588
0,dia 12 - Soja Heterodera Vaso 6,Treino,2491,4589,7079
0,dia 12 - Soja Heterodera Vaso 7,Teste,2577,7080,9656
0,dia 12 - Soja Heterodera Vaso 8,Teste,2478,9657,12134
0,dia 12 - Soja Heterodera Vaso 9,Treino,2544,12135,14678
0,dia 12 - Soja Heterodera Vaso 1,Teste,2501,14679,17179
0,dia 18 - Soja Heterodera Vaso 6,Teste,1732,17180,18911
0,dia 18 - Soja Heterodera Vaso 7,Treino,1719,18912,20630
0,dia 18 - Soja Heterodera Vaso 8,Treino,1405,20631,22035
0,dia 18 - Soja Heterodera Vaso 9,Teste,1332,22036,23367
0,dia 18 - Soja Heterodera Vaso 1,Treino,1382,23368,24749
0,dia 19 - Soja Heterodera Vaso 6,Teste,1205,24750,25954
0,dia 19 - Soja Heterodera Vaso 7,Treino,1512,25955,27466
0,dia 19 - Soja Heterodera Vaso 8,Treino,1513,27467,28979
0,dia 19 - Soja Heterodera Vaso 9,Treino,1513,28980,30492
0,dia 19 - Soja Heterodera Vaso 1,Treino,1325,30493,31817
1,dia 18 - Soja Saudavel Vaso 1,Treino,2260,31818,34077
1,dia 18 - Soja Saudavel Vaso 2,Treino,1928,34078,36005
1,dia 18 - Soja Saudavel Vaso 4,Treino,2013,36006,38018
1,dia 18 - Soja Saudavel Vaso 5,Treino,1909,38019,39927
1,dia 11 - Soja Saudavel Vaso 1,Teste,2901,39928,42828
1,dia 11 - Soja Saudavel Vaso 2,Treino,2392,42829,45220
1,dia 11 - Soja Saudavel Vaso 3,Teste,2891,45221,48111
1,dia 11 - Soja Saudavel Vaso 4,Teste,2586,48112,50697
1,dia 11 - Soja Saudavel Vaso 5,Treino,2628,50698,53325
1,dia 12 - Soja Saudavel Vaso 2,Treino,2540,53326,55865
1,dia 13 - Soja Saudavel Vaso 1,Teste,2233,55866,58098
1,dia 13 - Soja Saudavel Vaso 3,Treino,2395,58099,60493
1,dia 13 - Soja Saudavel Vaso 4,Teste,1781,60494,62274
1,dia 13 - Soja Saudavel Vaso 5,Treino,2236,62275,64510
1,dia 19 - Soja Saudavel Vaso 1,Teste,1271,64511,65781
1,dia 19 - Soja Saudavel Vaso 2,Treino,1345,65782,67126
1,dia 19 - Soja Saudavel Vaso 3,Treino,1268,67127,68394
1,dia 19 - Soja Saudavel Vaso 4,Treino,1192,68395,69586
1,dia 19 - Soja Saudavel Vaso 5,Treino,1307,69587,70893
