inner_fold,threshold,tipo,accuracy,balanced_accuracy,f1_macro,outer_fold
1,0.5,limiar_padrao,0.756917211328976,0.7869126381493508,0.7543552970521756,1
2,0.5,limiar_padrao,0.8517481066500674,0.8475339589203006,0.8495694537200632,1
3,0.5,limiar_padrao,0.6868613517298615,0.6891849673922615,0.6866420651561437,1
todos,0.47,busca_limiar,0.7799427236150887,0.7829209030359741,0.7794352922422345,1
todos,0.45999999999999996,busca_limiar,0.7786777237029359,0.7811806776427511,0.7780644334217512,1
todos,0.44999999999999996,busca_limiar,0.7768856404940527,0.7787315426639043,0.7761081763872306,1
todos,0.44,busca_limiar,0.7734068907356326,0.7744941301683967,0.7724115645782084,1
todos,0.48,busca_limiar,0.7690145299295466,0.773377111441032,0.768761169632961,1
todos,0.62,busca_limiar,0.7586661278704078,0.7729165635481803,0.7575998194253447,1
todos,0.51,busca_limiar,0.7658168912627159,0.7722343971145506,0.7657812615878328,1
todos,0.63,busca_limiar,0.7574538362879281,0.7721070583327201,0.7562439063453347,1
todos,0.61,busca_limiar,0.7581566140169018,0.771909363280775,0.7572407423023894,1
todos,0.5,busca_limiar,0.76530737740921,0.7712731014871846,0.7652412860836084,1
todos,0.64,busca_limiar,0.755257655884885,0.7703603250172475,0.7538678220086936,1
todos,0.49,busca_limiar,0.7649032802150499,0.7702805625952565,0.7647832014342553,1
todos,0.43,busca_limiar,0.7697875854314177,0.7699876362571669,0.7684992517031668,1
todos,0.65,busca_limiar,0.7534128643463288,0.7691874237086881,0.7517430077286517,1
todos,0.6,busca_limiar,0.7556617530790449,0.7686903947868879,0.7549347754050035,1
todos,0.6599999999999999,busca_limiar,0.7509355728516963,0.7673898229714204,0.7489458840655181,1
todos,0.42,busca_limiar,0.7673981411529068,0.7666420840924818,0.7657501298499276,1
todos,0.6699999999999999,busca_limiar,0.7493718924047297,0.7665220301679515,0.7470354758742426,1
todos,0.59,busca_limiar,0.7537466837675914,0.766069373840108,0.7531867411549362,1
todos,0.56,busca_limiar,0.7555563364196989,0.7659708907752406,0.755358148681421,1
todos,0.6799999999999999,busca_limiar,0.7475973786390709,0.7653035821332523,0.7449534955062411,1
todos,0.5700000000000001,busca_limiar,0.7540980726320783,0.7648493937593259,0.753846659980183,1
todos,0.55,busca_limiar,0.7544846003830139,0.7644558761562037,0.7543412319086334,1
