Coleta,Dia,Vaso,Tempo,Soil,Temp.,Pres.,MQ2,MQ3,MQ7,MQ8,MQ135,MQ138,Classe
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,126.66,106.0,36.1,93.56,6763.666666666667,13812.833333333334,482.0,3085.5,19924.0,12695.833333333334,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,126.91,119.0,36.1,93.55,6757.428571428572,13775.857142857143,481.42857142857144,3085.285714285714,19938.285714285714,12695.57142857143,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,127.16,118.0,36.1,93.55,6753.375,13745.375,481.0,3085.0,19950.125,12695.625,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,127.41,108.0,36.1,93.55,6750.666666666667,13726.111111111111,480.77777777777777,3084.8888888888887,19958.11111111111,12695.777777777777,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,127.69,117.0,36.1,93.55,6750.4,13711.3,480.7,3084.9,19964.7,12695.9,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,127.94,106.0,36.2,93.55,6748.272727272727,13700.90909090909,480.6363636363636,3084.818181818182,19967.18181818182,12695.818181818182,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,128.19,102.0,36.1,93.56,6743.818181818182,13665.09090909091,479.90909090909093,3084.3636363636365,19978.090909090908,12695.727272727272,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,128.43,122.0,36.2,93.55,6738.545454545455,13629.727272727272,479.45454545454544,3083.909090909091,19991.090909090908,12695.545454545454,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,128.74,114.0,36.1,93.56,6732.0,13577.818181818182,478.72727272727275,3083.2727272727275,20006.545454545456,12695.5,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,128.98,100.0,36.2,93.55,6725.181818181818,13522.0,478.1818181818182,3082.7272727272725,20026.18181818182,12695.3,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,129.23,104.0,36.2,93.55,6725.272727272727,13518.454545454546,478.09090909090907,3082.909090909091,20029.18181818182,12695.1,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,129.48,110.0,36.2,93.55,6725.0,13518.272727272728,477.90909090909093,3083.0,20032.090909090908,12694.9,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,129.73,113.0,36.2,93.55,6727.909090909091,13536.363636363636,478.1818181818182,3083.090909090909,20026.727272727272,12694.9,0
dia 11 - Soja Heterodera Vaso 6,11.0,6.0,129.98,123.0,36.2,93.55,6731.454545454545,13564.363636363636,478.54545454545456,3083.5454545454545,20020.545454545456,12694.6,0
