avaliacao,modelo,fold,accuracy,balanced_accuracy,f1_macro
stratified_group_kfold,gaussian_nb_power,1,0.7811404450168133,0.8035576676085281,0.7787126568085531
stratified_group_kfold,gaussian_nb_power,2,0.5779736956207544,0.6390176125947522,0.5495165495165495
stratified_group_kfold,gaussian_nb_power,3,0.8867503271999384,0.8873278559367475,0.8864950424798125
stratified_group_kfold,gaussian_nb_power,4,0.4293319137609795,0.4604068042580003,0.3619395371178929
stratified_group_kfold,gaussian_nb_power,5,0.6446687026955251,0.6529373787273334,0.6437424676505062
stratified_group_kfold_media,gaussian_nb_power,media,0.6639730168588022,0.6886494638250724,0.6440812507146629
stratified_group_kfold,gaussian_nb_quantile,1,0.7560277598912499,0.7751273434009238,0.7544988686510223
stratified_group_kfold,gaussian_nb_quantile,2,0.544659632894927,0.5969262351276077,0.5243268070874452
stratified_group_kfold,gaussian_nb_quantile,3,0.8685041188698129,0.8718176909540162,0.8685025405647263
stratified_group_kfold,gaussian_nb_quantile,4,0.5171679531541123,0.540858420838863,0.48980970342522756
stratified_group_kfold,gaussian_nb_quantile,5,0.7953790997211526,0.7898213902411739,0.7917140002972112
stratified_group_kfold_media,gaussian_nb_quantile,media,0.696347712906251,0.7149102161125169,0.6857703840051265
stratified_group_kfold,gaussian_nb_raw,1,0.6235243614509551,0.6620857950166966,0.5956950164928039
stratified_group_kfold,gaussian_nb_raw,2,0.5779736956207544,0.6390176125947522,0.5495165495165495
stratified_group_kfold,gaussian_nb_raw,3,0.7992917083686196,0.8099768641578413,0.7965420603519517
stratified_group_kfold,gaussian_nb_raw,4,0.378626563747671,0.4136870004566514,0.2765056974543268
stratified_group_kfold,gaussian_nb_raw,5,0.5129464878502191,0.5316542954586883,0.4944901330838697
stratified_group_kfold_media,gaussian_nb_raw,media,0.5784725634076439,0.6112843135369259,0.5425498913799003
