cluster_dbscan,tipo_cluster,Coleta,Dia,Vaso,Classe,n_coleta_no_cluster,n_cluster,pct_no_cluster
-1,ruido,dia 19 - Soja Heterodera Vaso 10,19,1,0,45,52,86.5385
-1,ruido,dia 13 - Soja Saudavel Vaso 1,13,1,1,5,52,9.6154
-1,ruido,dia 19 - Soja Heterodera Vaso 8,19,8,0,1,52,1.9231
-1,ruido,dia 19 - Soja Heterodera Vaso 9,19,9,0,1,52,1.9231
0,cluster_0,dia 11 - Soja Saudavel Vaso 1,11,1,1,2901,59941,4.8398
0,cluster_0,dia 11 - Soja Saudavel Vaso 3,11,3,1,2891,59941,4.8231
0,cluster_0,dia 11 - Soja Saudavel Vaso 5,11,5,1,2628,59941,4.3843
0,cluster_0,dia 11 - Soja Saudavel Vaso 4,11,4,1,2586,59941,4.3142
0,cluster_0,dia 12 - Soja Heterodera Vaso 7,12,7,0,2577,59941,4.2992
0,cluster_0,dia 12 - Soja Heterodera Vaso 9,12,9,0,2544,59941,4.2442
0,cluster_0,dia 12 - Soja Saudavel Vaso 2,12,2,1,2540,59941,4.2375
0,cluster_0,dia 12 - Soja Heterodera Vaso 10,12,1,0,2501,59941,4.1724
0,cluster_0,dia 12 - Soja Heterodera Vaso 6,12,6,0,2491,59941,4.1558
0,cluster_0,dia 12 - Soja Heterodera Vaso 8,12,8,0,2478,59941,4.1341
0,cluster_0,dia 11 - Soja Saudavel Vaso 2,11,2,1,2392,59941,3.9906
0,cluster_0,dia 11 - Soja Heterodera Vaso 6,11,6,0,2381,59941,3.9722
0,cluster_0,dia 11 - Soja Heterodera Vaso 7,11,7,0,2208,59941,3.6836
0,cluster_0,dia 18 - Soja Saudavel Vaso 4,18,4,1,2013,59941,3.3583
0,cluster_0,dia 18 - Soja Saudavel Vaso 2,18,2,1,1928,59941,3.2165
0,cluster_0,dia 18 - Soja Saudavel Vaso 5,18,5,1,1909,59941,3.1848
0,cluster_0,dia 18 - Soja Heterodera Vaso 6,18,6,0,1732,59941,2.8895
0,cluster_0,dia 18 - Soja Heterodera Vaso 7,18,7,0,1719,59941,2.8678
0,cluster_0,dia 19 - Soja Heterodera Vaso 7,19,7,0,1512,59941,2.5225
0,cluster_0,dia 19 - Soja Heterodera Vaso 8,19,8,0,1512,59941,2.5225
0,cluster_0,dia 19 - Soja Heterodera Vaso 9,19,9,0,1512,59941,2.5225
0,cluster_0,dia 18 - Soja Heterodera Vaso 8,18,8,0,1405,59941,2.344
0,cluster_0,dia 18 - Soja Heterodera Vaso 10,18,1,0,1382,59941,2.3056
0,cluster_0,dia 19 - Soja Saudavel Vaso 2,19,2,1,1345,59941,2.2439
0,cluster_0,dia 18 - Soja Heterodera Vaso 9,18,9,0,1332,59941,2.2222
0,cluster_0,dia 19 - Soja Saudavel Vaso 5,19,5,1,1307,59941,2.1805
0,cluster_0,dia 19 - Soja Heterodera Vaso 10,19,1,0,1279,59941,2.1338
0,cluster_0,dia 19 - Soja Saudavel Vaso 1,19,1,1,1271,59941,2.1204
0,cluster_0,dia 19 - Soja Saudavel Vaso 3,19,3,1,1268,59941,2.1154
0,cluster_0,dia 19 - Soja Heterodera Vaso 6,19,6,0,1205,59941,2.0103
0,cluster_0,dia 19 - Soja Saudavel Vaso 4,19,4,1,1192,59941,1.9886
1,cluster_1,dia 18 - Soja Saudavel Vaso 1,18,1,1,2260,2260,100.0
2,cluster_2,dia 13 - Soja Saudavel Vaso 3,13,3,1,2395,8544,28.0314
2,cluster_2,dia 13 - Soja Saudavel Vaso 5,13,5,1,2236,8544,26.1704
2,cluster_2,dia 13 - Soja Saudavel Vaso 1,13,1,1,2132,8544,24.9532
2,cluster_2,dia 13 - Soja Saudavel Vaso 4,13,4,1,1781,8544,20.845
3,cluster_3,dia 13 - Soja Saudavel Vaso 1,13,1,1,96,96,100.0
