Coleta,Dia,Vaso,MQ2,MQ3,MQ7,MQ8,MQ135,MQ138,Classe,cluster_kmeans
dia 11 - Soja Heterodera Vaso 6,11,6,6778,13921,485,3087,19895.0,12695.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6779,13921,483,3087,19885.0,12696.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6786,13945,484,3088,19898.0,12696.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6784,13991,482,3086,19874.0,12697.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6724,13556,478,3081,20011.0,12696.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6731,13543,480,3084,19981.0,12695.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6720,13554,478,3084,20024.0,12694.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6725,13532,478,3083,20033.0,12696.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6729,13572,479,3084,20022.0,12697.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6748,13578,480,3085,20024.0,12697.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6727,13597,480,3084,19992.0,12695.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6729,13527,477,3082,20015.0,12694.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6721,13532,478,3082,20028.0,12694.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6714,13374,476,3081,20068.0,12677.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6709,13377,476,3080,20090.0,12695.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6725,13517,477,3083,20044.0,12694.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6728,13541,478,3085,20013.0,12693.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6752,13753,481,3085,19965.0,12694.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6764,13840,482,3088,19965.0,12693.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6762,13797,481,3088,19957.0,12695.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6754,13822,480,3087,19975.0,12694.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6753,13826,481,3088,19948.0,12694.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6761,13737,482,3089,19986.0,12694.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6771,13806,481,3088,19926.0,12693.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6774,13838,482,3088,19961.0,12692.0,0,0
dia 11 - Soja Heterodera Vaso 6,11,6,6771,13780,481,3087,19950.0,12693.0,0,0
