cluster_teste,Coleta,Dia,Vaso,Classe,n_coleta_no_cluster,n_cluster,pct_no_cluster
-1,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,50,58,86.2069
-1,dia 13 - Soja Saudavel Vaso 1,13.0,1.0,1,5,58,8.6207
-1,Página14,,,1,1,58,1.7241
-1,dia 19 - Soja Heterodera Vaso 8,19.0,8.0,0,1,58,1.7241
-1,dia 19 - Soja Heterodera Vaso 9,19.0,9.0,0,1,58,1.7241
0,dia 11 - Soja Saudavel Vaso 1,11.0,1.0,1,2901,87131,3.3295
0,dia 11 - Soja Saudavel Vaso 3,11.0,3.0,1,2891,87131,3.318
0,dia 11 - Soja Saudavel Vaso 5,11.0,5.0,1,2628,87131,3.0161
0,dia 11 - Soja Saudavel Vaso 4,11.0,4.0,1,2586,87131,2.9679
0,dia 12 - Soja Heterodera Vaso 7,12.0,7.0,0,2577,87131,2.9576
0,dia 12 - Soja Heterodera Vaso 9,12.0,9.0,0,2544,87131,2.9197
0,dia 12 - Soja Saudavel Vaso 2,12.0,2.0,1,2540,87131,2.9152
0,dia 12 - Soja Heterodera Vaso 1,12.0,1.0,0,2501,87131,2.8704
0,dia 12 - Soja Heterodera Vaso 6,12.0,6.0,0,2491,87131,2.8589
0,dia 12 - Soja Heterodera Vaso 8,12.0,8.0,0,2478,87131,2.844
0,dia 11 - Soja Saudavel Vaso 2,11.0,2.0,1,2392,87131,2.7453
0,dia 11 - Soja Heterodera Vaso 6,11.0,6.0,0,2381,87131,2.7327
0,dia 11 - Soja Heterodera Vaso 7,11.0,7.0,0,2208,87131,2.5341
0,dia 18 - Soja Saudavel Vaso 4,18.0,4.0,1,2013,87131,2.3103
0,Página14,,,1,1944,87131,2.2311
0,dia 18 - Soja Saudavel Vaso 2,18.0,2.0,1,1928,87131,2.2128
0,Página13,,,1,1915,87131,2.1978
0,dia 21 sem pressao - Soja Sauda,21.0,,1,1914,87131,2.1967
0,dia 18 - Soja Saudavel Vaso 5,18.0,5.0,1,1909,87131,2.191
0,dia 18 - Soja Heterodera Vaso 6,18.0,6.0,0,1732,87131,1.9878
0,dia 18 - Soja Heterodera Vaso 7,18.0,7.0,0,1719,87131,1.9729
0,dia 21 sem pressao - Soja Heter,21.0,,0,1676,87131,1.9235
0,Página11,,,1,1602,87131,1.8386
0,Página9,,,1,1588,87131,1.8225
0,Página5,,,0,1580,87131,1.8134
0,dia 20 sem pressao - Soja Heter,20.0,,0,1579,87131,1.8122
0,Página10,,,1,1574,87131,1.8065
0,Página4,,,0,1574,87131,1.8065
0,Página3,,,0,1559,87131,1.7893
0,Página8,,,0,1521,87131,1.7456
0,dia 19 - Soja Heterodera Vaso 7,19.0,7.0,0,1512,87131,1.7353
0,dia 19 - Soja Heterodera Vaso 8,19.0,8.0,0,1512,87131,1.7353
0,dia 19 - Soja Heterodera Vaso 9,19.0,9.0,0,1512,87131,1.7353
0,Página15,,,1,1502,87131,1.7238
0,Página7,,,0,1456,87131,1.671
0,Página12,,,1,1412,87131,1.6205
0,dia 20 sem pressao - Soja Sauda,20.0,,1,1410,87131,1.6183
0,dia 18 - Soja Heterodera Vaso 8,18.0,8.0,0,1405,87131,1.6125
0,Página6,,,0,1388,87131,1.593
0,dia 18 - Soja Heterodera Vaso 1,18.0,1.0,0,1382,87131,1.5861
0,dia 19 - Soja Saudavel Vaso 2,19.0,2.0,1,1345,87131,1.5437
0,dia 18 - Soja Heterodera Vaso 9,18.0,9.0,0,1332,87131,1.5287
0,dia 19 - Soja Saudavel Vaso 5,19.0,5.0,1,1307,87131,1.5
0,dia 19 - Soja Heterodera Vaso 1,19.0,1.0,0,1275,87131,1.4633
0,dia 19 - Soja Saudavel Vaso 1,19.0,1.0,1,1271,87131,1.4587
0,dia 19 - Soja Saudavel Vaso 3,19.0,3.0,1,1268,87131,1.4553
0,dia 19 - Soja Heterodera Vaso 6,19.0,6.0,0,1205,87131,1.383
0,dia 19 - Soja Saudavel Vaso 4,19.0,4.0,1,1192,87131,1.3681
1,dia 18 - Soja Saudavel Vaso 1,18.0,1.0,1,2260,2260,100.0
2,dia 13 - Soja Saudavel Vaso 3,13.0,3.0,1,2395,8544,28.0314
2,dia 13 - Soja Saudavel Vaso 5,13.0,5.0,1,2236,8544,26.1704
2,dia 13 - Soja Saudavel Vaso 1,13.0,1.0,1,2132,8544,24.9532
2,dia 13 - Soja Saudavel Vaso 4,13.0,4.0,1,1781,8544,20.845
3,dia 13 - Soja Saudavel Vaso 1,13.0,1.0,1,96,96,100.0
