dataset,numero_coleta,condicao,Coleta,Dia,Vaso,Classe,sensor,linhas,min,media,mediana,max,desvio,range,maior_delta_entre_linhas,linha_maior_delta_relativa,tempo_maior_delta
antes_dia_20,13,Com nematoide,dia 19 - Soja Heterodera Vaso 6,19.0,6.0,0,Soil,1205,2728.0,2814.926970954357,2821.0,2893.0,27.54774733547414,165.0,102.0,263,141.36
antes_dia_20,13,Com nematoide,dia 19 - Soja Heterodera Vaso 6,19.0,6.0,0,Temp.,1205,29.3,31.31858921161826,31.5,32.9,1.026826062279232,3.599999999999998,0.1999999999999993,208,126.09
antes_dia_20,13,Com nematoide,dia 19 - Soja Heterodera Vaso 6,19.0,6.0,0,Pres.,1205,93.65,93.67011618257261,93.67,93.68,0.0070347815551115205,0.030000000000001137,0.020000000000010232,302,152.25
antes_dia_20,13,Com nematoide,dia 19 - Soja Heterodera Vaso 6,19.0,6.0,0,MQ2,1205,16905.0,17393.526970954357,17391.0,17625.0,120.46373702519942,720.0,420.0,273,144.08
antes_dia_20,13,Com nematoide,dia 19 - Soja Heterodera Vaso 6,19.0,6.0,0,MQ3,1205,12225.0,12428.787551867219,12440.0,12561.0,67.78723562259954,336.0,167.0,273,144.08
antes_dia_20,13,Com nematoide,dia 19 - Soja Heterodera Vaso 6,19.0,6.0,0,MQ7,1205,8111.0,8272.234024896266,8204.0,8661.0,124.81869244709318,550.0,136.0,273,144.08
antes_dia_20,13,Com nematoide,dia 19 - Soja Heterodera Vaso 6,19.0,6.0,0,MQ8,1205,4637.0,5134.336929460581,5194.0,5513.0,181.91663968117248,876.0,191.0,446,192.49
antes_dia_20,13,Com nematoide,dia 19 - Soja Heterodera Vaso 6,19.0,6.0,0,MQ135,1205,10692.0,10846.442323651452,10853.0,11008.0,45.2490087398426,316.0,200.0,273,144.08
antes_dia_20,13,Com nematoide,dia 19 - Soja Heterodera Vaso 6,19.0,6.0,0,MQ138,1205,8118.0,8272.85643153527,8205.0,8663.0,125.65637027588363,545.0,153.0,273,144.08
antes_dia_20,14,Com nematoide,dia 19 - Soja Heterodera Vaso 7,19.0,7.0,0,Soil,1512,2759.0,2863.4563492063494,2871.0,2955.0,29.191999110655615,196.0,99.0,1430,486.6
