avaliacao,modelo,fold,accuracy,balanced_accuracy,f1_macro
stratified_group_kfold,random_forest_baseline,1,0.8865255243371587,0.8839569551614944,0.884839649117736
stratified_group_kfold,random_forest_baseline,2,0.6746160700246344,0.6730285352670522,0.6732110881692814
stratified_group_kfold,random_forest_baseline,3,0.79709130891099,0.7841914569554389,0.7885343215396473
stratified_group_kfold,random_forest_baseline,4,0.8118925959322714,0.8184232415930746,0.8112911008086464
stratified_group_kfold,random_forest_baseline,5,0.7073792700419699,0.7125665684596886,0.7072679881087829
stratified_group_kfold_media,random_forest_baseline,media,0.7755009538494049,0.7744333514873497,0.7730288295488188
stratified_group_kfold,random_forest_leaf10,1,0.9088840522358528,0.9067696415063791,0.9075660517273452
stratified_group_kfold,random_forest_leaf10,2,0.7925991928298128,0.7930993858397586,0.7923855692614759
stratified_group_kfold,random_forest_leaf10,3,0.7904942775750912,0.7782957172406947,0.7822162552498781
stratified_group_kfold,random_forest_leaf10,4,0.8287245766957219,0.8333155383752746,0.8277996344436418
stratified_group_kfold,random_forest_leaf10,5,0.6640811772831111,0.6661520810781412,0.6639470844171429
stratified_group_kfold_media,random_forest_leaf10,media,0.7969566553239179,0.7955264728080496,0.7947829190198967
stratified_group_kfold,extra_trees_leaf5,1,0.9045310645033636,0.8972669119656478,0.9018618808057226
stratified_group_kfold,extra_trees_leaf5,2,0.697258766182714,0.6970297700667625,0.6967506175318166
stratified_group_kfold,extra_trees_leaf5,3,0.8858513668849018,0.8895578881017892,0.8850006079543784
stratified_group_kfold,extra_trees_leaf5,4,0.8054804127842902,0.8128827330678379,0.8050114196787752
stratified_group_kfold,extra_trees_leaf5,5,0.7601338787653402,0.762086291981985,0.7599377638096663
stratified_group_kfold_media,extra_trees_leaf5,media,0.8106510978241219,0.8117647190368045,0.8097124579560718
stratified_group_kfold,extra_trees_leaf10,1,0.9037890779580531,0.8965212748016433,0.9011008077823426
stratified_group_kfold,extra_trees_leaf10,2,0.6885056868808638,0.6877920225283181,0.6877347316823573
stratified_group_kfold,extra_trees_leaf10,3,0.8923484432005597,0.8952733121780595,0.8914131445762215
stratified_group_kfold,extra_trees_leaf10,4,0.8217112513776175,0.827203337890279,0.8209412940933438
stratified_group_kfold,extra_trees_leaf10,5,0.7421239972374223,0.7426793478152307,0.7415680969114948
stratified_group_kfold_media,extra_trees_leaf10,media,0.8096956913309032,0.809893859042706,0.808551615009152
stratified_group_kfold,extra_trees_leaf50,1,0.8983478432924417,0.8916219339856803,0.8956967313145687
stratified_group_kfold,extra_trees_leaf50,2,0.7003511714450443,0.7002934054246561,0.6999214389967781
stratified_group_kfold,extra_trees_leaf50,3,0.8422210005497526,0.8369093284882047,0.8386320780895264
stratified_group_kfold,extra_trees_leaf50,4,0.7906021440737401,0.7944622097328937,0.7894541662020458
stratified_group_kfold,extra_trees_leaf50,5,0.7003665728098603,0.6975923082943674,0.697980691105482
stratified_group_kfold_media,extra_trees_leaf50,media,0.7863777464341678,0.7841758371851604,0.7843370211416801
stratified_group_kfold,hist_gradient_boosting,1,0.8942421844083894,0.8867398243431,0.891248748796477
stratified_group_kfold,hist_gradient_boosting,2,0.6644478222129042,0.6624020457609765,0.6626129518521564
stratified_group_kfold,hist_gradient_boosting,3,0.7834974261582288,0.7683614914275014,0.7728553050435831
stratified_group_kfold,hist_gradient_boosting,4,0.8154493537721671,0.8220745658233609,0.8148644729544062
stratified_group_kfold,hist_gradient_boosting,5,0.7113637571056686,0.7105474678107925,0.7102171930169698
stratified_group_kfold_media,hist_gradient_boosting,media,0.7738001087314716,0.7700250790331462,0.7703597343327185
stratified_group_kfold,logistic_regression_scaled,1,0.5635635140482786,0.5700281723244169,0.563554277585581
stratified_group_kfold,logistic_regression_scaled,2,0.7091042507468945,0.6961847157227932,0.683822784857297
stratified_group_kfold,logistic_regression_scaled,3,0.6876905392573343,0.7046892073660831,0.6871677009194881
stratified_group_kfold,logistic_regression_scaled,4,0.6370604147880974,0.6590789397784411,0.6345300517554822
stratified_group_kfold,logistic_regression_scaled,5,0.6217393614195399,0.6368271775554198,0.6116565148170025
stratified_group_kfold_media,logistic_regression_scaled,media,0.643831616052029,0.6533616425494309,0.6361462659869701
