feature_set,modelo,fold,accuracy,balanced_accuracy,f1_macro
mq_originais,extra_trees,media_oof,0.8702974905844019,0.8699493497163231,0.8691786978233014
mq_mais_razoes,extra_trees,media_oof,0.8462471612147885,0.8378131938163506,0.8417731311299366
mq_mais_razoes,random_forest,media_oof,0.8439056042204449,0.8353417321977579,0.839306783260761
somente_razoes,extra_trees,media_oof,0.842212912417305,0.8333683691217915,0.8374193613384215
somente_razoes,random_forest,media_oof,0.8368104044122833,0.8273233005139276,0.8315099328905999
mq_originais,random_forest,media_oof,0.814890045561621,0.8108924944545043,0.8120899223353388
razoes_com_mq7,extra_trees,media_oof,0.8059328847700055,0.8078147576300468,0.8051262689511111
mq7_mais_razoes_mq7,random_forest,media_oof,0.8085847685949248,0.807114200044474,0.8067664335523422
mq7_mais_razoes_mq7,extra_trees,media_oof,0.8050160100433047,0.806930497821807,0.8042158985391508
razoes_com_mq7,random_forest,media_oof,0.806313740425712,0.8049344210568916,0.8045162513097464
somente_razoes,logistic_scaled,media_oof,0.7839419970942124,0.7808747484756247,0.7812999530441688
mq_mais_razoes,logistic_scaled,media_oof,0.7819107669304445,0.7761245708705751,0.7778022313598316
mq_originais,logistic_scaled,media_oof,0.6717306363110603,0.6662264473656131,0.6667731190359734
mq7_mais_razoes_mq7,logistic_scaled,media_oof,0.6569619003286643,0.6583440191174403,0.6559619437523188
razoes_com_mq7,logistic_scaled,media_oof,0.49096525750074055,0.497971435811074,0.4908104793374165
