Coleta,Dia,Vaso,MQ2,MQ3,MQ7,MQ8,MQ135,MQ138,Classe
dia 18 - Soja Saudavel Vaso 1,18,1,13557,18797,1054,8591,22841,12921,1
dia 18 - Soja Saudavel Vaso 1,18,1,13554,18829,1054,8591,22896,12914,1
dia 18 - Soja Saudavel Vaso 1,18,1,13555,18825,1055,8596,22896,12921,1
dia 18 - Soja Saudavel Vaso 1,18,1,13552,18835,1055,8598,22904,12925,1
dia 18 - Soja Saudavel Vaso 1,18,1,13554,18831,1054,8598,22769,12923,1
dia 18 - Soja Saudavel Vaso 1,18,1,13553,18830,1041,8603,22895,12846,1
dia 18 - Soja Saudavel Vaso 1,18,1,13551,18829,1057,8606,22897,12918,1
dia 18 - Soja Saudavel Vaso 1,18,1,13549,18837,1056,8595,22901,12919,1
dia 18 - Soja Saudavel Vaso 1,18,1,13551,18826,1056,8609,22757,12917,1
dia 18 - Soja Saudavel Vaso 1,18,1,13552,18832,1056,8608,22896,12915,1
dia 18 - Soja Saudavel Vaso 1,18,1,13554,18838,1056,8610,22894,12902,1
dia 18 - Soja Saudavel Vaso 1,18,1,13554,18840,1051,8608,22903,12916,1
dia 18 - Soja Saudavel Vaso 1,18,1,13556,18836,1057,8605,22763,12914,1
dia 18 - Soja Saudavel Vaso 1,18,1,13553,18833,1057,8613,22868,12908,1
dia 18 - Soja Saudavel Vaso 1,18,1,13554,18810,1056,8612,22898,12904,1
dia 18 - Soja Saudavel Vaso 1,18,1,13555,18841,1057,8593,22898,12906,1
dia 18 - Soja Saudavel Vaso 1,18,1,13527,18813,1057,8610,22893,12908,1
dia 18 - Soja Saudavel Vaso 1,18,1,13549,18835,1057,8614,22893,12828,1
dia 18 - Soja Saudavel Vaso 1,18,1,13548,18834,1057,8619,22902,12902,1
dia 18 - Soja Saudavel Vaso 1,18,1,13555,18845,1057,8619,22908,12904,1
dia 18 - Soja Saudavel Vaso 1,18,1,13555,18849,1058,8599,22905,12902,1
dia 18 - Soja Saudavel Vaso 1,18,1,13555,18726,1059,8622,22894,12908,1
dia 18 - Soja Saudavel Vaso 1,18,1,13548,18846,1058,8618,22897,12896,1
dia 18 - Soja Saudavel Vaso 1,18,1,13553,18844,1058,8623,22898,12892,1
dia 18 - Soja Saudavel Vaso 1,18,1,13554,18848,1058,8603,22901,12895,1
dia 18 - Soja Saudavel Vaso 1,18,1,13457,18841,1058,8624,22900,12893,1
dia 18 - Soja Saudavel Vaso 1,18,1,13551,18842,1059,8624,22894,12819,1
dia 18 - Soja Saudavel Vaso 1,18,1,13549,18844,1061,8612,22897,12890,1
dia 18 - Soja Saudavel Vaso 1,18,1,13551,18846,1061,8623,22897,12887,1
dia 18 - Soja Saudavel Vaso 1,18,1,13551,18850,1061,8627,22894,12886,1
dia 18 - Soja Saudavel Vaso 1,18,1,13482,18844,1059,8629,22897,12884,1
dia 18 - Soja Saudavel Vaso 1,18,1,13547,18835,1059,8630,22887,12884,1
dia 18 - Soja Saudavel Vaso 1,18,1,13545,18839,1059,8631,22897,12883,1
dia 18 - Soja Saudavel Vaso 1,18,1,13548,18849,1055,8630,22898,12885,1
dia 18 - Soja Saudavel Vaso 1,18,1,13549,18845,1060,8635,22762,12882,1
dia 18 - Soja Saudavel Vaso 1,18,1,13549,18846,1060,8639,22897,12885,1
