Coleta,Dia,Classe,n_total,Pres_antes,Pres_1200_1300,Pres_depois,Pres_delta_pct,MQ2_delta_pct,MQ3_delta_pct,MQ7_delta_pct,MQ8_delta_pct,MQ135_delta_pct,MQ138_delta_pct,media_abs_delta_sensores_pct,media_delta_sensores_pct
dia 11 - Soja Heterodera Vaso 6,11,0,2381,93.53860000000003,93.53910891089112,93.54099999999998,0.000544065114386124,1.1659333277814343,1.314418923153821,4.5949606531751215,0.9880870910285398,0.5467692012154313,1.4085708459362136,1.6697900070484273,1.6697900070484273
dia 11 - Soja Heterodera Vaso 7,11,0,2208,93.53770000000003,93.53881188118814,93.53850000000003,0.0011886984479081795,0.6644653381516717,0.06709208439826522,0.9247551845136407,0.32047617388359423,0.5724728423167158,1.3231058166559888,0.6453945733199794,0.6453945733199794
dia 11 - Soja Saudavel Vaso 1,11,1,2901,93.86270000000002,93.86564356435647,93.86690000000003,0.0031360320515570273,0.533772451135721,-0.710047243927666,-1.8776540473192895,-0.49618102614963555,0.8822105314760272,0.7585636935781167,0.8764048322644094,-0.151555940201121
dia 11 - Soja Saudavel Vaso 2,11,1,2392,93.84980000000002,93.84960396039605,93.85010000000003,-0.00020888654420523752,1.4576449517294194,1.739623433358153,1.3305572434499782,0.566978952381491,0.4300207784555091,4.126756712306516,1.6085970119468442,1.6085970119468442
dia 11 - Soja Saudavel Vaso 3,11,1,2891,93.80789999999998,93.80861386138608,93.80979999999995,0.0007609821625929974,1.0890597088561544,1.1313071169910716,1.3515799071320347,0.6223719790642209,0.624311456531721,-1.7983785807494226,1.1028347915541044,0.5033752646376302
dia 11 - Soja Saudavel Vaso 4,11,1,2586,93.78070000000001,93.77970297029707,93.77960000000003,-0.0010631502035536296,1.0519479785455204,1.568525662783625,1.3014861357639824,0.873159379406694,0.6653705580663969,8.916898363918694,2.3962313464141523,2.3962313464141523
dia 11 - Soja Saudavel Vaso 5,11,1,2628,93.73959999999997,93.73861386138613,93.73939999999999,-0.0010519978897282167,0.6786743404185046,1.3708810027015301,2.065077140836772,0.734323976300745,0.5604643867034711,3.5406892159656955,1.4916850104877863,1.4916850104877863
dia 12 - Soja Heterodera Vaso 1,12,0,2501,93.68940000000002,93.69217821782183,93.69540000000005,0.002965349144954712,1.2927104604176123,0.8368988915814048,1.528642242666433,0.12315552696001773,0.7761666130425381,0.018587452642787505,0.7626935312184656,0.7626935312184656
dia 12 - Soja Heterodera Vaso 6,12,0,2491,93.6988,93.70198019801985,93.70280000000002,0.0033940648331120945,1.0896674147347662,0.26747258072903085,4.73110348284111,0.5355635385207798,1.0052103754919974,1.5225556754838725,1.5252621779669262,1.5252621779669262
dia 12 - Soja Heterodera Vaso 7,12,0,2577,93.70620000000007,93.70554455445544,93.70870000000001,-0.0006994687060445191,0.2688128042827308,1.041222766730099,6.137991973349522,2.980754842718388,1.1724511617509374,2.3277734830105494,2.3215011719737046,2.3215011719737046
dia 12 - Soja Heterodera Vaso 8,12,0,2478,93.69090000000004,93.69158415841588,93.69130000000004,0.000730229313451549,9.146157245171246,0.6755092339577058,-74.86058875658689,-20.088607267299615,0.948543320871079,1.3796956412662846,17.849850244192137,-13.799881763770031
dia 12 - Soja Heterodera Vaso 9,12,0,2544,93.69620000000005,93.69524752475252,93.69340000000004,-0.0010165569655226784,1.2942283962038565,1.1743499930729524,1.4915577523573178,0.17861977075209484,0.6336822742711196,3.993805057381694,1.4610405406731726,1.4610405406731726
